"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.576,0.538,0.421,0.57,0.332,0.536
"P06","2 hijos",0.294,0.32,0.428,0.274,0.51,0.331
"P06","3 hijos",0.102,0.096,0.081,0.083,0.111,0.089
"P06","4 o más hijos",0.028,0.046,0.07,0.073,0.047,0.044
"P07","Con hijos de 3 años y menos",0.521,0.417,0.558,0.357,0.559,0.434
"P07","Con hijos mayores de 3 años",0.479,0.583,0.442,0.643,0.441,0.566
"P08","En un Centro de Salud",0.551,0.605,0.491,0.524,0.47,0.481
"P08","En un hospital",0.234,0.205,0.29,0.27,0.258,0.247
"P08","En un sanatorio",0.034,0.022,0.083,0.017,0.013,0.032
"P08","En un Consultorio Privado",0.019,0.014,0.024,0.026,0.086,0.021
"P08","En un vacunatorio",0.162,0.154,0.112,0.163,0.173,0.219
"P09","Si",0.979,0.986,0.965,0.974,0.933,0.976
"P09","No",0.021,0.014,0.035,0.026,0.067,0.024
"P10","Si, son efectivas",0.987,0.994,0.989,0.983,0.952,0.993
"P10","No, no son efectivas",0.013,0.006,0.011,0.017,0.048,0.007
"P11","Si",0.974,0.986,0.986,0.961,0.909,0.973
"P11","No",0.026,0.014,0.014,0.039,0.091,0.027
"P12","Si",0.205,0.085,0.126,0.219,0.193,0.162
"P12","No",0.795,0.915,0.874,0.781,0.807,0.838
"P13","La quíntuple",0.341,0.137,0.028,0.023,0,0.034
"P13","La triple viral (Sarampión, rubeola y paperas)",0.051,0.169,0.028,0.203,0.232,0.036
"P13","La Neumococo",0.046,0.112,0.234,0.026,0.025,0.111
"P13","La BCG",0.095,0.04,0,0.156,0,0.04
"P13","Otra",0.197,0.277,0.357,0.185,0.576,0.157
"P13","No recuerda",0.27,0.265,0.353,0.407,0.167,0.622
"P14","Si",0.869,0.96,0.921,0.946,0.954,0.955
"P14","No",0.131,0.04,0.079,0.054,0.046,0.045
"P15","Si, las conozco",0.853,0.856,0.853,0.841,0.825,0.776
"P15","No, no las conozco",0.093,0.073,0.041,0.049,0.079,0.06
"P15","Algunas",0.054,0.071,0.106,0.11,0.096,0.164
"P16","Si",0.761,0.776,0.75,0.715,0.672,0.643
"P16","A veces",0.163,0.177,0.216,0.238,0.198,0.283
"P16","No",0.076,0.047,0.034,0.047,0.13,0.074
"P17","Sí, hay suficiente información",0.291,0.23,0.201,0.229,0.191,0.195
"P17","No, no hay suficiente información",0.709,0.77,0.799,0.771,0.809,0.805
"P18","Si",0.167,0.059,0.136,0.065,0.227,0.06
"P18","Sí, pero es necesario",0.51,0.596,0.638,0.601,0.535,0.552
"P18","No",0.323,0.345,0.226,0.334,0.238,0.388
"P19","Sí, mucho",0.306,0.263,0.287,0.2,0.304,0.202
"P19","Si, un poco",0.588,0.666,0.605,0.687,0.63,0.711
"P19","No",0.106,0.071,0.108,0.113,0.066,0.087
"P20","Si",0.304,0.227,0.159,0.157,0.333,0.191
"P20","No",0.643,0.739,0.767,0.732,0.626,0.736
"P20","No recuerda",0.053,0.034,0.074,0.111,0.041,0.073
"P21","La quíntuple",0.646,0.134,0,0.065,0.029,0.039
"P21","La triple viral (Sarampión, rubeola y paperas)",0.041,0.517,0.035,0.134,0.293,0.089
"P21","La Neumococo",0.019,0.133,0.525,0.277,0.162,0.067
