"var","categoria","Si, Infanrix","Si, Hexaxim","No recuerdo"
"P06","1 hijo",0.482,0.57,0.603
"P06","2 hijos",0.401,0.3,0.303
"P06","3 hijos",0.117,0.125,0.077
"P06","4 o más hijos",0,0.005,0.017
"P07","Con hijos de 3 años y menos",0.419,0.633,0.374
"P07","Con hijos mayores de 3 años",0.581,0.367,0.626
"P08","En un Centro de Salud",0.382,0.305,0.477
"P08","En un hospital",0.164,0.151,0.214
"P08","En un sanatorio",0.058,0.061,0.046
"P08","En un Consultorio Privado",0.018,0.165,0.046
"P08","En un vacunatorio",0.378,0.318,0.217
"P09","Si",0.986,0.858,0.979
"P09","No",0.014,0.142,0.021
"P10","Si, son efectivas",1,0.875,0.993
"P10","No, no son efectivas",0,0.125,0.007
"P11","Si",0.973,0.858,0.98
"P11","No",0.027,0.142,0.02
"P12","Si",0.189,0.194,0.15
"P12","No",0.811,0.806,0.85
"P13","La quíntuple",0.032,0.242,0.141
"P13","La triple viral (Sarampión, rubeola y paperas)",0.073,0.493,0.073
"P13","La Neumococo",0,0.179,0.033
"P13","La BCG",0.049,0,0.127
"P13","Otra",0.195,0.086,0.172
"P13","No recuerda",0.651,0,0.454
"P14","Si",0.97,0.984,0.936
"P14","No",0.03,0.016,0.064
"P15","Si, las conozco",0.92,0.972,0.917
"P15","No, no las conozco",0.065,0,0.014
"P15","Algunas",0.015,0.028,0.069
"P16","Si",0.794,0.785,0.835
"P16","A veces",0.206,0.198,0.113
"P16","No",0,0.017,0.052
"P17","Sí, hay suficiente información",0.204,0.245,0.249
"P17","No, no hay suficiente información",0.796,0.755,0.751
"P18","Si",0.096,0.3,0.056
"P18","Sí, pero es necesario",0.509,0.397,0.516
"P18","No",0.395,0.303,0.428
"P19","Sí, mucho",0.193,0.157,0.114
"P19","Si, un poco",0.559,0.754,0.699
"P19","No",0.248,0.089,0.187
"P20","Si",0.057,0.158,0.13
"P20","No",0.933,0.797,0.819
"P20","No recuerda",0.01,0.045,0.051
"P21","La quíntuple",0.37,0.064,0.317
"P21","La triple viral (Sarampión, rubeola y paperas)",0.12,0.313,0.129
"P21","La Neumococo",0,0.29,0.056
"P21","La BCG",0,0,0.032
"P21","Otra",0.103,0,0.102
"P21","No recuerda",0.407,0.333,0.364
"P22","Si",0.545,0.633,0.602
"P22","No",0.442,0.3,0.338
"P22","No recuerda",0.013,0.067,0.06
"P23","La quíntuple",0.389,0.218,0.266
"P23","La triple viral (Sarampión, rubeola y paperas)",0.104,0.161,0.143
"P23","La Neumococo",0,0.235,0.065
"P23","La BCG",0.148,0.041,0.066
"P23","Otra",0.054,0.272,0.055
"P23","No recuerda",0.305,0.073,0.405
"P24","Sí, una vez",0.127,0.125,0.107
"P24","Si varias veces",0.048,0.366,0.084
"P24","No",0.81,0.434,0.725
"P24","No recuerdo",0.015,0.075,0.084
"P25","Si",0.922,0.846,0.862
"P25","No",0.078,0.154,0.138
"P26","Si",0.892,0.874,0.754
"P26","No",0.108,0.126,0.246
"P27","Si, la Polio y la quíntuple",0.417,0.502,0.262
"P27","Si, la triple viral y la BCG",0.262,0.255,0.237
"P27","Otras",0.008,0.059,0.044
"P27","No recuerdo",0.313,0.184,0.457
"P28","Si",0.67,0.665,0.623
"P28","No",0.33,0.335,0.377
"P31","Si",0.973,0.867,0.96
"P31","No",0.027,0.133,0.04
"P32","Si",0.614,0.504,0.586
"P32","No",0.386,0.496,0.414
"P33","Miedo al contagio",0.267,0.434,0.344
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.367,0.091,0.34
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.322,0.295,0.218
"P33","Porque era costoso el viaje",0.044,0.18,0.098
"P34","Si, una dosis",0.557,0.462,0.49
"P34","Si, dos dosis",0.37,0.366,0.441
"P34","Ninguna",0.073,0.172,0.069
"P35","Sputnik V",0.409,0.363,0.33
"P35","Sinopharm",0.254,0.229,0.327
"P35","AstraZeneca",0.306,0.377,0.332
"P35","Johnson",0,0,0.004
"P35","Phizer",0,0,0.002
"P35","Moderna",0.014,0.009,0
"P35","Otra",0.017,0.022,0.005
