"var","categoria","Si, las conozco","No, no las conozco","Algunas"
"P06","1 hijo",0.563,0.502,0.586
"P06","2 hijos",0.317,0.282,0.249
"P06","3 hijos",0.085,0.156,0.11
"P06","4 o más hijos",0.035,0.06,0.055
"P07","Con hijos de 3 años y menos",0.41,0.537,0.441
"P07","Con hijos mayores de 3 años",0.59,0.463,0.559
"P08","En un Centro de Salud",0.496,0.585,0.477
"P08","En un hospital",0.256,0.253,0.286
"P08","En un sanatorio",0.033,0.04,0.028
"P08","En un Consultorio Privado",0.028,0.024,0.061
"P08","En un vacunatorio",0.187,0.098,0.148
"P09","Si",0.98,0.929,0.956
"P09","No",0.02,0.071,0.044
"P10","Si, son efectivas",0.987,0.987,0.994
"P10","No, no son efectivas",0.013,0.013,0.006
"P11","Si",0.977,0.923,0.972
"P11","No",0.023,0.077,0.028
"P12","Si",0.145,0.235,0.163
"P12","No",0.855,0.765,0.837
"P13","La quíntuple",0.145,0.046,0.084
"P13","La triple viral (Sarampión, rubeola y paperas)",0.085,0.215,0.091
"P13","La Neumococo",0.081,0.101,0.135
"P13","La BCG",0.034,0.063,0.118
"P13","Otra",0.189,0.153,0.145
"P13","No recuerda",0.466,0.422,0.427
"P14","Si",0.949,0.781,0.96
"P14","No",0.051,0.219,0.04
"P16","Si",0.76,0.558,0.552
"P16","A veces",0.189,0.329,0.323
"P16","No",0.051,0.113,0.125
"P17","Sí, hay suficiente información",0.25,0.146,0.175
"P17","No, no hay suficiente información",0.75,0.854,0.825
"P18","Si",0.089,0.106,0.068
"P18","Sí, pero es necesario",0.524,0.548,0.626
"P18","No",0.387,0.346,0.306
"P19","Sí, mucho",0.198,0.322,0.218
"P19","Si, un poco",0.685,0.561,0.666
"P19","No",0.117,0.117,0.116
"P20","Si",0.173,0.201,0.236
"P20","No",0.765,0.711,0.629
"P20","No recuerda",0.062,0.088,0.135
"P21","La quíntuple",0.224,0.283,0.097
"P21","La triple viral (Sarampión, rubeola y paperas)",0.203,0.147,0.213
"P21","La Neumococo",0.089,0.024,0.065
"P21","La BCG",0.046,0.03,0.103
"P21","Otra",0.079,0.146,0.052
"P21","No recuerda",0.359,0.37,0.47
"P22","Si",0.616,0.599,0.658
"P22","No",0.305,0.326,0.21
"P22","No recuerda",0.079,0.075,0.132
"P23","La quíntuple",0.221,0.289,0.099
"P23","La triple viral (Sarampión, rubeola y paperas)",0.162,0.164,0.096
"P23","La Neumococo",0.049,0.028,0.043
"P23","La BCG",0.08,0.056,0.074
"P23","Otra",0.062,0.072,0.051
"P23","No recuerda",0.426,0.391,0.637
"P24","Sí, una vez",0.115,0.128,0.137
"P24","Si varias veces",0.074,0.159,0.031
"P24","No",0.725,0.575,0.696
"P24","No recuerdo",0.086,0.138,0.136
"P25","Si",0.723,0.518,0.503
"P25","No",0.277,0.482,0.497
"P26","Si",0.555,0.24,0.265
"P26","No",0.445,0.76,0.735
"P27","Si, la Polio y la quíntuple",0.182,0.073,0.094
"P27","Si, la triple viral y la BCG",0.222,0.264,0.224
"P27","Otras",0.042,0.026,0.065
"P27","No recuerdo",0.554,0.637,0.617
"P28","Si",0.337,0.182,0.198
"P28","No",0.663,0.818,0.802
"P29","Si",0.191,0.05,0.092
"P29","No",0.809,0.95,0.908
"P30","Si, Infanrix",0.123,0.424,0.032
"P30","Si, Hexaxim",0.108,0,0.049
"P30","No recuerdo",0.769,0.576,0.919
"P31","Si",0.932,0.825,0.889
"P31","No",0.068,0.175,0.111
"P32","Si",0.534,0.268,0.439
"P32","No",0.466,0.732,0.561
"P33","Miedo al contagio",0.395,0.4,0.474
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.335,0.367,0.273
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.204,0.165,0.214
"P33","Porque era costoso el viaje",0.066,0.068,0.039
"P34","Si, una dosis",0.537,0.484,0.498
"P34","Si, dos dosis",0.374,0.314,0.375
"P34","Ninguna",0.089,0.202,0.127
"P35","Sputnik V",0.292,0.291,0.245
"P35","Sinopharm",0.32,0.348,0.281
"P35","AstraZeneca",0.339,0.335,0.409
"P35","Johnson",0.003,0,0
"P35","Phizer",0.008,0,0.007
"P35","Moderna",0.01,0,0.026
"P35","Otra",0.028,0.026,0.032
