"var","categoria","Si","No"
"P06","1 hijo",0.59,0.555
"P06","2 hijos",0.25,0.315
"P06","3 hijos",0.094,0.097
"P06","4 o más hijos",0.066,0.033
"P07","Con hijos de 3 años y menos",0.476,0.417
"P07","Con hijos mayores de 3 años",0.524,0.583
"P08","En un Centro de Salud",0.49,0.504
"P08","En un hospital",0.244,0.259
"P08","En un sanatorio",0.044,0.033
"P08","En un Consultorio Privado",0.036,0.031
"P08","En un vacunatorio",0.186,0.173
"P09","Si",0.902,0.981
"P09","No",0.098,0.019
"P10","Si, son efectivas",0.938,0.99
"P10","No, no son efectivas",0.062,0.01
"P11","Si",0.897,0.981
"P11","No",0.103,0.019
"P14","Si",0.925,0.938
"P14","No",0.075,0.062
"P15","Si, las conozco",0.766,0.823
"P15","No, no las conozco",0.122,0.072
"P15","Algunas",0.112,0.105
"P16","Si",0.596,0.744
"P16","A veces",0.256,0.207
"P16","No",0.148,0.049
"P17","Sí, hay suficiente información",0.195,0.241
"P17","No, no hay suficiente información",0.805,0.759
"P18","Si",0.167,0.074
"P18","Sí, pero es necesario",0.502,0.543
"P18","No",0.331,0.383
"P19","Sí, mucho",0.316,0.19
"P19","Si, un poco",0.552,0.695
"P19","No",0.132,0.115
"P20","Si",0.31,0.159
"P20","No",0.619,0.769
"P20","No recuerda",0.071,0.072
"P21","La quíntuple",0.326,0.167
"P21","La triple viral (Sarampión, rubeola y paperas)",0.115,0.233
"P21","La Neumococo",0.016,0.105
"P21","La BCG",0.051,0.053
"P21","Otra",0.134,0.06
"P21","No recuerda",0.358,0.382
"P22","Si",0.676,0.609
"P22","No",0.264,0.302
"P22","No recuerda",0.06,0.089
"P23","La quíntuple",0.264,0.201
"P23","La triple viral (Sarampión, rubeola y paperas)",0.08,0.169
"P23","La Neumococo",0.036,0.049
"P23","La BCG",0.104,0.072
"P23","Otra",0.072,0.06
"P23","No recuerda",0.444,0.449
"P24","Sí, una vez",0.18,0.106
"P24","Si varias veces",0.139,0.064
"P24","No",0.555,0.74
"P24","No recuerdo",0.126,0.09
"P25","Si",0.65,0.693
"P25","No",0.35,0.307
"P26","Si",0.405,0.522
"P26","No",0.595,0.478
"P27","Si, la Polio y la quíntuple",0.138,0.17
"P27","Si, la triple viral y la BCG",0.21,0.228
"P27","Otras",0.037,0.045
"P27","No recuerdo",0.615,0.557
"P28","Si",0.221,0.329
"P28","No",0.779,0.671
"P29","Si",0.18,0.17
"P29","No",0.82,0.83
"P30","Si, Infanrix",0.146,0.118
"P30","Si, Hexaxim",0.125,0.099
"P30","No recuerdo",0.729,0.783
"P31","Si",0.854,0.933
"P31","No",0.146,0.067
"P32","Si",0.458,0.515
"P32","No",0.542,0.485
"P33","Miedo al contagio",0.445,0.396
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.272,0.344
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.206,0.2
"P33","Porque era costoso el viaje",0.077,0.06
"P34","Si, una dosis",0.503,0.534
"P34","Si, dos dosis",0.324,0.379
"P34","Ninguna",0.173,0.087
"P35","Sputnik V",0.303,0.285
"P35","Sinopharm",0.289,0.322
"P35","AstraZeneca",0.333,0.348
"P35","Johnson",0.005,0.002
"P35","Phizer",0.015,0.006
"P35","Moderna",0.026,0.008
"P35","Otra",0.029,0.029
