"var","categoria","Si","Sí, pero es necesario","No"
"P06","1 hijo",0.494,0.554,0.576
"P06","2 hijos",0.334,0.307,0.303
"P06","3 hijos",0.144,0.093,0.087
"P06","4 o más hijos",0.028,0.046,0.034
"P07","Con hijos de 3 años y menos",0.473,0.483,0.325
"P07","Con hijos mayores de 3 años",0.527,0.517,0.675
"P08","En un Centro de Salud",0.49,0.532,0.448
"P08","En un hospital",0.256,0.252,0.278
"P08","En un sanatorio",0.06,0.031,0.025
"P08","En un Consultorio Privado",0.046,0.022,0.034
"P08","En un vacunatorio",0.148,0.163,0.215
"P09","Si",0.906,0.974,0.994
"P09","No",0.094,0.026,0.006
"P10","Si, son efectivas",0.898,0.996,0.997
"P10","No, no son efectivas",0.102,0.004,0.003
"P11","Si",0.821,0.985,0.988
"P11","No",0.179,0.015,0.012
"P12","Si",0.282,0.139,0.131
"P12","No",0.718,0.861,0.869
"P13","La quíntuple",0.22,0.097,0.135
"P13","La triple viral (Sarampión, rubeola y paperas)",0.138,0.073,0.104
"P13","La Neumococo",0.084,0.088,0.103
"P13","La BCG",0.106,0.037,0.046
"P13","Otra",0.251,0.203,0.144
"P13","No recuerda",0.201,0.502,0.468
"P14","Si",0.945,0.928,0.945
"P14","No",0.055,0.072,0.055
"P15","Si, las conozco",0.827,0.799,0.844
"P15","No, no las conozco",0.091,0.077,0.069
"P15","Algunas",0.082,0.124,0.087
"P16","Si",0.721,0.733,0.704
"P16","A veces",0.213,0.223,0.21
"P16","No",0.066,0.044,0.086
"P17","Sí, hay suficiente información",0.328,0.215,0.24
"P17","No, no hay suficiente información",0.672,0.785,0.76
"P19","Sí, mucho",0.49,0.227,0.118
"P19","Si, un poco",0.474,0.692,0.694
"P19","No",0.036,0.081,0.188
"P20","Si",0.41,0.197,0.108
"P20","No",0.533,0.732,0.816
"P20","No recuerda",0.057,0.071,0.076
"P21","La quíntuple",0.223,0.195,0.241
"P21","La triple viral (Sarampión, rubeola y paperas)",0.275,0.17,0.21
"P21","La Neumococo",0.088,0.085,0.062
"P21","La BCG",0.056,0.039,0.085
"P21","Otra",0.097,0.075,0.078
"P21","No recuerda",0.261,0.436,0.324
"P22","Si",0.703,0.643,0.567
"P22","No",0.229,0.274,0.343
"P22","No recuerda",0.068,0.083,0.09
"P23","La quíntuple",0.365,0.194,0.197
"P23","La triple viral (Sarampión, rubeola y paperas)",0.095,0.165,0.154
"P23","La Neumococo",0.065,0.053,0.03
"P23","La BCG",0.052,0.084,0.075
"P23","Otra",0.145,0.059,0.042
"P23","No recuerda",0.278,0.445,0.502
"P24","Sí, una vez",0.19,0.135,0.077
"P24","Si varias veces",0.119,0.085,0.052
"P24","No",0.586,0.699,0.759
"P24","No recuerdo",0.105,0.081,0.112
"P25","Si",0.545,0.684,0.72
"P25","No",0.455,0.316,0.28
"P26","Si",0.488,0.517,0.49
"P26","No",0.512,0.483,0.51
"P27","Si, la Polio y la quíntuple",0.17,0.189,0.131
"P27","Si, la triple viral y la BCG",0.28,0.228,0.208
"P27","Otras",0.041,0.04,0.05
"P27","No recuerdo",0.509,0.543,0.611
"P28","Si",0.253,0.306,0.335
"P28","No",0.747,0.694,0.665
"P29","Si",0.176,0.161,0.186
"P29","No",0.824,0.839,0.814
"P30","Si, Infanrix",0.137,0.124,0.118
"P30","Si, Hexaxim",0.358,0.081,0.076
"P30","No recuerdo",0.505,0.795,0.806
"P31","Si",0.807,0.923,0.941
"P31","No",0.193,0.077,0.059
"P32","Si",0.448,0.539,0.474
"P32","No",0.552,0.461,0.526
"P33","Miedo al contagio",0.318,0.409,0.419
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.393,0.347,0.297
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.213,0.174,0.233
"P33","Porque era costoso el viaje",0.076,0.07,0.051
"P34","Si, una dosis",0.433,0.53,0.549
"P34","Si, dos dosis",0.326,0.383,0.363
"P34","Ninguna",0.241,0.087,0.088
"P35","Sputnik V",0.281,0.279,0.3
"P35","Sinopharm",0.314,0.331,0.299
"P35","AstraZeneca",0.311,0.346,0.352
"P35","Johnson",0.003,0.003,0.001
"P35","Phizer",0,0.008,0.009
"P35","Moderna",0.028,0.008,0.012
"P35","Otra",0.063,0.025,0.027
