"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.7,0.575,0.527,0.555,0.581,0.606
"P06","2 hijos",0.173,0.172,0.298,0.159,0.334,0.234
"P06","3 hijos",0.062,0.166,0.101,0.147,0.04,0.1
"P06","4 o más hijos",0.065,0.087,0.074,0.139,0.045,0.06
"P07","Con hijos de 3 años y menos",0.634,0.63,0.285,0.383,0.443,0.439
"P07","Con hijos mayores de 3 años",0.366,0.37,0.715,0.617,0.557,0.561
"P08","En un Centro de Salud",0.544,0.537,0.495,0.421,0.545,0.478
"P08","En un hospital",0.079,0.265,0.278,0.28,0.23,0.266
"P08","En un sanatorio",0.046,0.006,0.026,0.027,0.011,0.049
"P08","En un Consultorio Privado",0.038,0.129,0,0.011,0.027,0.029
"P08","En un vacunatorio",0.293,0.063,0.201,0.261,0.187,0.178
"P09","Si",0.961,0.858,0.924,0.802,0.902,0.917
"P09","No",0.039,0.142,0.076,0.198,0.098,0.083
"P10","Si, son efectivas",0.931,0.882,0.924,0.92,0.92,0.976
"P10","No, no son efectivas",0.069,0.118,0.076,0.08,0.08,0.024
"P11","Si",0.902,0.863,0.897,0.75,0.82,0.953
"P11","No",0.098,0.137,0.103,0.25,0.18,0.047
"P14","Si",0.923,0.918,0.937,0.806,0.954,0.93
"P14","No",0.077,0.082,0.063,0.194,0.046,0.07
"P15","Si, las conozco",0.883,0.652,0.697,0.563,0.81,0.787
"P15","No, no las conozco",0.042,0.246,0.13,0.154,0.098,0.107
"P15","Algunas",0.075,0.102,0.173,0.283,0.092,0.106
"P16","Si",0.642,0.484,0.56,0.412,0.665,0.617
"P16","A veces",0.196,0.432,0.267,0.276,0.276,0.228
"P16","No",0.162,0.084,0.173,0.312,0.059,0.155
"P17","Sí, hay suficiente información",0.19,0.157,0.165,0.256,0.118,0.236
"P17","No, no hay suficiente información",0.81,0.843,0.835,0.744,0.882,0.764
"P18","Si",0.277,0.241,0.15,0.337,0.215,0.075
"P18","Sí, pero es necesario",0.378,0.394,0.481,0.368,0.535,0.574
"P18","No",0.345,0.365,0.369,0.295,0.25,0.351
"P19","Sí, mucho",0.511,0.394,0.193,0.246,0.385,0.253
"P19","Si, un poco",0.402,0.597,0.672,0.562,0.523,0.584
"P19","No",0.087,0.009,0.135,0.192,0.092,0.163
"P20","Si",0.631,0.347,0.368,0.386,0.39,0.159
"P20","No",0.32,0.644,0.607,0.569,0.573,0.729
"P20","No recuerda",0.049,0.009,0.025,0.045,0.037,0.112
"P21","La quíntuple",0.607,0.253,0.026,0.37,0.283,0.207
"P21","La triple viral (Sarampión, rubeola y paperas)",0.102,0.442,0.333,0,0.026,0
"P21","La Neumococo",0.032,0,0.038,0,0.012,0
"P21","La BCG",0,0.031,0.097,0.337,0.063,0.007
"P21","Otra",0,0.144,0.237,0.183,0.263,0.079
"P21","No recuerda",0.259,0.13,0.269,0.11,0.353,0.707
"P22","Si",0.657,0.659,0.651,0.782,0.739,0.659
"P22","No",0.282,0.314,0.241,0.194,0.194,0.281
"P22","No recuerda",0.061,0.027,0.108,0.024,0.067,0.06
"P23","La quíntuple",0.754,0.171,0.148,0.409,0.246,0.166
"P23","La triple viral (Sarampión, rubeola y paperas)",0.092,0.172,0.109,0.052,0.105,0.049
"P23","La Neumococo",0.008,0.012,0.096,0,0.057,0.028
"P23","La BCG",0.019,0.251,0.031,0.251,0.086,0.092
"P23","Otra",0,0.193,0.02,0,0.178,0.025
"P23","No recuerda",0.127,0.201,0.596,0.288,0.328,0.64
"P24","Sí, una vez",0.324,0.108,0.246,0.17,0.305,0.097
"P24","Si varias veces",0.152,0.201,0.041,0.313,0.04,0.15
"P24","No",0.506,0.565,0.543,0.451,0.568,0.579
