"var","categoria","Si","No","No recuerda"
"P06","1 hijo",0.533,0.565,0.593
"P06","2 hijos",0.277,0.32,0.241
"P06","3 hijos",0.133,0.082,0.115
"P06","4 o más hijos",0.057,0.033,0.051
"P07","Con hijos de 3 años y menos",0.511,0.393,0.414
"P07","Con hijos mayores de 3 años",0.489,0.607,0.586
"P08","En un Centro de Salud",0.549,0.485,0.459
"P08","En un hospital",0.238,0.262,0.303
"P08","En un sanatorio",0.013,0.038,0.014
"P08","En un Consultorio Privado",0.028,0.026,0.049
"P08","En un vacunatorio",0.172,0.189,0.175
"P09","Si",0.968,0.981,0.951
"P09","No",0.032,0.019,0.049
"P10","Si, son efectivas",0.965,0.994,0.988
"P10","No, no son efectivas",0.035,0.006,0.012
"P11","Si",0.939,0.983,0.943
"P11","No",0.061,0.017,0.057
"P12","Si",0.254,0.124,0.148
"P12","No",0.746,0.876,0.852
"P13","La quíntuple",0.267,0.069,0.096
"P13","La triple viral (Sarampión, rubeola y paperas)",0.106,0.1,0.013
"P13","La Neumococo",0.106,0.089,0.032
"P13","La BCG",0.063,0.047,0.034
"P13","Otra",0.236,0.176,0.102
"P13","No recuerda",0.222,0.519,0.723
"P14","Si",0.931,0.933,0.964
"P14","No",0.069,0.067,0.036
"P15","Si, las conozco",0.782,0.842,0.712
"P15","No, no las conozco",0.08,0.069,0.089
"P15","Algunas",0.138,0.089,0.199
"P16","Si",0.707,0.736,0.635
"P16","A veces",0.226,0.205,0.287
"P16","No",0.067,0.059,0.078
"P17","Sí, hay suficiente información",0.239,0.233,0.184
"P17","No, no hay suficiente información",0.761,0.767,0.816
"P18","Si",0.198,0.062,0.07
"P18","Sí, pero es necesario",0.579,0.526,0.53
"P18","No",0.223,0.412,0.4
"P19","Sí, mucho",0.5,0.134,0.203
"P19","Si, un poco",0.471,0.735,0.598
"P19","No",0.029,0.131,0.199
"P22","Si",0.845,0.576,0.547
"P22","No",0.113,0.342,0.249
"P22","No recuerda",0.042,0.082,0.204
"P23","La quíntuple",0.286,0.191,0.174
"P23","La triple viral (Sarampión, rubeola y paperas)",0.155,0.161,0.083
"P23","La Neumococo",0.033,0.05,0.054
"P23","La BCG",0.054,0.08,0.135
"P23","Otra",0.091,0.054,0.04
"P23","No recuerda",0.381,0.464,0.514
"P24","Sí, una vez",0.236,0.09,0.138
"P24","Si varias veces",0.113,0.067,0.071
"P24","No",0.566,0.755,0.596
"P24","No recuerdo",0.085,0.088,0.195
"P25","Si",0.631,0.709,0.576
"P25","No",0.369,0.291,0.424
"P26","Si",0.406,0.532,0.426
"P26","No",0.594,0.468,0.574
"P27","Si, la Polio y la quíntuple",0.16,0.168,0.149
"P27","Si, la triple viral y la BCG",0.209,0.23,0.206
"P27","Otras",0.046,0.043,0.05
"P27","No recuerdo",0.585,0.559,0.595
"P28","Si",0.228,0.333,0.288
"P28","No",0.772,0.667,0.712
"P29","Si",0.132,0.185,0.109
"P29","No",0.868,0.815,0.891
"P30","Si, Infanrix",0.056,0.138,0.028
"P30","Si, Hexaxim",0.132,0.099,0.103
"P30","No recuerdo",0.812,0.763,0.869
"P31","Si",0.881,0.927,0.931
"P31","No",0.119,0.073,0.069
"P32","Si",0.523,0.513,0.394
"P32","No",0.477,0.487,0.606
"P33","Miedo al contagio",0.41,0.405,0.39
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.309,0.334,0.35
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.211,0.198,0.208
"P33","Porque era costoso el viaje",0.07,0.063,0.052
"P34","Si, una dosis",0.482,0.536,0.56
"P34","Si, dos dosis",0.311,0.385,0.348
"P34","Ninguna",0.207,0.079,0.092
"P35","Sputnik V",0.293,0.286,0.298
"P35","Sinopharm",0.341,0.308,0.38
"P35","AstraZeneca",0.333,0.355,0.264
"P35","Johnson",0.001,0.002,0.008
"P35","Phizer",0.012,0.007,0
"P35","Moderna",0.009,0.012,0
"P35","Otra",0.011,0.03,0.05
