"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P06","1 hijo",0.573,0.508,0.379,0.642,0.578,0.558
"P06","2 hijos",0.184,0.285,0.322,0.118,0.311,0.329
"P06","3 hijos",0.133,0.198,0.202,0.071,0.111,0.091
"P06","4 o más hijos",0.11,0.009,0.097,0.169,0,0.022
"P07","Con hijos de 3 años y menos",0.488,0.434,0.561,0.251,0.626,0.54
"P07","Con hijos mayores de 3 años",0.512,0.566,0.439,0.749,0.374,0.46
"P08","En un Centro de Salud",0.667,0.465,0.665,0.542,0.67,0.482
"P08","En un hospital",0.095,0.279,0.259,0.285,0.177,0.269
"P08","En un sanatorio",0.01,0.013,0.01,0.035,0.021,0.015
"P08","En un Consultorio Privado",0.037,0.063,0.014,0,0.007,0.015
"P08","En un vacunatorio",0.191,0.18,0.052,0.138,0.125,0.219
"P09","Si",0.952,0.995,0.97,0.921,0.939,0.975
"P09","No",0.048,0.005,0.03,0.079,0.061,0.025
"P10","Si, son efectivas",0.96,0.981,0.97,0.929,0.939,0.972
"P10","No, no son efectivas",0.04,0.019,0.03,0.071,0.061,0.028
"P11","Si",0.907,0.968,0.96,0.921,0.835,0.963
"P11","No",0.093,0.032,0.04,0.079,0.165,0.037
"P12","Si",0.428,0.159,0.054,0.267,0.463,0.264
"P12","No",0.572,0.841,0.946,0.733,0.537,0.736
"P13","La quíntuple",0.497,0.238,0.552,0,0,0.195
"P13","La triple viral (Sarampión, rubeola y paperas)",0.081,0.399,0,0.063,0.114,0.038
"P13","La Neumococo",0.008,0.309,0.263,0.204,0.192,0.081
"P13","La BCG",0.071,0,0,0.415,0.088,0.02
"P13","Otra",0.206,0.054,0.185,0.291,0.476,0.236
"P13","No recuerda",0.137,0,0,0.027,0.13,0.43
"P14","Si",0.87,0.979,1,0.973,0.88,0.937
"P14","No",0.13,0.021,0,0.027,0.12,0.063
"P15","Si, las conozco",0.832,0.795,0.865,0.683,0.77,0.749
"P15","No, no las conozco",0.104,0.057,0.024,0.043,0.14,0.077
"P15","Algunas",0.064,0.148,0.111,0.274,0.09,0.174
"P16","Si",0.687,0.765,0.477,0.847,0.763,0.674
"P16","A veces",0.275,0.191,0.231,0.119,0.197,0.255
"P16","No",0.038,0.044,0.292,0.034,0.04,0.071
"P17","Sí, hay suficiente información",0.347,0.212,0.259,0.319,0.168,0.174
"P17","No, no hay suficiente información",0.653,0.788,0.741,0.681,0.832,0.826
"P18","Si",0.219,0.284,0.225,0.22,0.25,0.144
"P18","Sí, pero es necesario",0.531,0.487,0.607,0.426,0.539,0.667
"P18","No",0.25,0.229,0.168,0.354,0.211,0.189
"P19","Sí, mucho",0.494,0.501,0.433,0.525,0.464,0.533
"P19","Si, un poco",0.431,0.492,0.544,0.456,0.529,0.448
"P19","No",0.075,0.007,0.023,0.019,0.007,0.019
"P22","Si",0.893,0.73,1,0.934,0.898,0.82
"P22","No",0.085,0.185,0,0.035,0.046,0.137
"P22","No recuerda",0.022,0.085,0,0.031,0.056,0.043
"P23","La quíntuple",0.815,0.073,0.055,0.301,0.035,0.171
"P23","La triple viral (Sarampión, rubeola y paperas)",0.092,0.502,0.21,0.084,0.051,0.065
"P23","La Neumococo",0,0.007,0.175,0.028,0.091,0.013
"P23","La BCG",0.016,0.046,0.155,0.202,0.058,0.03
"P23","Otra",0.011,0.159,0.142,0.065,0.39,0.017
"P23","No recuerda",0.066,0.213,0.263,0.32,0.375,0.704
"P24","Sí, una vez",0.373,0.191,0.145,0.156,0.293,0.2
"P24","Si varias veces",0.138,0.065,0.187,0.047,0.052,0.107
"P24","No",0.456,0.693,0.608,0.511,0.542,0.577
"P24","No recuerdo",0.033,0.051,0.06,0.286,0.113,0.116
"P25","Si",0.762,0.499,0.488,0.902,0.539,0.638
"P25","No",0.238,0.501,0.512,0.098,0.461,0.362
"P26","Si",0.575,0.402,0.327,0.278,0.42,0.361
"P26","No",0.425,0.598,0.673,0.722,0.58,0.639
"P27","Si, la Polio y la quíntuple",0.273,0.096,0.378,0.161,0.191,0.083
"P27","Si, la triple viral y la BCG",0.288,0.22,0.236,0.209,0.197,0.145
"P27","Otras",0.017,0.073,0.022,0.054,0.101,0.03
"P27","No recuerdo",0.422,0.611,0.364,0.576,0.511,0.742
"P28","Si",0.19,0.223,0.219,0.185,0.319,0.242
"P28","No",0.81,0.777,0.781,0.815,0.681,0.758
"P29","Si",0.175,0.102,0.131,0.049,0.146,0.125
"P29","No",0.825,0.898,0.869,0.951,0.854,0.875
"P30","Si, Infanrix",0.075,0.045,0,0,0.068,0.065
"P30","Si, Hexaxim",0.029,0.269,0.457,0,0,0.121
"P30","No recuerdo",0.896,0.686,0.543,1,0.932,0.814
"P31","Si",0.866,0.86,0.784,0.973,0.924,0.902
"P31","No",0.134,0.14,0.216,0.027,0.076,0.098
"P32","Si",0.446,0.577,0.694,0.182,0.765,0.497
"P32","No",0.554,0.423,0.306,0.818,0.235,0.503
"P33","Miedo al contagio",0.358,0.472,0.151,0.501,0.453,0.405
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.272,0.237,0.708,0.34,0.474,0.289
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.262,0.291,0,0.13,0.073,0.233
"P33","Porque era costoso el viaje",0.108,0,0.141,0.029,0,0.073
"P34","Si, una dosis",0.574,0.502,0.249,0.468,0.287,0.528
"P34","Si, dos dosis",0.296,0.323,0.415,0.234,0.261,0.33
"P34","Ninguna",0.13,0.175,0.336,0.298,0.452,0.142
"P35","Sputnik V",0.222,0.235,0.054,0.477,0.361,0.369
"P35","Sinopharm",0.319,0.41,0.558,0.088,0.395,0.299
"P35","AstraZeneca",0.442,0.303,0.372,0.368,0.244,0.291
"P35","Johnson",0,0.007,0,0,0,0
"P35","Phizer",0,0.039,0,0,0,0.013
"P35","Moderna",0,0,0,0,0,0.025
"P35","Otra",0.017,0.006,0.016,0.067,0,0.003
