"var","categoria","Peor","Igual","Mejor","No sabe"
"P10","Gran excedente habitual",0.022,0,0.014,0
"P10","Gran excedente excepcional",0,0,0,0
"P10","Pequeño excedente habitual",0.037,0,0.063,0.025
"P10","Pequeño excedente excepcional",0.014,0,0,0.051
"P10","Alcanza gastos familia",0.114,0,0.015,0.194
"P10","No alcanza gastos familia",0.141,0,0.153,0.174
"P10","Solo NBFamiliares",0.243,0,0.478,0.321
"P10","No alcanza NBFamiliares",0.429,0,0.277,0.154
"P10","No sabe",0,0,0,0.081
"P11","Muy buena",0.075,0,0.06,0
"P11","Buena",0.152,0,0.149,0.044
"P11","Ni buena ni mala",0.363,0,0.537,0.51
"P11","Mala",0.19,0,0.058,0.299
"P11","Muy mala",0.206,0,0.196,0.067
"P11","No sabe",0.014,0,0,0.08
"P12","Muy buena",0.157,0,0.204,0.213
"P12","Buena",0.083,0,0.323,0.261
"P12","Ni buena ni mala",0.059,0,0.183,0.07
"P12","Mala",0.175,0,0.084,0.214
"P12","Muy mala",0.519,0,0.206,0.162
"P12","No sabe",0.007,0,0,0.08
"P13","Muy buena",0.034,0,0.184,0.028
"P13","Buena",0.135,0,0.216,0.038
"P13","Ni buena ni mala",0.404,0,0.278,0.415
"P13","Mala",0.235,0,0.134,0.301
"P13","Muy mala",0.161,0,0.188,0.138
"P13","No sabe",0.031,0,0,0.08
"P15","Muy buena",0.099,0,0.163,0.028
"P15","Buena",0.231,0,0.241,0.105
"P15","Ni buena ni mala",0.325,0,0.343,0.436
"P15","Mala",0.154,0,0.235,0.167
"P15","Muy mala",0.153,0,0.018,0.184
"P15","No sabe",0.038,0,0,0.08
"P16","Gobierno nacional",0.487,0,0.354,0.302
"P16","Gobierno provincial",0.381,0,0.596,0.528
"P16","No sabe",0.132,0,0.05,0.17
"P17","El anterior gobierno de Arabela Carreras",0.477,0,0.864,0.33
"P17","El actual gobierno de Alberto Weretilneck",0.36,0,0.075,0.37
"P17","No sabe",0.163,0,0.061,0.3
"P18","El anterior gobierno de Alberto Fernández",0.195,0,0.458,0.758
"P18","El actual gobierno de Javier Milei",0.7,0,0.542,0.242
"P18","No sabe",0.105,0,0,0
"P19","Muy buena",0.029,0,0.012,0.015
"P19","Buena",0.163,0,0.24,0.185
"P19","Ni buena ni mala",0.28,0,0.174,0.425
"P19","Mala",0.338,0,0.257,0.258
"P19","Muy mala",0.182,0,0.317,0.117
"P19","No sabe",0.008,0,0,0
"P20","Muy buena",0.036,0,0,0
"P20","Buena",0.086,0,0.121,0.148
"P20","Ni buena ni mala",0.292,0,0.246,0.192
"P20","Mala",0.329,0,0.393,0.494
"P20","Muy mala",0.23,0,0.24,0.129
"P20","No sabe",0.027,0,0,0.037
"P21","Muy buena",0.004,0,0,0
"P21","Buena",0.137,0,0,0.119
"P21","Ni buena ni mala",0.346,0,0.51,0.357
"P21","Mala",0.37,0,0.176,0.256
"P21","Muy mala",0.132,0,0.299,0.187
"P21","No sabe",0.011,0,0.015,0.081
"P22","Muy de acuerdo",0.481,0,0.391,0.277
"P22","De acuerdo",0.128,0,0.257,0.258
"P22","Ni de acuerdo ni en desacuerdo",0.187,0,0.262,0.266
"P22","En desacuerdo",0.12,0,0.075,0.068
"P22","Muy en desacuerdo",0.057,0,0,0
"P22","No sabe",0.027,0,0.015,0.131
"P23","El estado nacional",0.159,0,0.02,0.22
"P23","El estado provincial",0.594,0,0.585,0.284
"P23","Ambos de forma coordinada",0.207,0,0.365,0.223
"P23","No sabe",0.04,0,0.03,0.273
"P24","Inseguridad y narcotráfico",0.432,0,0.182,0.173
"P24","Altos impuestos y tarifas",0.107,0,0.081,0.016
"P24","Educación y estado de las escuelas",0.11,0,0.564,0.027
"P24","Inflación",0.188,0,0.173,0.631
"P24","Estado de la salud",0.053,0,0,0
"P24","Corrupción",0.076,0,0,0.141
"P24","Pobreza",0.021,0,0,0
"P24","Medio ambiente, incendios y contaminación",0.001,0,0,0
"P24","Falta de trabajo",0.006,0,0,0
"P24","No sabe",0.006,0,0,0.012
"P28","Muy buena",0.006,0,0,0
"P28","Buena",0.052,0,0.063,0
"P28","Ni buena ni mala",0.292,0,0.74,0.303
"P28","Mala",0.383,0,0.138,0.481
"P28","Muy mala",0.227,0,0.059,0
"P28","No sabe",0.04,0,0,0.216
"P30","Peor",0.77,0,0.374,0.134
"P30","Igual",0.145,0,0.313,0.266
"P30","Mejor",0.026,0,0.259,0.029
"P30","No sabe",0.059,0,0.054,0.571
"P31","Javier Milei",0.315,0,0.409,0.505
"P31","Los gobernadores",0.614,0,0.549,0.362
"P31","No sabe",0.071,0,0.042,0.133
"P32","Muy buena",0.101,0,0.187,0.13
"P32","Buena",0.183,0,0.066,0.325
"P32","Ni buena ni mala",0.301,0,0.407,0.274
"P32","Mala",0.243,0,0.271,0.215
"P32","Muy mala",0.134,0,0.069,0.056
"P32","No sabe",0.038,0,0,0
"P33","Muy buena",0.067,0,0.02,0.153
"P33","Buena",0.069,0,0.016,0.324
"P33","Ni buena ni mala",0.213,0,0.267,0.205
"P33","Mala",0.306,0,0.539,0.207
"P33","Muy mala",0.345,0,0.141,0.027
"P33","No sabe",0,0,0.017,0.084
"P34","Muy buena",0.165,0,0.154,0.056
"P34","Buena",0.197,0,0.227,0.061
"P34","Ni buena ni mala",0.204,0,0.186,0.336
"P34","Mala",0.194,0,0.343,0.204
"P34","Muy mala",0.195,0,0.09,0.176
"P34","No sabe",0.045,0,0,0.167
"P35","Muy buena",0.033,0,0,0.037
"P35","Buena",0.114,0,0.235,0.078
"P35","Ni buena ni mala",0.341,0,0.25,0.426
"P35","Mala",0.212,0,0.255,0.102
"P35","Muy mala",0.214,0,0.241,0.085
"P35","No sabe",0.086,0,0.019,0.272
"P36","Muy buena",0.457,0,0.236,0.15
"P36","Buena",0.136,0,0.023,0.116
"P36","Ni buena ni mala",0.056,0,0.062,0
"P36","Mala",0.057,0,0.334,0.319
"P36","Muy mala",0.285,0,0.309,0.338
"P36","No sabe",0.009,0,0.036,0.077
"P37","Muy buena",0.076,0,0.077,0.055
"P37","Buena",0.07,0,0.046,0.209
"P37","Ni buena ni mala",0.069,0,0.071,0.145
"P37","Mala",0.256,0,0.443,0.254
"P37","Muy mala",0.528,0,0.363,0.26
"P37","No sabe",0.001,0,0,0.077
"P38","Muy buena",0.141,0,0,0.073
"P38","Buena",0.198,0,0.188,0.062
"P38","Ni buena ni mala",0.238,0,0.149,0.04
"P38","Mala",0.118,0,0.156,0.253
"P38","Muy mala",0.303,0,0.507,0.495
"P38","No sabe",0.002,0,0,0.077
"P39","Muy buena",0.441,0,0.224,0.119
"P39","Buena",0.13,0,0,0.132
"P39","Ni buena ni mala",0.09,0,0.113,0
"P39","Mala",0.034,0,0.276,0.209
"P39","Muy mala",0.303,0,0.387,0.394
"P39","No sabe",0.002,0,0,0.146
"P40","Muy buena",0.193,0,0.372,0.312
"P40","Buena",0.063,0,0.139,0.095
"P40","Ni buena ni mala",0.039,0,0.026,0.17
"P40","Mala",0.17,0,0.238,0.128
"P40","Muy mala",0.528,0,0.225,0.149
"P40","No sabe",0.007,0,0,0.146
"P41","Muy buena",0.149,0,0.112,0.435
"P41","Buena",0.081,0,0.398,0.124
"P41","Ni buena ni mala",0.063,0,0.042,0.015
"P41","Mala",0.157,0,0.169,0.116
"P41","Muy mala",0.543,0,0.279,0.233
"P41","No sabe",0.007,0,0,0.077
"P42","Muy buena",0.162,0,0.385,0.309
"P42","Buena",0.081,0,0.125,0.124
"P42","Ni buena ni mala",0.123,0,0.096,0.17
"P42","Mala",0.1,0,0.169,0.102
"P42","Muy mala",0.527,0,0.225,0.218
"P42","No sabe",0.007,0,0,0.077
"P43","Muy buena",0.032,0,0.128,0.084
"P43","Buena",0.187,0,0.099,0.121
"P43","Ni buena ni mala",0.328,0,0.535,0.547
"P43","Mala",0.172,0,0.103,0
"P43","Muy mala",0.257,0,0.135,0.156
"P43","No sabe",0.024,0,0,0.092
