"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.065,0.052,0.078,0.102,0.053,0.054,0.089,0.174,0.07,0.021,0.112,0.063,0.011,0.082,0.04,0,0,0,6
"Buena",0.161,0.153,0.167,0.117,0.109,0.258,0.175,0.222,0.152,0.148,0.299,0.035,0.133,0.232,0.105,0,0,0,6
"Ni buena ni mala",0.386,0.377,0.394,0.361,0.37,0.376,0.471,0.452,0.366,0.384,0.447,0.205,0.383,0.417,0.362,0,0,0,6
"Mala",0.197,0.24,0.158,0.161,0.238,0.181,0.139,0.045,0.201,0.248,0.062,0.429,0.453,0.163,0.239,0,0,0,6
"Muy mala",0.179,0.162,0.194,0.259,0.216,0.12,0.105,0.089,0.201,0.186,0.075,0.264,0.02,0.104,0.24,0,0,0,6
"No sabe",0.012,0.016,0.009,0,0.014,0.011,0.021,0.018,0.01,0.013,0.005,0.004,0,0.002,0.014,0,0,0,6
"Positiva",0.226,0.205,0.245,0.219,0.162,0.312,0.264,0.396,0.222,0.169,0.411,0.098,0.144,0.314,0.145,0,0,0,4
"Neutra",0.386,0.377,0.394,0.361,0.37,0.376,0.471,0.452,0.366,0.384,0.447,0.205,0.383,0.417,0.362,0,0,0,4
"Negativa",0.376,0.402,0.352,0.42,0.454,0.301,0.244,0.134,0.402,0.434,0.137,0.693,0.473,0.267,0.479,0,0,0,4
"No sabe",0.012,0.016,0.009,0,0.014,0.011,0.021,0.018,0.01,0.013,0.005,0.004,0,0.002,0.014,0,0,0,4
