"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.304,0.287,0.319,0.329,0.311,0.316,0.246,0.28,0.306,0.309,0.372,0.033,0.76,0.623,0.029,0,0,0,6
"Buena",0.098,0.127,0.073,0.102,0.036,0.13,0.204,0.112,0.065,0.129,0.13,0.015,0.2,0.16,0.03,0,0,0,6
"Ni buena ni mala",0.065,0.071,0.059,0.102,0.071,0.068,0.015,0.054,0.076,0.057,0.102,0.033,0,0.11,0.033,0,0,0,6
"Mala",0.133,0.138,0.129,0.092,0.137,0.145,0.13,0.111,0.142,0.13,0.154,0.157,0,0.063,0.18,0,0,0,6
"Muy mala",0.387,0.357,0.412,0.375,0.437,0.33,0.363,0.399,0.406,0.362,0.23,0.762,0.028,0.033,0.722,0,0,0,6
"No sabe",0.013,0.02,0.008,0,0.008,0.011,0.042,0.044,0.005,0.013,0.012,0,0.012,0.011,0.006,0,0,0,6
"Positiva",0.402,0.414,0.392,0.431,0.347,0.446,0.45,0.392,0.371,0.438,0.502,0.048,0.96,0.783,0.059,0,0,0,4
"Neutra",0.065,0.071,0.059,0.102,0.071,0.068,0.015,0.054,0.076,0.057,0.102,0.033,0,0.11,0.033,0,0,0,4
"Negativa",0.52,0.495,0.541,0.467,0.574,0.475,0.493,0.51,0.548,0.492,0.384,0.919,0.028,0.096,0.902,0,0,0,4
"No sabe",0.013,0.02,0.008,0,0.008,0.011,0.042,0.044,0.005,0.013,0.012,0,0.012,0.011,0.006,0,0,0,4
