"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.033,0.03,0.036,0.05,0.032,0.028,0.033,0.048,0.025,0.037,0.046,0.009,0.027,0.025,0.044,0,0,0,6
"Buena",0.128,0.095,0.158,0.116,0.091,0.158,0.193,0.15,0.158,0.088,0.16,0.101,0.035,0.134,0.125,0,0,0,6
"Ni buena ni mala",0.448,0.458,0.44,0.44,0.441,0.456,0.463,0.598,0.428,0.418,0.517,0.275,0.677,0.545,0.361,0,0,0,6
"Mala",0.214,0.218,0.21,0.207,0.254,0.173,0.177,0.103,0.198,0.27,0.156,0.326,0.218,0.173,0.258,0,0,0,6
"Muy mala",0.157,0.18,0.136,0.187,0.151,0.178,0.112,0.081,0.166,0.174,0.116,0.285,0.03,0.112,0.189,0,0,0,6
"No sabe",0.02,0.019,0.02,0,0.031,0.007,0.022,0.02,0.025,0.013,0.005,0.004,0.013,0.011,0.023,0,0,0,6
"Positiva",0.161,0.125,0.194,0.166,0.123,0.186,0.226,0.198,0.183,0.125,0.206,0.11,0.062,0.159,0.169,0,0,0,4
"Neutra",0.448,0.458,0.44,0.44,0.441,0.456,0.463,0.598,0.428,0.418,0.517,0.275,0.677,0.545,0.361,0,0,0,4
"Negativa",0.371,0.398,0.346,0.394,0.405,0.351,0.289,0.184,0.364,0.444,0.272,0.611,0.248,0.285,0.447,0,0,0,4
"No sabe",0.02,0.019,0.02,0,0.031,0.007,0.022,0.02,0.025,0.013,0.005,0.004,0.013,0.011,0.023,0,0,0,4
