"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.034,0.046,0.023,0.106,0.021,0.038,0.017,0.027,0.032,0.04,0.06,0.012,0.023,0.043,0.034,0,0,0,6
"Buena",0.093,0.119,0.068,0.121,0.059,0.12,0.123,0.123,0.106,0.069,0.141,0.039,0.142,0.133,0.057,0,0,0,6
"Ni buena ni mala",0.274,0.266,0.282,0.328,0.222,0.277,0.381,0.544,0.254,0.211,0.343,0.151,0.317,0.395,0.191,0,0,0,6
"Mala",0.364,0.374,0.353,0.07,0.412,0.395,0.376,0.214,0.406,0.364,0.326,0.475,0.274,0.294,0.4,0,0,0,6
"Muy mala",0.21,0.186,0.234,0.305,0.26,0.161,0.087,0.092,0.181,0.279,0.099,0.319,0.227,0.123,0.278,0,0,0,6
"No sabe",0.025,0.009,0.04,0.07,0.026,0.009,0.016,0,0.021,0.037,0.031,0.004,0.017,0.012,0.04,0,0,0,6
"Positiva",0.127,0.165,0.091,0.227,0.08,0.158,0.14,0.15,0.138,0.109,0.201,0.051,0.165,0.176,0.091,0,0,0,4
"Neutra",0.274,0.266,0.282,0.328,0.222,0.277,0.381,0.544,0.254,0.211,0.343,0.151,0.317,0.395,0.191,0,0,0,4
"Negativa",0.574,0.56,0.587,0.375,0.672,0.556,0.463,0.306,0.587,0.643,0.425,0.794,0.501,0.417,0.678,0,0,0,4
"No sabe",0.025,0.009,0.04,0.07,0.026,0.009,0.016,0,0.021,0.037,0.031,0.004,0.017,0.012,0.04,0,0,0,4
