"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.443,0.332,0.341,0.365,0.22,0.519,0.317
"P05","Bastante",0.326,0.401,0.391,0.4,0.472,0.137,0.284
"P05","Poco",0.159,0.18,0.189,0.227,0.141,0.232,0.258
"P05","Nada",0.06,0.069,0.07,0.008,0.146,0.095,0.068
"P05","No sabe",0.012,0.018,0.009,0,0.021,0.017,0.073
"P06","Siempre",0.233,0.192,0.193,0.04,0.096,0.146,0.351
"P06","Casi siempre",0.339,0.413,0.331,0.656,0.449,0.155,0.178
"P06","Casi nunca",0.273,0.29,0.374,0.296,0.309,0.554,0.327
"P06","Nunca, pero esta es una excepción",0.155,0.105,0.102,0.008,0.146,0.145,0.144
"P08","Unidos para Cambiar jujuy",0.645,0.1,0.065,0,0.069,0,0.007
"P08","Juntos Avancemos",0.159,0.702,0.083,0.068,0.04,0.084,0.046
"P08","De los liberales libertarios",0.13,0.113,0.621,0.079,0.021,0.041,0.008
"P08","De la Izquierda",0.001,0.037,0.031,0.76,0,0.063,0.071
"P08","Hacemos por nuestro país",0.007,0.013,0.116,0.008,0.648,0.101,0
"P08","En blanco",0.032,0.008,0.024,0.065,0.044,0.584,0.045
"P08","No sabe",0.026,0.027,0.06,0.02,0.178,0.127,0.823
"P14","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.135,0.492,0.582,0.284,0.423,0.323,0.443
"P14","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.176,0.284,0.176,0.252,0.034,0.161,0.049
"P14","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.501,0.153,0.11,0.089,0.206,0.157,0.125
"P14","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.107,0.018,0.075,0.235,0.052,0.035,0.2
"P14","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.024,0.026,0.006,0.08,0.224,0.031,0.053
"P14","No sabe",0.057,0.027,0.051,0.06,0.061,0.293,0.13
"P15","Totalmente seguro.",0.657,0.666,0.756,0.603,0.344,0.331,0.399
"P15","Bastante seguro",0.158,0.15,0.12,0.102,0.056,0.126,0.059
"P15","Algo seguro",0.14,0.121,0.088,0.253,0.222,0.09,0.152
"P15","Para nada seguro",0.045,0.063,0.036,0.042,0.378,0.453,0.39
"P16","Tiene Decidido que va a ir a votar.",0.936,0.909,0.905,0.639,0.678,0.756,0.724
"P16","Tiene dudas sobre si va a ir a  votar",0.034,0.058,0.065,0.224,0.316,0.129,0.168
"P16","Tiene Decidido que no va a ir a votar",0.03,0.033,0.03,0.137,0.006,0.115,0.108
"P17","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.919,0.209,0.271,0.111,0.313,0.276,0.301
"P17","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.045,0.679,0.217,0.241,0.144,0.102,0.212
"P17","En blanco",0.023,0.064,0.305,0.089,0.094,0.504,0.072
"P17","No sabe",0.013,0.048,0.207,0.559,0.449,0.118,0.415
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.271,0.701,0.165,0.061,0.227,0.334,0.331
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.097,0.198,0.681,0.108,0.174,0.016,0.15
"P18","En blanco",0.42,0.087,0.107,0.554,0.031,0.333,0.081
"P18","No sabe",0.212,0.014,0.047,0.277,0.568,0.317,0.438
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.795,0.218,0.158,0.19,0.116,0.013,0.299
"P19","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.312,0.731,0.197,0.389,0.278,0.223
"P19","En blanco",0.121,0.318,0.073,0.391,0.045,0.616,0.045
"P19","No sabe",0.023,0.152,0.038,0.222,0.45,0.093,0.433
"P20","Si",0.508,0.317,0.395,0.174,0.169,0.139,0.366
"P20","No",0.492,0.683,0.605,0.826,0.831,0.861,0.634
