"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.371,0.355,0.384,0.415,0.363,0.385,0.327,0.206,0.39,0.413,0.465,0.341,0.466,0.369,0.52,0.341,0.428,0.41
"Desempleo",0.069,0.066,0.07,0.096,0.059,0.044,0.084,0.174,0.058,0.04,0.087,0.058,0.045,0.129,0.034,0.037,0.06,0.074
"Corrupción",0.3,0.33,0.276,0.231,0.295,0.311,0.364,0.318,0.319,0.281,0.128,0.36,0.198,0.102,0.085,0.408,0.328,0.341
"Inseguridad",0.109,0.103,0.114,0.105,0.118,0.124,0.083,0.15,0.141,0.074,0.085,0.138,0.116,0.182,0.058,0.111,0.073,0.113
"Precio del dólar",0.018,0.007,0.027,0.019,0.023,0.014,0.013,0.051,0.011,0.012,0.051,0.003,0,0.065,0.015,0.003,0.008,0.003
"Pobreza",0.056,0.059,0.053,0.056,0.069,0.054,0.035,0.018,0.021,0.092,0.075,0.034,0.16,0.06,0.146,0.028,0.058,0.024
"Narcotráfico",0.004,0.006,0.002,0,0.001,0.013,0.002,0.012,0,0.004,0.001,0.006,0,0.004,0,0.011,0,0
"Tarifas",0.004,0.003,0.005,0,0.001,0.011,0.007,0,0.006,0.005,0.006,0.005,0,0.009,0.004,0.007,0,0
"Otro",0.054,0.06,0.05,0.041,0.071,0.036,0.057,0.039,0.033,0.074,0.084,0.038,0.015,0.055,0.129,0.049,0.033,0.029
"No sabe",0.015,0.011,0.019,0.037,0,0.008,0.028,0.032,0.021,0.005,0.018,0.017,0,0.025,0.009,0.005,0.012,0.006
