"var","categoria","Si","Puede ser","No"
"P06","Gerardo Zamora por el Frente Civico por Santiago",0.704,0.673,0.387
"P06","Pablo Mirolo por el Frente Renovador",0.1,0.091,0.235
"P06","Marcelo Lugones por Juntos por el Cambio",0.072,0.063,0.179
"P06","Emilio Rached por Juntos por el Cambio",0.032,0.015,0.076
"P06","Guillermo Suarez Melean por Juntos por el Cambio",0.009,0.032,0.02
"P06","Natalia Neme por Juntos por el Cambio",0.005,0.002,0.009
"P06","No sabe",0.078,0.124,0.094
"P08","Angel Nicolai del Frente Cívico por Santiago",0.487,0.294,0.492
"P08","Pablo Mirolo por el Frente renovador",0.199,0.251,0.181
"P08","Marcelo Lugones por Juntos por el Cambio",0.08,0.055,0.092
"P08","Emilio Rached por Juntos por el Cambio",0.032,0.044,0.125
"P08","Rodrigo Posse por Juntos por el Cambio",0.003,0.049,0
"P08","Facundo Perez Carletti por Juntos por el Cambio",0.022,0.005,0.014
"P08","Natalia Neme por Juntos por el Cambio",0.031,0.063,0
"P08","A otros candidatos",0.04,0.039,0.017
"P08","No sabe",0.106,0.2,0.079
"P10","El covid-19",0.201,0.136,0.164
"P10","El desempleo",0.269,0.281,0.164
"P10","El precio del dólar",0.08,0.054,0.201
"P10","La inseguridad",0.064,0.05,0.069
"P10","La inflación",0.083,0.139,0
"P10","La corrupción",0.088,0.086,0.305
"P10","La pobreza",0.133,0.13,0.039
"P10","Las tarifas",0.021,0.05,0
"P10","Otro",0.061,0.074,0.058
"P15","Muy buena",0.435,0.362,0.135
"P15","Buena",0.143,0.219,0.069
"P15","Ni buena ni mala",0.197,0.148,0.253
"P15","Mala",0.069,0.162,0.112
"P15","Muy mala",0.12,0.055,0.373
"P15","No sabe",0.036,0.054,0.058
"P16","Muy buena",0.074,0.13,0.306
"P16","Buena",0.124,0.066,0.067
"P16","Ni buena ni mala",0.271,0.214,0.168
"P16","Mala",0.302,0.299,0.252
"P16","Muy mala",0.201,0.267,0.086
"P16","No sabe",0.028,0.024,0.121
"P17","Muy buena",0.447,0.506,0.301
"P17","Buena",0.182,0.136,0.067
"P17","Ni buena ni mala",0.12,0.166,0.218
"P17","Mala",0.066,0.043,0.076
"P17","Muy mala",0.173,0.115,0.272
"P17","No sabe",0.012,0.034,0.066
"P18","Muy buena",0.156,0.056,0.172
"P18","Buena",0.189,0.145,0
"P18","Ni buena ni mala",0.396,0.448,0.587
"P18","Mala",0.102,0.081,0.131
"P18","Muy mala",0.056,0.159,0
"P18","No sabe",0.101,0.111,0.11
"P19","Muy buena",0.091,0.112,0.084
"P19","Buena",0.25,0.104,0.096
"P19","Ni buena ni mala",0.371,0.594,0.449
"P19","Mala",0.117,0.057,0.055
"P19","Muy mala",0.107,0.04,0.242
"P19","No sabe",0.064,0.093,0.074
"P20","Si",0.642,0.584,0.378
"P20","No",0.358,0.416,0.622
