"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P7","Al candidato del Frente de Todos",0.284,0.2,0.309
"P7","Al candidato de Juntos por el Cambio",0.538,0.596,0.631
"P7","Al candidato de los liberales - libertarios",0.058,0.046,0.018
"P7","Al candidato de la Izquierda",0,0,0.006
"P7","A otro candidato",0.005,0.151,0.011
"P7","No sabe",0.115,0.007,0.025
"P8","A Julio Zamora por el Frente de Todos",0.22,0.144,0.288
"P8","A Malena Galmarini por el Frente de Todos",0.077,0.003,0.028
"P8","A Segundo Cernadas por Cambiemos",0.421,0.527,0.363
"P8","A Nicolás Massot por Cambiemos",0.169,0.203,0.274
"P8","Al candidato de los liberales libertarios",0.113,0.042,0.016
"P8","A Paula Akerfeld por el Frente de Izquierda",0,0.003,0.002
"P8","No sabe",0,0.078,0.029
"P10","A Julio Zamora por el Frente de Todos",0.056,0.239,0.245
"P10","A Segundo Cernadas por Cambiemos",0.661,0.613,0.51
"P10","Al candidato de los liberales libertarios",0.213,0.097,0.128
"P10","A Paula Akerfeld por el Frente de Izquierda",0.024,0,0.004
"P10","No sabe",0.046,0.051,0.113
"P12","A Malena Galmarini por el Frente de Todos",0.154,0.073,0.153
"P12","A Segundo Cernadas por Cambiemos",0.683,0.695,0.639
"P12","Al candidato de los liberales libertarios",0.116,0.049,0.076
"P12","A Paula Akerfeld por el Frente de Izquierda",0.011,0,0.018
"P12","No sabe",0.036,0.183,0.114
"P14","Muy buena",0.242,0.019,0.13
"P14","Buena",0.008,0.019,0.036
"P14","Ni buena ni mala",0.124,0.378,0.092
"P14","Mala",0.131,0.192,0.22
"P14","Muy mala",0.476,0.362,0.457
"P14","No sabe",0.019,0.03,0.065
"P15","Muy buena",0.371,0.101,0.238
"P15","Buena",0.115,0.205,0.136
"P15","Ni buena ni mala",0.154,0.303,0.14
"P15","Mala",0.092,0.232,0.291
"P15","Muy mala",0.268,0.148,0.172
"P15","No sabe",0,0.011,0.023
"P16","Muy buena",0.503,0.376,0.385
"P16","Buena",0.198,0.229,0.3
"P16","Ni buena ni mala",0.138,0.275,0.138
"P16","Mala",0.055,0.032,0.102
"P16","Muy mala",0.036,0.003,0.058
"P16","No sabe",0.07,0.085,0.017
"P17","Muy buena",0.078,0.021,0.064
"P17","Buena",0.119,0.05,0.029
"P17","Ni buena ni mala",0.361,0.473,0.311
"P17","Mala",0.024,0.03,0.094
"P17","Muy mala",0.059,0.089,0.069
"P17","No sabe",0.359,0.337,0.433
"P18","Muy buena",0.199,0.156,0.138
"P18","Buena",0.139,0.151,0.148
"P18","Ni buena ni mala",0.249,0.402,0.431
"P18","Mala",0.063,0.058,0.099
"P18","Muy mala",0.015,0.03,0.028
"P18","No sabe",0.335,0.203,0.156
"P19","Muy buena",0.348,0.216,0.153
"P19","Buena",0.091,0.172,0.12
"P19","Ni buena ni mala",0.169,0.234,0.305
"P19","Mala",0.194,0.249,0.251
"P19","Muy mala",0.198,0.103,0.159
"P19","No sabe",0,0.026,0.012
"P20","Que continúe el intendente Julio Zamora",0.345,0.11,0.149
"P20","Que continúe Julio Zamora pero con mejoras",0.118,0.212,0.207
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.066,0.141,0.221
"P20","Que cambie el intendente Julio Zamora",0.471,0.537,0.423
"P21","La seguridad",0.43,0.306,0.465
"P21","El tránsito",0,0.02,0.08
"P21","El arreglo de las calles",0.098,0.117,0.101
"P21","El estado de las escuelas y la educación",0.048,0.03,0.039
"P21","El sistema de salud",0.063,0.068,0.061
"P21","El deporte y la cultura",0.128,0.168,0.034
"P21","La obra pública",0,0.013,0.014
"P21","La luminaria",0.056,0.044,0.122
"P21","No sabe",0.177,0.234,0.084
"P22","La seguridad",0.134,0.224,0.336
"P22","El tránsito",0.029,0.063,0.168
"P22","El arreglo de las calles",0.262,0.163,0.132
"P22","El estado de las escuelas y la educación",0.261,0.143,0.112
"P22","El sistema de salud",0.107,0.121,0.127
"P22","El deporte y la cultura",0.027,0.061,0.022
"P22","La obra pública",0.014,0.035,0.037
"P22","La luminaria",0,0.004,0.037
"P22","No sabe",0.166,0.186,0.029
"P23","Agua corriente y cloacas",0.448,0.569,0.538
"P23","Energía eléctrica",0.087,0.082,0.086
"P23","Red de gas natural",0.04,0.051,0.077
"P23","Recolección de residuos",0.248,0.111,0.118
"P23","Ninguno",0.177,0.187,0.181
"P24","Los robos",0.297,0.11,0.319
"P24","El narcotráfico",0.22,0.417,0.295
"P24","La ausencia de patrulleros y personal policial",0.24,0.238,0.22
"P24","Otro",0.084,0.196,0.087
"P24","Ninguno",0.159,0.039,0.079
"P29","A Horacio Rodriguez Larreta",0.326,0.312,0.359
"P29","A Mauricio Macri",0.388,0.29,0.295
"P29","A Patricia Bullrich",0.127,0.294,0.296
"P29","A Facundo Manes",0.149,0.042,0.032
"P29","A Gerardo Morales",0.01,0.062,0.018
"P31","Muy buena",0.243,0.016,0.066
"P31","Buena",0.004,0.219,0.006
"P31","Ni buena ni mala",0.008,0.005,0.177
"P31","Mala",0.116,0.166,0.166
"P31","Muy mala",0.623,0.594,0.577
"P31","No sabe",0.006,0,0.008
"P32","Muy buena",0.424,0.299,0.391
"P32","Buena",0.262,0.314,0.401
"P32","Ni buena ni mala",0.042,0.235,0.079
"P32","Mala",0.162,0.139,0.088
"P32","Muy mala",0.11,0.013,0.041
"P32","No sabe",0,0,0
"P33","Muy buena",0.096,0.164,0.144
"P33","Buena",0.188,0.006,0.064
"P33","Ni buena ni mala",0.019,0.058,0.01
"P33","Mala",0.029,0.087,0.081
"P33","Muy mala",0.65,0.685,0.698
"P33","No sabe",0.018,0,0.003
"P34","Muy buena",0.342,0.259,0.264
"P34","Buena",0.259,0.428,0.327
"P34","Ni buena ni mala",0.283,0.221,0.123
"P34","Mala",0.061,0.05,0.158
"P34","Muy mala",0.055,0.042,0.119
"P34","No sabe",0,0,0.009
"P35","Muy buena",0.018,0.099,0.155
"P35","Buena",0.075,0.18,0.01
"P35","Ni buena ni mala",0.142,0.026,0.108
"P35","Mala",0.15,0.229,0.197
"P35","Muy mala",0.611,0.464,0.528
"P35","No sabe",0.004,0.002,0.002
"P36","Muy buena",0.577,0.446,0.523
"P36","Buena",0.319,0.208,0.35
"P36","Ni buena ni mala",0.026,0.155,0.022
"P36","Mala",0.04,0.122,0.079
"P36","Muy mala",0.038,0.046,0.024
"P36","No sabe",0,0.023,0.002
"P37","Muy buena",0.329,0.037,0.189
"P37","Buena",0.315,0.206,0.091
"P37","Ni buena ni mala",0.256,0.613,0.368
"P37","Mala",0.061,0.055,0.262
"P37","Muy mala",0.039,0.004,0.074
"P37","No sabe",0,0.085,0.016
