"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P7","Al candidato del Frente de Todos",0.623,0.883,0.773,0.819
"P7","Al candidato de Juntos por el Cambio",0.055,0.055,0.127,0
"P7","Al candidato de los liberales - libertarios",0,0,0.015,0.081
"P7","Al candidato de la Izquierda",0.128,0.026,0,0.052
"P7","A otro candidato",0,0.008,0.028,0.04
"P7","No sabe",0.194,0.028,0.057,0.008
"P8","A Julio Zamora por el Frente de Todos",0.337,0.529,0.591,0.797
"P8","A Malena Galmarini por el Frente de Todos",0.086,0.288,0.166,0.096
"P8","A Segundo Cernadas por Cambiemos",0.184,0.179,0.098,0.028
"P8","A Nicolás Massot por Cambiemos",0,0,0.068,0
"P8","Al candidato de los liberales libertarios",0,0,0,0.052
"P8","A Paula Akerfeld por el Frente de Izquierda",0.177,0,0,0.019
"P8","No sabe",0.216,0.004,0.077,0.008
"P10","A Julio Zamora por el Frente de Todos",0.52,0.724,0.689,0.782
"P10","A Segundo Cernadas por Cambiemos",0.048,0.088,0.131,0.004
"P10","Al candidato de los liberales libertarios",0.008,0.063,0.07,0.136
"P10","A Paula Akerfeld por el Frente de Izquierda",0.133,0.045,0.009,0.037
"P10","No sabe",0.291,0.08,0.101,0.041
"P12","A Malena Galmarini por el Frente de Todos",0.514,0.666,0.68,0.633
"P12","A Segundo Cernadas por Cambiemos",0.18,0.261,0.126,0.027
"P12","Al candidato de los liberales libertarios",0,0,0.054,0.133
"P12","A Paula Akerfeld por el Frente de Izquierda",0.004,0.004,0.01,0.089
"P12","No sabe",0.302,0.069,0.13,0.118
"P14","Muy buena",0.24,0.308,0.048,0.225
"P14","Buena",0.16,0.367,0.462,0.287
"P14","Ni buena ni mala",0.027,0.115,0.286,0.315
"P14","Mala",0.164,0.008,0.116,0.117
"P14","Muy mala",0.12,0.071,0.073,0.047
"P14","No sabe",0.289,0.131,0.015,0.009
"P15","Muy buena",0.24,0.441,0.342,0.27
"P15","Buena",0.229,0.277,0.274,0.358
"P15","Ni buena ni mala",0.02,0.115,0.232,0.319
"P15","Mala",0.063,0.031,0.062,0.019
"P15","Muy mala",0.163,0.042,0.038,0.016
"P15","No sabe",0.285,0.094,0.052,0.018
"P16","Muy buena",0.204,0.107,0.121,0.009
"P16","Buena",0.115,0.055,0.281,0.023
