"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P7","Al candidato del Frente de Todos",0.607,0.893,0.652,0.857
"P7","Al candidato de Juntos por el Cambio",0.074,0.026,0.136,0
"P7","Al candidato de los liberales - libertarios",0,0,0,0.061
"P7","Al candidato de la Izquierda",0.184,0.04,0,0.045
"P7","A otro candidato",0,0,0.035,0.026
"P7","No sabe",0.135,0.041,0.177,0.011
"P8","A Julio Zamora por el Frente de Todos",0.265,0.651,0.459,0.721
"P8","A Malena Galmarini por el Frente de Todos",0.041,0.329,0.164,0.123
"P8","A Segundo Cernadas por Cambiemos",0.208,0.014,0.117,0.101
"P8","A Nicolás Massot por Cambiemos",0,0,0.064,0
"P8","Al candidato de los liberales libertarios",0,0,0,0.035
"P8","A Paula Akerfeld por el Frente de Izquierda",0.302,0,0,0.013
"P8","No sabe",0.184,0.006,0.196,0.007
"P10","A Julio Zamora por el Frente de Todos",0.438,0.763,0.545,0.808
"P10","A Segundo Cernadas por Cambiemos",0.06,0.06,0.161,0.014
"P10","Al candidato de los liberales libertarios",0.006,0.038,0.062,0.097
"P10","A Paula Akerfeld por el Frente de Izquierda",0.184,0.056,0.008,0.043
"P10","No sabe",0.312,0.083,0.224,0.038
"P12","A Malena Galmarini por el Frente de Todos",0.376,0.751,0.582,0.678
"P12","A Segundo Cernadas por Cambiemos",0.281,0.135,0.139,0.078
"P12","Al candidato de los liberales libertarios",0,0.012,0.043,0.09
"P12","A Paula Akerfeld por el Frente de Izquierda",0.02,0.006,0,0.061
"P12","No sabe",0.323,0.096,0.236,0.093
"P14","Muy buena",0.269,0.363,0.071,0.214
"P14","Buena",0.133,0.245,0.437,0.327
"P14","Ni buena ni mala",0.011,0.186,0.193,0.252
"P14","Mala",0.272,0.012,0.095,0.089
"P14","Muy mala",0.013,0.02,0.073,0.096
"P14","No sabe",0.302,0.174,0.131,0.022
"P15","Muy buena",0.331,0.558,0.259,0.266
"P15","Buena",0.098,0.185,0.23,0.413
"P15","Ni buena ni mala",0.011,0.132,0.219,0.234
"P15","Mala",0.074,0.047,0.059,0.024
"P15","Muy mala",0.184,0.036,0.056,0.04
"P15","No sabe",0.302,0.042,0.177,0.023
"P16","Muy buena",0.299,0.012,0.139,0.037
"P16","Buena",0.011,0.045,0.281,0.074
"P16","Ni buena ni mala",0.248,0.342,0.1,0.335
"P16","Mala",0.06,0.241,0.229,0.216
"P16","Muy mala",0.03,0.133,0.12,0.316
"P16","No sabe",0.352,0.227,0.131,0.022
"P17","Muy buena",0.208,0.032,0.019,0.078
"P17","Buena",0.013,0.046,0.192,0.126
"P17","Ni buena ni mala",0.176,0.297,0.47,0.339
"P17","Mala",0.028,0.077,0.005,0.05
"P17","Muy mala",0.207,0.061,0.088,0.089
"P17","No sabe",0.368,0.487,0.226,0.318
"P18","Muy buena",0.218,0.019,0.084,0.038
"P18","Buena",0.024,0.008,0.163,0.13
"P18","Ni buena ni mala",0.118,0.398,0.447,0.298
"P18","Mala",0.033,0.142,0.103,0.141
"P18","Muy mala",0.019,0.067,0.062,0.248
"P18","No sabe",0.588,0.366,0.141,0.145
"P19","Muy buena",0.341,0.387,0.274,0.335
"P19","Buena",0.076,0.311,0.208,0.431
"P19","Ni buena ni mala",0.13,0.046,0.236,0.135
"P19","Mala",0.074,0.058,0.053,0.013
"P19","Muy mala",0.184,0.024,0.052,0.086
"P19","No sabe",0.195,0.174,0.177,0
"P20","Que continúe el intendente Julio Zamora",0.379,0.298,0.089,0.295
"P20","Que continúe Julio Zamora pero con mejoras",0.352,0.574,0.46,0.453
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.011,0.05,0.29,0.142
"P20","Que cambie el intendente Julio Zamora",0.258,0.078,0.161,0.11
"P21","La seguridad",0.161,0.285,0.321,0.166
"P21","El tránsito",0.07,0.006,0.136,0.046
"P21","El arreglo de las calles",0.416,0.28,0.127,0.161
"P21","El estado de las escuelas y la educación",0.13,0.026,0.084,0.029
"P21","El sistema de salud",0.016,0.07,0.136,0.127
"P21","El deporte y la cultura",0.006,0.116,0.019,0.171
"P21","La obra pública",0.007,0.086,0.005,0.086
"P21","La luminaria",0,0.054,0.082,0.092
"P21","No sabe",0.194,0.077,0.09,0.122
"P22","La seguridad",0.373,0.097,0.136,0.129
"P22","El tránsito",0.119,0.305,0.181,0.135
"P22","El arreglo de las calles",0.266,0.092,0.041,0.129
"P22","El estado de las escuelas y la educación",0.024,0.209,0.061,0.076
"P22","El sistema de salud",0,0.14,0.299,0.219
"P22","El deporte y la cultura",0.013,0.032,0.006,0.062
"P22","La obra pública",0,0.02,0.15,0.021
"P22","La luminaria",0,0.02,0.053,0.016
"P22","No sabe",0.205,0.085,0.073,0.213
"P23","Agua corriente y cloacas",0.574,0.523,0.208,0.377
"P23","Energía eléctrica",0.141,0.092,0.15,0.165
"P23","Red de gas natural",0.04,0.012,0.024,0.088
"P23","Recolección de residuos",0.026,0.086,0.295,0.142
"P23","Ninguno",0.219,0.287,0.323,0.228
"P24","Los robos",0.414,0.231,0.27,0.34
"P24","El narcotráfico",0.011,0.397,0.502,0.269
"P24","La ausencia de patrulleros y personal policial",0.359,0.124,0.155,0.136
"P24","Otro",0.21,0.125,0.066,0.171
"P24","Ninguno",0.006,0.123,0.007,0.084
"P27","A Alberto Fernández",0.969,0.06,0.151,0.14
"P27","A Sergio Massa",0.018,0.889,0.049,0.142
"P27","A algún candidato del peronismo",0.013,0.019,0.8,0.048
"P27","A algún candidato del kirchnerismo",0,0.032,0,0.67
"P31","Muy buena",0.673,0.115,0.108,0.104
"P31","Buena",0.11,0.475,0.067,0.209
"P31","Ni buena ni mala",0.217,0.244,0.511,0.291
"P31","Mala",0,0.122,0.036,0.293
"P31","Muy mala",0,0.037,0.143,0.103
"P31","No sabe",0,0.007,0.135,0
"P32","Muy buena",0.409,0.018,0.093,0
"P32","Buena",0.006,0.028,0.065,0.029
"P32","Ni buena ni mala",0,0.079,0.148,0.061
"P32","Mala",0.067,0.267,0.483,0.063
"P32","Muy mala",0.339,0.608,0.211,0.847
"P32","No sabe",0.179,0,0,0
"P33","Muy buena",0.724,0.463,0.42,0.656
"P33","Buena",0.068,0.069,0.081,0.046
"P33","Ni buena ni mala",0.189,0.131,0.209,0.011
"P33","Mala",0.007,0.228,0.196,0.002
"P33","Muy mala",0.012,0.109,0.094,0.285
"P33","No sabe",0,0,0,0
"P34","Muy buena",0.102,0.028,0.083,0.025
"P34","Buena",0.02,0.098,0.121,0.028
"P34","Ni buena ni mala",0.331,0.421,0.344,0.058
"P34","Mala",0.037,0.264,0.08,0.16
"P34","Muy mala",0.309,0.189,0.233,0.729
"P34","No sabe",0.201,0,0.139,0
"P35","Muy buena",0.35,0.478,0.022,0.082
"P35","Buena",0.08,0.432,0.56,0.349
"P35","Ni buena ni mala",0.348,0.013,0.235,0.221
"P35","Mala",0,0.029,0.028,0.112
"P35","Muy mala",0.222,0.048,0.155,0.233
"P35","No sabe",0,0,0,0.003
"P36","Muy buena",0.078,0.048,0.029,0.006
