"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Positiva",0.521,0.472,0.57,0.51,0.511,0.497,0.647,0.654,0.452,0.372,0.744,0.136,0
"Alberto Fernandez","Neutra",0.127,0.102,0.153,0.12,0.182,0.073,0.014,0.098,0.169,0.076,0.123,0.084,0
"Alberto Fernandez","Negativa",0.335,0.392,0.276,0.33,0.307,0.404,0.334,0.22,0.372,0.53,0.13,0.777,1
"Alberto Fernandez","No sabe",0.017,0.034,0.001,0.04,0,0.026,0.005,0.028,0.007,0.022,0.003,0.003,0
"CFK","Positiva",0.477,0.416,0.539,0.407,0.516,0.47,0.55,0.57,0.42,0.396,0.686,0.165,0
"CFK","Neutra",0.134,0.115,0.152,0.188,0.147,0.079,0,0.136,0.159,0.047,0.126,0.083,0.042
"CFK","Negativa",0.369,0.429,0.308,0.375,0.334,0.398,0.445,0.254,0.421,0.528,0.185,0.723,0.903
"CFK","No sabe",0.02,0.04,0.001,0.03,0.003,0.053,0.005,0.04,0,0.029,0.003,0.029,0.055
"Horacio Rodriguez Larreta","Positiva",0.346,0.349,0.343,0.409,0.278,0.305,0.524,0.332,0.351,0.368,0.229,0.717,1
"Horacio Rodriguez Larreta","Neutra",0.308,0.292,0.324,0.366,0.319,0.274,0.131,0.252,0.381,0.24,0.335,0.179,0
"Horacio Rodriguez Larreta","Negativa",0.299,0.293,0.306,0.154,0.367,0.371,0.34,0.323,0.259,0.358,0.392,0.077,0
"Horacio Rodriguez Larreta","No sabe",0.047,0.066,0.027,0.071,0.036,0.05,0.005,0.093,0.009,0.034,0.044,0.027,0
"Mauricio Macri","Positiva",0.189,0.18,0.198,0.254,0.143,0.208,0.139,0.197,0.188,0.171,0.105,0.527,0
"Mauricio Macri","Neutra",0.196,0.2,0.193,0.227,0.17,0.165,0.278,0.234,0.17,0.176,0.124,0.264,0.9
"Mauricio Macri","Negativa",0.578,0.549,0.607,0.46,0.673,0.561,0.578,0.521,0.607,0.644,0.735,0.209,0.1
"Mauricio Macri","No sabe",0.037,0.071,0.002,0.059,0.014,0.066,0.005,0.048,0.035,0.009,0.036,0,0
