"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Positiva",0.443,0.402,0.486,0.338,0.455,0.462,0.513,0.435,0.387,0.537
"Horacio Rodriguez Larreta","Neutra",0.177,0.192,0.162,0.199,0.159,0.196,0.171,0.215,0.182,0.133
"Horacio Rodriguez Larreta","Negativa",0.361,0.397,0.324,0.437,0.371,0.329,0.288,0.32,0.409,0.328
"Horacio Rodriguez Larreta","No sabe",0.019,0.009,0.028,0.026,0.015,0.013,0.028,0.03,0.022,0.002
"Alberto Fernandez","Positiva",0.36,0.352,0.367,0.357,0.365,0.362,0.343,0.381,0.416,0.251
"Alberto Fernandez","Neutra",0.083,0.077,0.089,0.039,0.097,0.087,0.093,0.111,0.073,0.069
"Alberto Fernandez","Negativa",0.541,0.557,0.526,0.579,0.529,0.536,0.54,0.489,0.491,0.674
"Alberto Fernandez","No sabe",0.016,0.014,0.018,0.025,0.009,0.015,0.024,0.019,0.02,0.006
"CFK","Positiva",0.339,0.345,0.333,0.34,0.341,0.342,0.326,0.333,0.405,0.243
"CFK","Neutra",0.052,0.042,0.062,0.033,0.067,0.043,0.047,0.102,0.034,0.029
"CFK","Negativa",0.605,0.611,0.599,0.627,0.585,0.612,0.625,0.565,0.554,0.724
"CFK","No sabe",0.004,0.002,0.006,0,0.007,0.003,0.002,0,0.007,0.004
"Sergio Massa","Positiva",0.253,0.254,0.253,0.209,0.264,0.256,0.27,0.285,0.278,0.183
"Sergio Massa","Neutra",0.145,0.153,0.136,0.091,0.189,0.117,0.129,0.183,0.165,0.076
"Sergio Massa","Negativa",0.588,0.592,0.583,0.672,0.536,0.614,0.592,0.504,0.545,0.737
"Sergio Massa","No sabe",0.014,0.001,0.028,0.028,0.011,0.013,0.009,0.028,0.012,0.004
"Mauricio Macri","Positiva",0.251,0.216,0.288,0.299,0.21,0.273,0.278,0.195,0.241,0.324
"Mauricio Macri","Neutra",0.194,0.178,0.21,0.13,0.202,0.225,0.201,0.229,0.166,0.199
"Mauricio Macri","Negativa",0.548,0.595,0.499,0.545,0.588,0.493,0.519,0.553,0.593,0.474
"Mauricio Macri","No sabe",0.007,0.011,0.003,0.026,0,0.009,0.002,0.023,0,0.003
