"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Positiva",0.43,0.379,0.479,0.336,0.44,0.457,0.486,0.408,0.383,0.527
"Horacio Rodriguez Larreta","Neutra",0.191,0.211,0.171,0.222,0.174,0.193,0.194,0.218,0.197,0.15
"Horacio Rodriguez Larreta","Negativa",0.349,0.39,0.311,0.399,0.359,0.323,0.294,0.324,0.389,0.317
"Horacio Rodriguez Larreta","No sabe",0.03,0.02,0.039,0.043,0.027,0.027,0.026,0.05,0.031,0.006
"Alberto Fernandez","Positiva",0.36,0.35,0.37,0.315,0.389,0.349,0.352,0.42,0.387,0.247
"Alberto Fernandez","Neutra",0.1,0.084,0.117,0.092,0.107,0.096,0.099,0.115,0.102,0.081
"Alberto Fernandez","Negativa",0.519,0.541,0.496,0.572,0.481,0.54,0.527,0.431,0.494,0.66
"Alberto Fernandez","No sabe",0.021,0.025,0.017,0.021,0.023,0.015,0.022,0.034,0.017,0.012
"Mauricio Macri","Positiva",0.239,0.209,0.269,0.267,0.209,0.264,0.258,0.186,0.235,0.305
"Mauricio Macri","Neutra",0.194,0.171,0.216,0.122,0.2,0.244,0.198,0.235,0.161,0.201
"Mauricio Macri","Negativa",0.551,0.603,0.5,0.59,0.577,0.472,0.539,0.543,0.598,0.484
"Mauricio Macri","No sabe",0.016,0.017,0.015,0.021,0.014,0.02,0.005,0.036,0.006,0.01
"Sergio Massa","Positiva",0.259,0.254,0.265,0.214,0.277,0.253,0.279,0.3,0.281,0.178
"Sergio Massa","Neutra",0.164,0.159,0.168,0.157,0.201,0.124,0.118,0.193,0.186,0.095
"Sergio Massa","Negativa",0.554,0.573,0.536,0.606,0.499,0.598,0.587,0.458,0.52,0.719
"Sergio Massa","No sabe",0.023,0.014,0.031,0.023,0.023,0.025,0.016,0.049,0.013,0.008
"CFK","Positiva",0.34,0.334,0.346,0.32,0.356,0.342,0.314,0.355,0.389,0.242
"CFK","Neutra",0.066,0.061,0.071,0.072,0.07,0.056,0.062,0.106,0.061,0.03
"CFK","Negativa",0.58,0.591,0.57,0.592,0.553,0.597,0.622,0.52,0.544,0.706
"CFK","No sabe",0.014,0.014,0.013,0.016,0.021,0.005,0.002,0.019,0.006,0.022
