"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto"
"Horacio Rodriguez Larreta","Positiva",0.436,0.391,0.478,0.33,0.447,0.46,0.499,0.417,0.383,0.535
"Horacio Rodriguez Larreta","Neutra",0.189,0.21,0.169,0.222,0.176,0.193,0.176,0.223,0.195,0.143
"Horacio Rodriguez Larreta","Negativa",0.351,0.39,0.315,0.4,0.363,0.325,0.298,0.326,0.391,0.32
"Horacio Rodriguez Larreta","No sabe",0.024,0.009,0.038,0.048,0.014,0.022,0.027,0.034,0.031,0.002
"Alberto Fernandez","Positiva",0.37,0.355,0.384,0.33,0.402,0.353,0.353,0.432,0.402,0.25
"Alberto Fernandez","Neutra",0.094,0.077,0.109,0.076,0.098,0.098,0.095,0.103,0.096,0.08
"Alberto Fernandez","Negativa",0.521,0.555,0.491,0.571,0.492,0.535,0.529,0.448,0.483,0.664
"Alberto Fernandez","No sabe",0.015,0.013,0.016,0.023,0.008,0.014,0.023,0.017,0.019,0.006
"Mauricio Macri","Positiva",0.243,0.213,0.272,0.275,0.211,0.264,0.265,0.186,0.24,0.308
"Mauricio Macri","Neutra",0.198,0.18,0.215,0.133,0.204,0.241,0.196,0.245,0.161,0.204
"Mauricio Macri","Negativa",0.547,0.596,0.5,0.568,0.579,0.476,0.534,0.541,0.593,0.484
"Mauricio Macri","No sabe",0.012,0.011,0.013,0.024,0.006,0.019,0.005,0.028,0.006,0.004
"Sergio Massa","Positiva",0.265,0.257,0.271,0.216,0.284,0.257,0.281,0.313,0.285,0.179
"Sergio Massa","Neutra",0.154,0.151,0.157,0.102,0.201,0.126,0.122,0.191,0.167,0.094
"Sergio Massa","Negativa",0.564,0.59,0.54,0.656,0.505,0.593,0.581,0.464,0.534,0.722
"Sergio Massa","No sabe",0.017,0.002,0.032,0.026,0.01,0.024,0.016,0.032,0.014,0.005
"CFK","Positiva",0.35,0.342,0.357,0.337,0.368,0.346,0.318,0.371,0.404,0.242
"CFK","Neutra",0.058,0.044,0.072,0.03,0.073,0.057,0.052,0.105,0.043,0.03
"CFK","Negativa",0.584,0.612,0.558,0.615,0.552,0.594,0.628,0.524,0.547,0.709
"CFK","No sabe",0.008,0.002,0.013,0.018,0.007,0.003,0.002,0,0.006,0.019
