"var","categoria","Con fuerza, determinación y coraje para lograr sus objetivos","Usando los mejores recursos disponibles para defender los intereses que representan","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social","No sabe"
"P05","Sergio Massa por el Frente de Todos",0.145,0.197,0.19,0.275,0.263,0.122
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.075,0.094,0.14,0.152,0.116,0.076
"P05","Patricia Bulrich por Juntos por el Cambio",0.279,0.188,0.189,0.221,0.187,0.075
"P05","Javier Milei por La Libertad Avanza",0.368,0.305,0.257,0.163,0.192,0.288
"P05","Al candidato del Frente de Izquierda",0.025,0.006,0.047,0.031,0.041,0.03
"P05","No sabe",0.108,0.21,0.177,0.158,0.201,0.409
"P09","Si, habitualmente",0.262,0.222,0.192,0.245,0.193,0.152
"P09","Algunas veces",0.412,0.405,0.405,0.391,0.409,0.269
"P09","Nunca, pero esta es una excepción",0.326,0.373,0.403,0.364,0.398,0.579
"P10","Si",0.444,0.476,0.406,0.465,0.449,0.445
"P10","No",0.556,0.524,0.594,0.535,0.551,0.555
"P11","La política no sirve para nada",0.252,0.17,0.105,0.107,0.121,0.274
"P11","La política no me interesa",0.106,0.128,0.122,0.08,0.087,0.195
"P11","La política me interesa poco",0.144,0.166,0.131,0.119,0.108,0.111
"P11","La política me interesa",0.224,0.247,0.27,0.192,0.18,0.145
"P11","La política es muy importante",0.237,0.219,0.325,0.459,0.474,0.198
"P11","No sabe",0.037,0.07,0.047,0.043,0.03,0.077
"P12","Nunca",0.702,0.579,0.622,0.529,0.585,0.703
"P12","A veces",0.153,0.229,0.21,0.31,0.288,0.154
"P12","Siempre",0.095,0.105,0.081,0.121,0.1,0.065
"P12","No sabe",0.05,0.087,0.087,0.04,0.027,0.078
"P13","Los políticos son todos ladrones y corruptos",0.459,0.203,0.184,0.157,0.194,0.405
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.176,0.3,0.196,0.212,0.12,0.185
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.248,0.253,0.442,0.26,0.355,0.115
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.076,0.16,0.104,0.233,0.146,0.106
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.022,0.031,0.052,0.114,0.151,0.054
"P13","No sabe",0.019,0.053,0.022,0.024,0.034,0.135
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.731,0.454,0.322,0.269,0.183,0.376
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.106,0.264,0.168,0.126,0.141,0.065
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.064,0.163,0.304,0.298,0.234,0.104
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.062,0.053,0.103,0.211,0.155,0.041
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0.04,0.056,0.062,0.257,0.042
"P15","No sabe",0.016,0.026,0.047,0.034,0.03,0.372
"P16","Muy de derecha",0.354,0.257,0.163,0.121,0.054,0.326
"P16","De derecha",0.284,0.319,0.257,0.213,0.199,0.171
"P16","De centro",0.196,0.287,0.362,0.366,0.358,0.333
"P16","De centro izquierda",0.109,0.098,0.14,0.22,0.321,0.069
"P16","Muy de izquierda",0.057,0.039,0.078,0.08,0.068,0.101
"P17","Muy de derecha",0.289,0.167,0.123,0.096,0.129,0.368
"P17","De derecha",0.095,0.259,0.083,0.096,0.088,0.112
"P17","De centro",0.076,0.114,0.143,0.13,0.169,0.068
"P17","De centro izquierda",0.206,0.179,0.289,0.381,0.354,0.164
"P17","Muy de izquierda",0.334,0.281,0.362,0.297,0.26,0.288
"P18","Muy de derecha",0.243,0.263,0.207,0.306,0.247,0.357
"P18","De derecha",0.279,0.286,0.357,0.347,0.328,0.132
"P18","De centro",0.227,0.204,0.221,0.226,0.188,0.146
"P18","De centro izquierda",0.141,0.131,0.091,0.072,0.101,0.129
"P18","Muy de izquierda",0.11,0.116,0.124,0.049,0.136,0.236
"P19","Muy de derecha",0.506,0.416,0.42,0.582,0.61,0.442
"P19","De derecha",0.202,0.204,0.218,0.234,0.184,0.141
"P19","De centro",0.124,0.137,0.142,0.081,0.083,0.203
"P19","De centro izquierda",0.074,0.1,0.051,0.025,0.044,0.062
"P19","Muy de izquierda",0.094,0.143,0.169,0.078,0.079,0.152
"P20","Si",0.496,0.478,0.447,0.477,0.414,0.321
"P20","No",0.504,0.522,0.553,0.523,0.586,0.679
