"var","categoria","Los políticos son todos ladrones y corruptos","Los políticos sólo piensan en ellos y no en los problemas de la gente","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos","No sabe"
"P05","Sergio Massa por el Frente de Todos",0.107,0.159,0.151,0.345,0.583,0.223
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.109,0.109,0.126,0.105,0.057,0.069
"P05","Patricia Bulrich por Juntos por el Cambio",0.173,0.215,0.271,0.183,0.048,0.067
"P05","Javier Milei por La Libertad Avanza",0.388,0.287,0.275,0.147,0.075,0.092
"P05","Al candidato del Frente de Izquierda",0.023,0.027,0.032,0.022,0.044,0.048
"P05","No sabe",0.2,0.203,0.145,0.198,0.193,0.501
"P09","Si, habitualmente",0.176,0.175,0.227,0.27,0.363,0.15
"P09","Algunas veces",0.367,0.373,0.44,0.339,0.342,0.412
"P09","Nunca, pero esta es una excepción",0.457,0.452,0.333,0.391,0.295,0.438
"P10","Si",0.384,0.418,0.454,0.542,0.534,0.338
"P10","No",0.616,0.582,0.546,0.458,0.466,0.662
"P11","La política no sirve para nada",0.39,0.146,0.085,0.041,0.037,0.035
"P11","La política no me interesa",0.191,0.146,0.079,0.048,0.069,0.079
"P11","La política me interesa poco",0.102,0.204,0.116,0.148,0.032,0.2
"P11","La política me interesa",0.116,0.212,0.302,0.296,0.155,0.213
"P11","La política es muy importante",0.152,0.242,0.362,0.433,0.675,0.423
"P11","No sabe",0.049,0.05,0.056,0.034,0.032,0.05
"P12","Nunca",0.851,0.632,0.588,0.419,0.348,0.447
"P12","A veces",0.074,0.232,0.242,0.345,0.384,0.271
"P12","Siempre",0.045,0.086,0.108,0.13,0.217,0.111
"P12","No sabe",0.03,0.05,0.062,0.106,0.051,0.171
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.412,0.218,0.209,0.143,0.085,0.12
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.126,0.257,0.148,0.21,0.082,0.227
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.139,0.203,0.312,0.164,0.17,0.116
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.079,0.146,0.122,0.246,0.246,0.082
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.099,0.085,0.17,0.157,0.334,0.12
"P14","No sabe",0.145,0.091,0.039,0.08,0.083,0.335
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.625,0.474,0.406,0.19,0.153,0.088
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.089,0.149,0.21,0.174,0.045,0.228
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.097,0.163,0.217,0.316,0.305,0.197
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.051,0.098,0.094,0.161,0.224,0.124
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.071,0.054,0.048,0.085,0.195,0.124
"P15","No sabe",0.067,0.062,0.025,0.074,0.078,0.239
"P16","Muy de derecha",0.387,0.222,0.14,0.128,0.066,0.172
"P16","De derecha",0.257,0.307,0.275,0.21,0.096,0.15
"P16","De centro",0.216,0.322,0.348,0.387,0.311,0.249
"P16","De centro izquierda",0.076,0.072,0.185,0.248,0.45,0.155
"P16","Muy de izquierda",0.064,0.077,0.052,0.027,0.077,0.274
"P17","Muy de derecha",0.271,0.214,0.146,0.151,0.107,0.116
"P17","De derecha",0.127,0.129,0.108,0.138,0.041,0.188
"P17","De centro",0.082,0.127,0.075,0.2,0.222,0.187
"P17","De centro izquierda",0.189,0.211,0.271,0.352,0.558,0.189
"P17","Muy de izquierda",0.331,0.319,0.4,0.159,0.072,0.32
"P18","Muy de derecha",0.254,0.245,0.202,0.358,0.428,0.184
"P18","De derecha",0.296,0.277,0.339,0.27,0.295,0.267
"P18","De centro",0.161,0.223,0.257,0.207,0.091,0.305
"P18","De centro izquierda",0.15,0.124,0.081,0.113,0.063,0.115
"P18","Muy de izquierda",0.139,0.131,0.121,0.052,0.123,0.129
"P19","Muy de derecha",0.421,0.424,0.511,0.551,0.8,0.546
"P19","De derecha",0.243,0.205,0.223,0.168,0.046,0.128
"P19","De centro",0.141,0.14,0.125,0.105,0.053,0.1
"P19","De centro izquierda",0.075,0.068,0.059,0.049,0.006,0.063
"P19","Muy de izquierda",0.12,0.163,0.082,0.127,0.095,0.163
"P20","Si",0.458,0.391,0.442,0.523,0.589,0.351
"P20","No",0.542,0.609,0.558,0.477,0.411,0.649
