"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P05","Sergio Massa por el Frente de Todos",0.099,0.121,0.327,0.363,0.365,0.124
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.09,0.209,0.11,0.063,0.073,0.134
"P05","Patricia Bulrich por Juntos por el Cambio",0.257,0.221,0.14,0.194,0.117,0.126
"P05","Javier Milei por La Libertad Avanza",0.398,0.324,0.149,0.091,0.183,0.178
"P05","Al candidato del Frente de Izquierda",0.013,0.015,0.035,0.097,0.073,0.012
"P05","No sabe",0.143,0.11,0.239,0.192,0.189,0.426
"P09","Si, habitualmente",0.223,0.208,0.264,0.233,0.149,0.161
"P09","Algunas veces",0.389,0.422,0.4,0.381,0.426,0.251
"P09","Nunca, pero esta es una excepción",0.388,0.37,0.336,0.386,0.425,0.588
"P10","Si",0.452,0.48,0.426,0.587,0.403,0.312
"P10","No",0.548,0.52,0.574,0.413,0.597,0.688
"P11","La política no sirve para nada",0.276,0.116,0.079,0.065,0.081,0.175
"P11","La política no me interesa",0.111,0.089,0.124,0.12,0.082,0.24
"P11","La política me interesa poco",0.12,0.175,0.121,0.179,0.06,0.183
"P11","La política me interesa",0.223,0.294,0.231,0.174,0.179,0.1
"P11","La política es muy importante",0.22,0.308,0.398,0.431,0.555,0.162
"P11","No sabe",0.05,0.018,0.047,0.031,0.043,0.14
"P12","Nunca",0.73,0.618,0.539,0.455,0.455,0.574
"P12","A veces",0.149,0.231,0.247,0.325,0.357,0.248
"P12","Siempre",0.071,0.09,0.102,0.179,0.152,0.069
"P12","No sabe",0.05,0.061,0.112,0.041,0.036,0.109
"P13","Los políticos son todos ladrones y corruptos",0.407,0.165,0.142,0.141,0.271,0.3
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.229,0.205,0.177,0.2,0.154,0.207
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.278,0.409,0.333,0.272,0.193,0.119
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.055,0.144,0.206,0.198,0.146,0.149
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.023,0.02,0.103,0.143,0.172,0.081
"P13","No sabe",0.008,0.057,0.039,0.046,0.064,0.144
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.433,0.178,0.085,0.157,0.072,0.065
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.182,0.301,0.146,0.09,0.093,0.072
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.154,0.229,0.327,0.209,0.159,0.154
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.087,0.117,0.216,0.288,0.118,0.077
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.061,0.134,0.175,0.218,0.504,0.069
"P14","No sabe",0.083,0.041,0.051,0.038,0.054,0.563
"P16","Muy de derecha",0.378,0.09,0.055,0.096,0.085,0.351
"P16","De derecha",0.303,0.399,0.145,0.156,0.106,0.215
"P16","De centro",0.213,0.353,0.52,0.258,0.23,0.315
"P16","De centro izquierda",0.048,0.109,0.24,0.368,0.439,0.038
"P16","Muy de izquierda",0.058,0.049,0.04,0.122,0.14,0.081
"P17","Muy de derecha",0.248,0.152,0.131,0.126,0.075,0.341
"P17","De derecha",0.105,0.181,0.104,0.143,0.053,0.167
"P17","De centro",0.059,0.082,0.197,0.161,0.233,0.143
"P17","De centro izquierda",0.182,0.249,0.358,0.388,0.435,0.103
"P17","Muy de izquierda",0.406,0.336,0.21,0.182,0.204,0.246
"P18","Muy de derecha",0.224,0.163,0.314,0.333,0.367,0.295
"P18","De derecha",0.28,0.376,0.331,0.3,0.308,0.134
"P18","De centro",0.229,0.268,0.179,0.108,0.188,0.227
"P18","De centro izquierda",0.12,0.13,0.087,0.123,0.071,0.124
"P18","Muy de izquierda",0.147,0.063,0.089,0.136,0.066,0.22
"P19","Muy de derecha",0.421,0.475,0.559,0.614,0.657,0.429
"P19","De derecha",0.235,0.214,0.178,0.151,0.177,0.139
"P19","De centro",0.171,0.097,0.076,0.082,0.083,0.15
"P19","De centro izquierda",0.062,0.088,0.044,0.059,0.02,0.097
"P19","Muy de izquierda",0.111,0.126,0.143,0.094,0.063,0.185
"P20","Si",0.42,0.477,0.48,0.596,0.411,0.335
"P20","No",0.58,0.523,0.52,0.404,0.589,0.665
