"var","categoria","Si","No"
"P05","Sergio Massa por el Frente de Todos",0.248,0.184
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.128,0.097
"P05","Patricia Bulrich por Juntos por el Cambio",0.198,0.209
"P05","Javier Milei por La Libertad Avanza",0.273,0.29
"P05","Al candidato del Frente de Izquierda",0.022,0.033
"P05","No sabe",0.131,0.187
"P09","Si, habitualmente",0.353,0.141
"P09","Algunas veces",0.353,0.414
"P09","Nunca, pero esta es una excepción",0.294,0.445
"P10","Si",0.667,0.322
"P10","No",0.333,0.678
"P11","La política no sirve para nada",0.152,0.171
"P11","La política no me interesa",0.11,0.124
"P11","La política me interesa poco",0.107,0.126
"P11","La política me interesa",0.251,0.214
"P11","La política es muy importante",0.361,0.323
"P11","No sabe",0.019,0.042
"P12","Nunca",0.572,0.628
"P12","A veces",0.245,0.233
"P12","Siempre",0.121,0.081
"P12","No sabe",0.062,0.058
"P13","Los políticos son todos ladrones y corruptos",0.272,0.268
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.171,0.221
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.298,0.311
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.142,0.108
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.091,0.053
"P13","No sabe",0.026,0.039
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.278,0.234
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.167,0.151
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.207,0.213
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.155,0.141
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.136,0.16
"P14","No sabe",0.057,0.101
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.397,0.455
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.156,0.142
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.211,0.19
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.133,0.075
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.067,0.079
"P15","No sabe",0.036,0.059
"P16","Muy de derecha",0.193,0.224
"P16","De derecha",0.269,0.255
"P16","De centro",0.303,0.316
"P16","De centro izquierda",0.183,0.153
"P16","Muy de izquierda",0.052,0.052
"P17","Muy de derecha",0.197,0.18
"P17","De derecha",0.128,0.096
"P17","De centro",0.094,0.129
"P17","De centro izquierda",0.303,0.258
"P17","Muy de izquierda",0.278,0.337
"P18","Muy de derecha",0.265,0.243
"P18","De derecha",0.287,0.33
"P18","De centro",0.221,0.2
"P18","De centro izquierda",0.134,0.095
"P18","Muy de izquierda",0.093,0.132
"P19","Muy de derecha",0.513,0.477
"P19","De derecha",0.184,0.228
"P19","De centro",0.1,0.135
"P19","De centro izquierda",0.076,0.048
"P19","Muy de izquierda",0.127,0.112
