"var","categoria","Si, habitualmente","Algunas veces","Nunca, pero esta es una excepción"
"P05","Sergio Massa por el Frente de Todos",0.225,0.195,0.164
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.111,0.119,0.106
"P05","Patricia Bulrich por Juntos por el Cambio",0.234,0.239,0.145
"P05","Javier Milei por La Libertad Avanza",0.262,0.254,0.261
"P05","Al candidato del Frente de Izquierda",0.018,0.044,0.023
"P05","No sabe",0.15,0.149,0.301
"P10","Si",0.667,0.379,0.342
"P10","No",0.333,0.621,0.658
"P11","La política no sirve para nada",0.16,0.145,0.185
"P11","La política no me interesa",0.06,0.123,0.144
"P11","La política me interesa poco",0.103,0.149,0.135
"P11","La política me interesa",0.252,0.265,0.152
"P11","La política es muy importante",0.386,0.28,0.303
"P11","No sabe",0.039,0.038,0.081
"P12","Nunca",0.516,0.6,0.7
"P12","A veces",0.244,0.259,0.169
"P12","Siempre",0.175,0.065,0.083
"P12","No sabe",0.065,0.076,0.048
"P13","Los políticos son todos ladrones y corruptos",0.227,0.262,0.314
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.168,0.198,0.231
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.305,0.327,0.238
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.163,0.113,0.125
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.108,0.056,0.047
"P13","No sabe",0.029,0.044,0.045
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.297,0.259,0.206
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.174,0.176,0.164
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.182,0.213,0.213
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.154,0.137,0.128
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.125,0.147,0.143
"P14","No sabe",0.068,0.068,0.146
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.431,0.425,0.423
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.141,0.162,0.142
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.228,0.195,0.164
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.106,0.099,0.099
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.049,0.079,0.079
"P15","No sabe",0.045,0.04,0.093
"P16","Muy de derecha",0.155,0.209,0.266
"P16","De derecha",0.268,0.255,0.239
"P16","De centro",0.325,0.318,0.282
"P16","De centro izquierda",0.19,0.142,0.152
"P16","Muy de izquierda",0.062,0.076,0.061
"P17","Muy de derecha",0.181,0.166,0.22
"P17","De derecha",0.111,0.138,0.107
"P17","De centro",0.119,0.132,0.101
"P17","De centro izquierda",0.309,0.253,0.244
"P17","Muy de izquierda",0.28,0.311,0.328
"P18","Muy de derecha",0.328,0.218,0.259
"P18","De derecha",0.309,0.321,0.276
"P18","De centro",0.192,0.242,0.185
"P18","De centro izquierda",0.087,0.102,0.136
"P18","Muy de izquierda",0.084,0.117,0.144
"P19","Muy de derecha",0.526,0.509,0.462
"P19","De derecha",0.167,0.229,0.196
"P19","De centro",0.115,0.117,0.138
"P19","De centro izquierda",0.066,0.051,0.067
"P19","Muy de izquierda",0.126,0.094,0.137
"P20","Si",0.674,0.415,0.354
"P20","No",0.326,0.585,0.646
