codigo	bloque	paleta	texto	label	aclaracion
P05	Sociodemográfico	muchopoco	Usted diría que la política le importa…	Importancia de la política para el encuestado
P06	Sociodemográfico	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas
P08	Intención de voto intendente	politica	Si las elecciones presidenciales fueran mañana ¿Al candidato de qué espacio político votaría?	Intención de voto a Presidente por espacio político
P09	Intención de voto intendente	politica	¿Podría indicarnos cuáles serían los candidatos a presidente, gobernador e intendente que usted preferiría votar en las próximas elecciones primarias PASO?	Intención de voto por fórmulas para Presidente, Gobernador e Intendente (Escenario 1)
P12	Intención de voto intendente	politica	Y en cambio los candidatos a presidente, gobernador e intendente en las próximas elecciones primarias PASO fueran estos, a cual votaria? 	Intención de voto por fórmulas para Presidente, Gobernador e Intendente (Escenario 2)
P15	Intención de voto intendente	politica	Y en cambio los candidatos a presidente, gobernador e intendente en las próximas elecciones primarias PASO fueran estos, a cual votaria? 	Intención de voto por fórmulas para Presidente, Gobernador e Intendente (Escenario 3)
P18	Reach de intención de voto fórmulas	votaria	Si Sergio Massa fuese candidato a Presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente ud...	Intención de voto por fórmula Massa – Kicillof – Galmarini
P19	Reach de intención de voto fórmulas	votaria	Si Juan Grabois fuese candidato a Presidente, Axel Kicillof a gobernador y Malena Galmarini a intendente ud...	Intención de voto por fórmula Grabois – Kicillof – Galmarini
P20	Reach de intención de voto fórmulas	votaria	Si Sergio Massa fuese candidato a Presidente, Axel Kicillof a gobernador y Julio Zamora a intendente ud...	Intención de voto por fórmula Massa – Kicillof – Zamora
P21	Reach de intención de voto fórmulas	votaria	Si Juan Grabois fuese candidato a Presidente, Axel Kicillof a gobernador y Julio Zamora a intendente ud...	Intención de voto por fórmula Grabois – Kicillof – Zamora
P22	Reach de intención de voto fórmulas	votaria	Si Axel Kicillof  fuese candidato a gobernador y Julio Zamora a intendente ud...	Intención de voto por fórmula Kicillof – Zamora
P23	Reach de intención de voto fórmulas	votaria	Si Patricia Bullrich fuese candidato a Presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente ud...	Intención de voto por fórmula Bullrich – Grindetti – Cufré
P24	Reach de intención de voto fórmulas	votaria	Si Horacio Rodriguez Larreta fuese candidato a Presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente ud...	Intención de voto por fórmula Larreta – Santilli – Cernadas
P25	Reach de intención de voto fórmulas	votaria	Si Javier Milei fuese candidato a Presidente, Carolina Piparo a gobernadora y Claudio Baumgarten a intendente ud...	Intención de voto por fórmula Milei – Píparo – Baumgarten
P26	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Control
