"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.012,0.023,0.028,0.007
"P12","Gran excedente excepcional",0.001,0.011,0.008,0
"P12","Pequeño excedente habitual",0.033,0.054,0.058,0.029
"P12","Pequeño excedente excepcional",0.043,0.053,0.079,0.075
"P12","Alcanza gastos familia",0.129,0.169,0.14,0.105
"P12","No alcanza gastos familia",0.086,0.074,0.161,0.216
"P12","Solo NBFamiliares",0.252,0.327,0.245,0.336
"P12","No alcanza NBFamiliares",0.43,0.289,0.277,0.215
"P12","No sabe",0.014,0,0.004,0.017
"P13","Empleado sector publico",0.262,0.17,0.302,0.239
"P13","Empleado sector privado",0.217,0.24,0.129,0.198
"P13","Changas o trabajos eventuales",0.191,0.194,0.248,0.182
"P13","Estudiante",0.04,0.026,0.026,0.038
"P13","Amas de casa",0.053,0.086,0.104,0.097
"P13","Profesional o independiente",0.109,0.112,0.081,0.069
"P13","Comerciante, emprendedor o empresario",0.032,0.072,0.063,0.037
"P13","Trabajador informal",0.025,0.038,0.014,0.036
"P13","No tengo trabajo",0.071,0.062,0.033,0.104
"P14","Muy buena",0.073,0.095,0.191,0.082
"P14","Buena",0.141,0.194,0.225,0.143
"P14","Ni buena ni mala",0.327,0.348,0.42,0.443
"P14","Mala",0.258,0.238,0.115,0.216
"P14","Muy mala",0.194,0.12,0.045,0.064
"P14","No sabe",0.007,0.005,0.004,0.052
"P15","Muy buena",0.195,0.335,0.327,0.158
"P15","Buena",0.094,0.255,0.236,0.218
"P15","Ni buena ni mala",0.129,0.172,0.225,0.161
"P15","Mala",0.159,0.12,0.095,0.195
"P15","Muy mala",0.416,0.112,0.115,0.247
"P15","No sabe",0.007,0.006,0.002,0.021
"P20","Muy buena",0.079,0.106,0.23,0.08
"P20","Buena",0.17,0.226,0.269,0.094
"P20","Ni buena ni mala",0.318,0.359,0.33,0.311
"P20","Mala",0.269,0.196,0.116,0.384
"P20","Muy mala",0.145,0.102,0.053,0.112
"P20","No sabe",0.019,0.011,0.002,0.019
"P21","Gobierno nacional",0.422,0.208,0.317,0.209
"P21","Gobierno provincial",0.459,0.629,0.422,0.488
"P21","No sabe",0.119,0.163,0.261,0.303
"P22","El anterior gobierno de Anabela Carreras",0.376,0.421,0.382,0.345
"P22","El actual gobierno de Alberto Weretilneck",0.517,0.466,0.578,0.521
"P22","No sabe",0.107,0.113,0.04,0.134
"P23","El anterior gobierno de Alberto Fernández",0.19,0.358,0.607,0.373
"P23","El actual gobierno de Javier Milei",0.738,0.443,0.319,0.627
"P23","No sabe",0.072,0.199,0.074,0
"P24","Si",0.349,0.447,0.407,0.288
"P24","No",0.446,0.375,0.376,0.32
"P24","No sabe",0.205,0.178,0.217,0.392
"P25","Si",0.264,0.193,0.292,0.141
"P25","No",0.458,0.536,0.372,0.348
"P25","No sabe",0.278,0.271,0.336,0.511
"P26","Si",0.861,0.799,0.721,0.762
"P26","No",0.139,0.201,0.279,0.238
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.575,0.331,0.395,0.534
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.13,0.157,0.099,0.101
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.148,0.277,0.37,0.168
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.088,0.143,0.057,0.092
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.05,0.09,0.065,0.072
"P27","No sabe",0.009,0.002,0.014,0.033
"P28","1-Excelente",0.13,0.159,0.267,0.158
"P28","2",0.091,0.139,0.076,0.117
"P28","3",0.06,0.067,0.048,0.051
"P28","4",0.058,0.064,0.054,0.08
"P28","5",0.196,0.21,0.256,0.187
"P28","6",0.068,0.054,0.071,0.054
"P28","7",0.067,0.054,0.048,0.087
"P28","8",0.074,0.045,0.037,0.053
"P28","9-Pésimo",0.21,0.153,0.104,0.124
"P28","No sabe",0.046,0.055,0.039,0.089
"P29","1-Excelente",0.139,0.154,0.223,0.099
"P29","2",0.086,0.175,0.153,0.169
"P29","3",0.083,0.084,0.062,0.089
"P29","4",0.053,0.069,0.086,0.089
"P29","5",0.142,0.137,0.166,0.105
"P29","6",0.058,0.064,0.08,0.061
"P29","7",0.055,0.058,0.053,0.039
"P29","8",0.066,0.04,0.03,0.106
"P29","9-Pésimo",0.272,0.184,0.094,0.168
"P29","No sabe",0.046,0.035,0.053,0.075
"P30","1-Excelente",0.136,0.16,0.229,0.09
"P30","2",0.08,0.125,0.124,0.133
"P30","3",0.091,0.091,0.066,0.115
"P30","4",0.067,0.078,0.102,0.096
"P30","5",0.138,0.134,0.123,0.101
