"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.16,0.149,0.172,0.19,0.135,0.155,0.201,0.243,0.146,0.101,0.178,0.157,0.11,0.161,0.15,0.175,0.146,0.154
"2",0.127,0.119,0.135,0.137,0.109,0.139,0.146,0.18,0.114,0.095,0.109,0.162,0.129,0.109,0.137,0.138,0.13,0.11
"3",0.082,0.096,0.068,0.074,0.071,0.087,0.115,0.067,0.087,0.09,0.077,0.103,0.087,0.096,0.075,0.072,0.084,0.094
"4",0.056,0.053,0.058,0.039,0.047,0.062,0.09,0.058,0.051,0.058,0.064,0.042,0.054,0.058,0.059,0.049,0.05,0.069
"5",0.136,0.146,0.125,0.132,0.132,0.15,0.126,0.104,0.136,0.166,0.166,0.117,0.18,0.161,0.12,0.125,0.158,0.13
"6",0.054,0.044,0.065,0.062,0.056,0.046,0.051,0.037,0.055,0.067,0.078,0.033,0.021,0.067,0.048,0.056,0.039,0.066
"7",0.049,0.045,0.053,0.041,0.058,0.049,0.036,0.032,0.054,0.06,0.052,0.042,0.08,0.076,0.029,0.046,0.053,0.05
"8",0.06,0.074,0.046,0.06,0.065,0.062,0.045,0.036,0.075,0.063,0.046,0.064,0.076,0.055,0.067,0.055,0.077,0.05
"9-Pésimo",0.219,0.224,0.214,0.212,0.264,0.195,0.142,0.194,0.213,0.253,0.184,0.247,0.207,0.177,0.261,0.233,0.214,0.205
"No sabe",0.057,0.05,0.064,0.053,0.063,0.055,0.048,0.049,0.069,0.047,0.046,0.033,0.056,0.04,0.054,0.051,0.049,0.072
