"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.078,0.078,0.079,0.145,0.06,0.07,0.079,0.118,0.063,0.068,0.088,0.115,0.057,0.048,0.098,0.085,0.071,0.077,6
"Buena",0.167,0.177,0.155,0.098,0.154,0.191,0.225,0.151,0.179,0.162,0.146,0.256,0.096,0.098,0.232,0.175,0.158,0.164,6
"Ni buena ni mala",0.386,0.381,0.391,0.327,0.401,0.403,0.371,0.393,0.409,0.349,0.401,0.41,0.321,0.324,0.445,0.402,0.367,0.384,6
"Mala",0.164,0.164,0.165,0.251,0.164,0.135,0.133,0.098,0.186,0.189,0.15,0.085,0.265,0.232,0.096,0.147,0.198,0.153,6
"Muy mala",0.161,0.163,0.159,0.128,0.189,0.154,0.127,0.181,0.119,0.2,0.178,0.087,0.24,0.266,0.08,0.152,0.163,0.17,6
"No sabe",0.044,0.037,0.051,0.051,0.032,0.047,0.065,0.059,0.044,0.032,0.037,0.047,0.021,0.032,0.049,0.039,0.043,0.052,6
"Positiva",0.245,0.255,0.234,0.243,0.214,0.261,0.304,0.269,0.242,0.23,0.234,0.371,0.153,0.146,0.33,0.26,0.229,0.241,4
"Neutra",0.386,0.381,0.391,0.327,0.401,0.403,0.371,0.393,0.409,0.349,0.401,0.41,0.321,0.324,0.445,0.402,0.367,0.384,4
"Negativa",0.325,0.327,0.324,0.379,0.353,0.289,0.26,0.279,0.305,0.389,0.328,0.172,0.505,0.498,0.176,0.299,0.361,0.323,4
"No sabe",0.044,0.037,0.051,0.051,0.032,0.047,0.065,0.059,0.044,0.032,0.037,0.047,0.021,0.032,0.049,0.039,0.043,0.052,4
