"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.244,0.264,0.223,0.315,0.22,0.239,0.224,0.252,0.247,0.229,0.207,0.389,0.101,0.08,0.4,0.263,0.237,0.224,6
"Buena",0.176,0.187,0.165,0.173,0.161,0.184,0.212,0.166,0.187,0.171,0.146,0.286,0.101,0.053,0.298,0.186,0.167,0.172,6
"Ni buena ni mala",0.162,0.151,0.173,0.186,0.164,0.136,0.165,0.2,0.166,0.115,0.187,0.129,0.133,0.126,0.161,0.183,0.129,0.165,6
"Mala",0.151,0.143,0.16,0.122,0.148,0.17,0.168,0.191,0.145,0.121,0.174,0.096,0.158,0.232,0.06,0.141,0.146,0.17,6
"Muy mala",0.252,0.249,0.255,0.202,0.289,0.257,0.206,0.164,0.245,0.356,0.279,0.084,0.493,0.498,0.075,0.21,0.309,0.255,6
"No sabe",0.015,0.006,0.024,0.002,0.018,0.014,0.025,0.027,0.01,0.008,0.007,0.016,0.014,0.011,0.006,0.017,0.012,0.014,6
"Positiva",0.42,0.451,0.388,0.488,0.381,0.423,0.436,0.418,0.434,0.4,0.353,0.675,0.202,0.133,0.698,0.449,0.404,0.396,4
"Neutra",0.162,0.151,0.173,0.186,0.164,0.136,0.165,0.2,0.166,0.115,0.187,0.129,0.133,0.126,0.161,0.183,0.129,0.165,4
"Negativa",0.403,0.392,0.415,0.324,0.437,0.427,0.374,0.355,0.39,0.477,0.453,0.18,0.651,0.73,0.135,0.351,0.455,0.425,4
"No sabe",0.015,0.006,0.024,0.002,0.018,0.014,0.025,0.027,0.01,0.008,0.007,0.016,0.014,0.011,0.006,0.017,0.012,0.014,4
