"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Inseguridad y narcotráfico",0.351,0.349,0.354,0.431,0.374,0.304,0.291,0.415,0.326,0.334,0.352,0.327,0.389,0.432,0.284,0.403,0.352,0.284
"Altos impuestos y tarifas",0.189,0.212,0.164,0.134,0.174,0.209,0.249,0.195,0.194,0.178,0.184,0.246,0.184,0.125,0.251,0.202,0.197,0.164
"Educación y estado de las escuelas",0.168,0.159,0.177,0.123,0.159,0.19,0.199,0.165,0.172,0.165,0.194,0.168,0.116,0.147,0.187,0.163,0.15,0.192
"Inflación",0.149,0.142,0.158,0.147,0.142,0.162,0.152,0.146,0.151,0.15,0.142,0.13,0.167,0.164,0.127,0.138,0.124,0.191
"Estado de la salud",0.072,0.062,0.084,0.098,0.075,0.07,0.043,0.043,0.073,0.094,0.059,0.072,0.086,0.069,0.073,0.052,0.096,0.075
"Corrupción",0.041,0.044,0.039,0.051,0.037,0.039,0.045,0.024,0.05,0.043,0.036,0.046,0.035,0.024,0.059,0.026,0.043,0.059
"Pobreza",0.008,0.009,0.005,0,0.011,0.009,0.002,0,0.005,0.017,0.01,0.005,0.009,0.007,0.009,0.002,0.014,0.007
"Medio ambiente, incendios y contaminación",0.002,0.001,0.003,0,0.004,0.001,0,0,0.004,0.001,0.003,0,0.005,0.005,0,0,0.002,0.004
"Falta de trabajo",0.017,0.019,0.014,0.016,0.02,0.014,0.015,0.012,0.021,0.015,0.016,0.005,0.009,0.025,0.007,0.013,0.019,0.019
"No sabe",0.003,0.003,0.002,0,0.004,0.002,0.004,0,0.004,0.003,0.004,0.001,0,0.002,0.003,0.001,0.003,0.005
