"var","categoria","Peor","Igual","Mejor","No sabe"
"P12","Gran excedente habitual",0.018,0.024,0.005,0
"P12","Gran excedente excepcional",0.003,0.002,0.007,0.012
"P12","Pequeño excedente habitual",0.027,0.042,0.07,0.064
"P12","Pequeño excedente excepcional",0.04,0.048,0.082,0.067
"P12","Alcanza gastos familia",0.129,0.168,0.147,0.101
"P12","No alcanza gastos familia",0.088,0.082,0.135,0.138
"P12","Solo NBFamiliares",0.268,0.292,0.313,0.247
"P12","No alcanza NBFamiliares",0.423,0.327,0.241,0.33
"P12","No sabe",0.004,0.015,0,0.041
"P13","Empleado sector publico",0.268,0.216,0.186,0.22
"P13","Empleado sector privado",0.198,0.249,0.227,0.182
"P13","Changas o trabajos eventuales",0.22,0.147,0.226,0.119
"P13","Estudiante",0.033,0.043,0.033,0.027
"P13","Amas de casa",0.05,0.082,0.076,0.147
"P13","Profesional o independiente",0.113,0.104,0.105,0.062
"P13","Comerciante, emprendedor o empresario",0.028,0.069,0.066,0.048
"P13","Trabajador informal",0.024,0.03,0.007,0.1
"P13","No tengo trabajo",0.066,0.06,0.074,0.095
"P14","Muy buena",0.072,0.103,0.135,0.065
"P14","Buena",0.139,0.165,0.198,0.181
"P14","Ni buena ni mala",0.344,0.341,0.353,0.402
"P14","Mala",0.242,0.26,0.225,0.182
"P14","Muy mala",0.196,0.123,0.08,0.146
"P14","No sabe",0.007,0.008,0.009,0.024
"P15","Muy buena",0.149,0.245,0.499,0.269
"P15","Buena",0.075,0.273,0.204,0.199
"P15","Ni buena ni mala",0.127,0.176,0.149,0.239
"P15","Mala",0.159,0.161,0.075,0.158
"P15","Muy mala",0.487,0.125,0.071,0.133
"P15","No sabe",0.003,0.02,0.002,0.002
"P20","Muy buena",0.078,0.082,0.193,0.064
"P20","Buena",0.151,0.227,0.221,0.222
"P20","Ni buena ni mala",0.317,0.353,0.313,0.374
"P20","Mala",0.278,0.213,0.22,0.197
"P20","Muy mala",0.159,0.111,0.053,0.098
"P20","No sabe",0.017,0.014,0,0.045
"P21","Gobierno nacional",0.451,0.265,0.164,0.231
"P21","Gobierno provincial",0.432,0.595,0.592,0.509
"P21","No sabe",0.117,0.14,0.244,0.26
"P22","El anterior gobierno de Anabela Carreras",0.309,0.4,0.53,0.461
"P22","El actual gobierno de Alberto Weretilneck",0.606,0.475,0.364,0.379
"P22","No sabe",0.085,0.125,0.106,0.16
"P23","El anterior gobierno de Alberto Fernández",0.204,0.34,0.49,0.294
"P23","El actual gobierno de Javier Milei",0.73,0.535,0.375,0.473
"P23","No sabe",0.066,0.125,0.135,0.233
"P24","Si",0.32,0.4,0.495,0.399
"P24","No",0.489,0.416,0.259,0.272
"P24","No sabe",0.191,0.184,0.246,0.329
"P25","Si",0.252,0.225,0.283,0.123
"P25","No",0.455,0.531,0.469,0.299
"P25","No sabe",0.293,0.244,0.248,0.578
"P26","Si",0.877,0.806,0.778,0.688
"P26","No",0.123,0.194,0.222,0.312
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.658,0.373,0.251,0.284
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.123,0.163,0.1,0.173
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.113,0.243,0.383,0.284
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.059,0.166,0.135,0.093
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.042,0.044,0.122,0.137
"P27","No sabe",0.005,0.011,0.009,0.029
"P28","1-Excelente",0.133,0.163,0.193,0.138
