"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.122,0.102,0.143,0.175,0.093,0.109,0.155,0.161,0.115,0.092,0.235,0.044,0.072,0.163,0.1,0.14,0.099,0.119,6
"Buena",0.19,0.201,0.18,0.149,0.199,0.19,0.22,0.212,0.189,0.169,0.282,0.122,0.19,0.239,0.154,0.177,0.193,0.205,6
"Ni buena ni mala",0.308,0.299,0.318,0.262,0.321,0.317,0.32,0.254,0.333,0.328,0.305,0.287,0.299,0.302,0.302,0.32,0.286,0.313,6
"Mala",0.236,0.25,0.22,0.271,0.238,0.234,0.187,0.224,0.244,0.236,0.109,0.35,0.305,0.183,0.284,0.221,0.277,0.218,6
"Muy mala",0.123,0.137,0.108,0.137,0.13,0.125,0.08,0.121,0.102,0.155,0.053,0.181,0.108,0.095,0.148,0.114,0.137,0.121,6
"No sabe",0.021,0.011,0.031,0.006,0.019,0.025,0.038,0.028,0.017,0.02,0.016,0.016,0.026,0.018,0.012,0.028,0.008,0.024,6
"Positiva",0.312,0.303,0.323,0.324,0.292,0.299,0.375,0.373,0.304,0.261,0.517,0.166,0.262,0.402,0.254,0.317,0.292,0.324,4
"Neutra",0.308,0.299,0.318,0.262,0.321,0.317,0.32,0.254,0.333,0.328,0.305,0.287,0.299,0.302,0.302,0.32,0.286,0.313,4
"Negativa",0.359,0.387,0.328,0.408,0.368,0.359,0.267,0.345,0.346,0.391,0.162,0.531,0.413,0.278,0.432,0.335,0.414,0.339,4
"No sabe",0.021,0.011,0.031,0.006,0.019,0.025,0.038,0.028,0.017,0.02,0.016,0.016,0.026,0.018,0.012,0.028,0.008,0.024,4
