"var","categoria","El anterior gobierno de Anabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P12","Gran excedente habitual",0.004,0.027,0.002
"P12","Gran excedente excepcional",0.009,0.007,0.008
"P12","Pequeño excedente habitual",0.056,0.053,0.06
"P12","Pequeño excedente excepcional",0.079,0.086,0.089
"P12","Alcanza gastos familia",0.194,0.163,0.162
"P12","No alcanza gastos familia",0.078,0.091,0.136
"P12","Solo NBFamiliares",0.294,0.299,0.272
"P12","No alcanza NBFamiliares",0.277,0.269,0.268
"P12","No sabe",0.009,0.005,0.003
"P13","Empleado sector publico",0.225,0.229,0.264
"P13","Empleado sector privado",0.269,0.258,0.155
"P13","Changas o trabajos eventuales",0.178,0.157,0.079
"P13","Estudiante",0.039,0.042,0.089
"P13","Amas de casa",0.075,0.071,0.074
"P13","Profesional o independiente",0.082,0.122,0.162
"P13","Comerciante, emprendedor o empresario",0.062,0.054,0.055
"P13","Trabajador informal",0.02,0.018,0.04
"P13","No tengo trabajo",0.05,0.049,0.082
"P14","Muy buena",0.065,0.068,0.091
"P14","Buena",0.113,0.085,0.105
"P14","Ni buena ni mala",0.298,0.221,0.422
"P14","Mala",0.32,0.324,0.309
"P14","Muy mala",0.201,0.3,0.067
"P14","No sabe",0.003,0.002,0.006
"P15","Muy buena",0.377,0.329,0.256
"P15","Buena",0.209,0.248,0.279
"P15","Ni buena ni mala",0.125,0.141,0.162
"P15","Mala",0.094,0.108,0.123
"P15","Muy mala",0.187,0.172,0.166
"P15","No sabe",0.008,0.002,0.014
"P20","Muy buena",0.081,0.022,0.054
"P20","Buena",0.178,0.112,0.264
"P20","Ni buena ni mala",0.307,0.212,0.377
"P20","Mala",0.301,0.38,0.219
"P20","Muy mala",0.128,0.264,0.036
"P20","No sabe",0.005,0.01,0.05
"P24","Si",0.485,0.348,0.36
"P24","No",0.323,0.45,0.31
"P24","No sabe",0.192,0.202,0.33
"P25","Si",0.189,0.148,0.151
"P25","No",0.565,0.642,0.462
"P25","No sabe",0.246,0.21,0.387
"P26","Si",0.867,0.764,0.761
"P26","No",0.133,0.236,0.239
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.332,0.328,0.395
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.116,0.151,0.237
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.286,0.263,0.203
