"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P12","Gran excedente habitual",0.018,0.026,0
"P12","Gran excedente excepcional",0,0,0
"P12","Pequeño excedente habitual",0.031,0.012,0.019
"P12","Pequeño excedente excepcional",0.055,0.026,0.001
"P12","Alcanza gastos familia",0.08,0.074,0.133
"P12","No alcanza gastos familia",0.103,0.07,0.094
"P12","Solo NBFamiliares",0.226,0.285,0.163
"P12","No alcanza NBFamiliares",0.481,0.505,0.59
"P12","No sabe",0.006,0.002,0
"P13","Empleado sector publico",0.295,0.276,0.184
"P13","Empleado sector privado",0.187,0.207,0.179
"P13","Changas o trabajos eventuales",0.276,0.195,0.399
"P13","Estudiante",0.071,0.023,0.012
"P13","Amas de casa",0.047,0.057,0.1
"P13","Profesional o independiente",0.036,0.094,0.06
"P13","Comerciante, emprendedor o empresario",0.042,0.027,0.011
"P13","Trabajador informal",0.007,0.024,0.007
"P13","No tengo trabajo",0.039,0.097,0.048
"P14","Muy buena",0.17,0.146,0.168
"P14","Buena",0.344,0.254,0.134
"P14","Ni buena ni mala",0.308,0.34,0.58
"P14","Mala",0.154,0.175,0.118
"P14","Muy mala",0.021,0.071,0
"P14","No sabe",0.003,0.014,0
"P15","Muy buena",0.242,0.032,0.083
"P15","Buena",0.272,0.044,0.107
"P15","Ni buena ni mala",0.123,0.066,0.366
"P15","Mala",0.167,0.233,0.355
"P15","Muy mala",0.19,0.617,0.089
"P15","No sabe",0.006,0.008,0
"P20","Muy buena",0.26,0.183,0.155
"P20","Buena",0.283,0.28,0.351
"P20","Ni buena ni mala",0.238,0.286,0.309
"P20","Mala",0.16,0.148,0.17
"P20","Muy mala",0.044,0.093,0
"P20","No sabe",0.015,0.01,0.015
"P24","Si",0.509,0.322,0.405
"P24","No",0.377,0.498,0.307
"P24","No sabe",0.114,0.18,0.288
"P25","Si",0.406,0.375,0.275
"P25","No",0.378,0.293,0.467
"P25","No sabe",0.216,0.332,0.258
"P26","Si",0.784,0.914,0.708
"P26","No",0.216,0.086,0.292
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.614,0.841,0.579
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.175,0.09,0.24
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.163,0.043,0.09
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.033,0,0
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.015,0.026,0.082
"P27","No sabe",0,0,0.009
"P28","1-Excelente",0.175,0.164,0.185
"P28","2",0.193,0.091,0.177
"P28","3",0.052,0.065,0.028
"P28","4",0.046,0.057,0.056
"P28","5",0.198,0.25,0.138
"P28","6",0.102,0.09,0.038
"P28","7",0.043,0.073,0.016
"P28","8",0.014,0.042,0.011
"P28","9-Pésimo",0.171,0.118,0.181
"P28","No sabe",0.006,0.05,0.17
"P29","1-Excelente",0.174,0.135,0.221
"P29","2",0.156,0.113,0.093
"P29","3",0.082,0.08,0.092
"P29","4",0.05,0.079,0.033
"P29","5",0.129,0.181,0.114
"P29","6",0.097,0.089,0.034
"P29","7",0.052,0.094,0.054
"P29","8",0.058,0.048,0
"P29","9-Pésimo",0.192,0.141,0.26
"P29","No sabe",0.01,0.04,0.099
"P30","1-Excelente",0.145,0.119,0.217
"P30","2",0.16,0.118,0.006
"P30","3",0.099,0.125,0.086
"P30","4",0.091,0.073,0.04
"P30","5",0.052,0.147,0.24
"P30","6",0.116,0.094,0.014
"P30","7",0.008,0.085,0.013
"P30","8",0.109,0.069,0.057
"P30","9-Pésimo",0.175,0.108,0.23
"P30","No sabe",0.045,0.062,0.097
"P31","1-Excelente",0.17,0.169,0.143
"P31","2",0.087,0.1,0.047
"P31","3",0.103,0.075,0.098
"P31","4",0.077,0.084,0.055
"P31","5",0.138,0.138,0.142
"P31","6",0.16,0.076,0.122
"P31","7",0.027,0.092,0.042
"P31","8",0.061,0.072,0.024
"P31","9-Pésimo",0.157,0.123,0.07
"P31","No sabe",0.02,0.071,0.257
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.497,0.872,0.554
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.306,0.102,0.363
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.047,0.007,0.005
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.087,0.015,0
"P32","No sabe",0.063,0.004,0.078
"P28","1-Excelente",0.175,0.164,0.185
"P28","2",0.193,0.091,0.177
"P28","3",0.052,0.065,0.028
"P28","4",0.046,0.057,0.056
"P28","5",0.198,0.25,0.138
"P28","6",0.102,0.09,0.038
"P28","7",0.043,0.073,0.016
"P28","8",0.014,0.042,0.011
"P28","9-Pésimo",0.171,0.118,0.181
"P28","No sabe",0.006,0.05,0.17
"P29","1-Excelente",0.174,0.135,0.221
"P29","2",0.156,0.113,0.093
"P29","3",0.082,0.08,0.092
"P29","4",0.05,0.079,0.033
"P29","5",0.129,0.181,0.114
"P29","6",0.097,0.089,0.034
"P29","7",0.052,0.094,0.054
"P29","8",0.058,0.048,0
"P29","9-Pésimo",0.192,0.141,0.26
"P29","No sabe",0.01,0.04,0.099
"P30","1-Excelente",0.145,0.119,0.217
"P30","2",0.16,0.118,0.006
"P30","3",0.099,0.125,0.086
"P30","4",0.091,0.073,0.04
"P30","5",0.052,0.147,0.24
"P30","6",0.116,0.094,0.014
"P30","7",0.008,0.085,0.013
"P30","8",0.109,0.069,0.057
"P30","9-Pésimo",0.175,0.108,0.23
"P30","No sabe",0.045,0.062,0.097
"P31","1-Excelente",0.17,0.169,0.143
"P31","2",0.087,0.1,0.047
