"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P12","Gran excedente habitual",0.026,0.02,0.001,0,0.02,0.015,0.022,0.059,0.007
"P12","Gran excedente excepcional",0.001,0.004,0.005,0,0,0.009,0.038,0,0
"P12","Pequeño excedente habitual",0.022,0.059,0.005,0.018,0.031,0.088,0.132,0.034,0.009
"P12","Pequeño excedente excepcional",0.028,0.039,0.047,0.131,0.128,0.115,0.122,0.009,0.025
"P12","Alcanza gastos familia",0.115,0.153,0.045,0.579,0.091,0.215,0.209,0.028,0.064
"P12","No alcanza gastos familia",0.078,0.081,0.103,0.056,0.14,0.09,0.094,0.111,0.18
"P12","Solo NBFamiliares",0.283,0.409,0.237,0.063,0.275,0.284,0.224,0.382,0.194
"P12","No alcanza NBFamiliares",0.443,0.232,0.551,0.135,0.284,0.172,0.159,0.307,0.494
"P12","No sabe",0.004,0.003,0.006,0.018,0.031,0.012,0,0.07,0.027
"P14","Muy buena",0.232,0.075,0.103,0.079,0.09,0.034,0.028,0.006,0.101
"P14","Buena",0.15,0.188,0.151,0.066,0.16,0.132,0.112,0.172,0.12
"P14","Ni buena ni mala",0.273,0.322,0.433,0.335,0.348,0.297,0.304,0.374,0.329
"P14","Mala",0.201,0.272,0.193,0.383,0.234,0.282,0.372,0.22,0.182
"P14","Muy mala",0.139,0.136,0.101,0.137,0.145,0.213,0.165,0.218,0.217
"P14","No sabe",0.005,0.007,0.019,0,0.023,0.042,0.019,0.01,0.051
"P15","Muy buena",0.238,0.287,0.208,0.15,0.239,0.286,0.37,0.291,0.148
"P15","Buena",0.16,0.227,0.119,0.179,0.217,0.197,0.233,0.19,0.141
"P15","Ni buena ni mala",0.15,0.147,0.237,0.143,0.166,0.079,0.126,0.101,0.175
"P15","Mala",0.145,0.125,0.166,0.202,0.181,0.141,0.13,0.174,0.158
"P15","Muy mala",0.306,0.206,0.242,0.326,0.174,0.282,0.128,0.244,0.337
"P15","No sabe",0.001,0.008,0.028,0,0.023,0.015,0.013,0,0.041
"P20","Muy buena",0.182,0.086,0.166,0.074,0.117,0.05,0.049,0.105,0.073
"P20","Buena",0.197,0.208,0.188,0.14,0.236,0.17,0.181,0.178,0.132
