"var","categoria","Si","No","No sabe"
"P12","Gran excedente habitual",0.01,0.024,0.01
"P12","Gran excedente excepcional",0.006,0.004,0.004
"P12","Pequeño excedente habitual",0.029,0.04,0.043
"P12","Pequeño excedente excepcional",0.047,0.069,0.055
"P12","Alcanza gastos familia",0.114,0.155,0.113
"P12","No alcanza gastos familia",0.107,0.081,0.117
"P12","Solo NBFamiliares",0.233,0.294,0.285
"P12","No alcanza NBFamiliares",0.448,0.327,0.349
"P12","No sabe",0.006,0.006,0.024
"P13","Empleado sector publico",0.324,0.204,0.204
"P13","Empleado sector privado",0.192,0.239,0.162
"P13","Changas o trabajos eventuales",0.215,0.196,0.211
"P13","Estudiante",0.041,0.035,0.042
"P13","Amas de casa",0.053,0.084,0.115
"P13","Profesional o independiente",0.071,0.113,0.092
"P13","Comerciante, emprendedor o empresario",0.029,0.047,0.044
"P13","Trabajador informal",0.028,0.019,0.037
"P13","No tengo trabajo",0.047,0.063,0.093
"P14","Muy buena",0.224,0.068,0.09
"P14","Buena",0.203,0.107,0.185
"P14","Ni buena ni mala",0.31,0.282,0.451
"P14","Mala",0.173,0.317,0.157
"P14","Muy mala",0.082,0.222,0.082
"P14","No sabe",0.008,0.004,0.035
"P15","Muy buena",0.229,0.326,0.144
"P15","Buena",0.101,0.213,0.18
"P15","Ni buena ni mala",0.169,0.139,0.19
"P15","Mala",0.173,0.112,0.178
"P15","Muy mala",0.326,0.201,0.284
"P15","No sabe",0.002,0.009,0.024
"P20","Muy buena",0.277,0.064,0.09
"P20","Buena",0.246,0.142,0.241
"P20","Ni buena ni mala",0.232,0.31,0.372
"P20","Mala",0.169,0.302,0.185
"P20","Muy mala",0.061,0.175,0.072
"P20","No sabe",0.015,0.007,0.04
"P21","Gobierno nacional",0.509,0.222,0.309
"P21","Gobierno provincial",0.314,0.646,0.382
"P21","No sabe",0.177,0.132,0.309
"P22","El anterior gobierno de Anabela Carreras",0.415,0.342,0.359
"P22","El actual gobierno de Alberto Weretilneck",0.467,0.559,0.441
"P22","No sabe",0.118,0.099,0.2
"P23","El anterior gobierno de Alberto Fernández",0.346,0.365,0.24
"P23","El actual gobierno de Javier Milei",0.599,0.529,0.692
"P23","No sabe",0.055,0.106,0.068
"P24","Si",0.495,0.384,0.281
"P24","No",0.36,0.455,0.285
"P24","No sabe",0.145,0.161,0.434
"P26","Si",0.893,0.771,0.747
"P26","No",0.107,0.229,0.253
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.656,0.365,0.485
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.133,0.151,0.189
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.127,0.249,0.193
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.067,0.121,0.058
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.015,0.102,0.052
"P27","No sabe",0.002,0.012,0.023
"P28","1-Excelente",0.224,0.149,0.184
"P28","2",0.111,0.125,0.08
"P28","3",0.057,0.047,0.068
"P28","4",0.048,0.055,0.064
"P28","5",0.173,0.168,0.234
"P28","6",0.073,0.054,0.06
"P28","7",0.066,0.051,0.05
"P28","8",0.066,0.063,0.035
"P28","9-Pésimo",0.158,0.224,0.12
"P28","No sabe",0.024,0.064,0.105
"P29","1-Excelente",0.171,0.151,0.165
"P29","2",0.102,0.147,0.114
"P29","3",0.063,0.072,0.115
"P29","4",0.061,0.048,0.063
"P29","5",0.151,0.098,0.186
"P29","6",0.079,0.038,0.06
"P29","7",0.075,0.038,0.047
"P29","8",0.063,0.069,0.043
"P29","9-Pésimo",0.202,0.278,0.137
"P29","No sabe",0.033,0.061,0.07
"P30","1-Excelente",0.169,0.146,0.163
"P30","2",0.09,0.123,0.078
"P30","3",0.068,0.088,0.11
"P30","4",0.099,0.059,0.078
"P30","5",0.14,0.096,0.162
"P30","6",0.097,0.053,0.063
"P30","7",0.054,0.045,0.079
"P30","8",0.072,0.077,0.062
"P30","9-Pésimo",0.174,0.261,0.118
"P30","No sabe",0.037,0.052,0.087
"P31","1-Excelente",0.185,0.135,0.142
"P31","2",0.069,0.119,0.089
"P31","3",0.084,0.082,0.104
"P31","4",0.091,0.063,0.08
"P31","5",0.159,0.13,0.171
"P31","6",0.078,0.054,0.061
"P31","7",0.064,0.037,0.065
"P31","8",0.054,0.075,0.058
"P31","9-Pésimo",0.156,0.24,0.117
"P31","No sabe",0.06,0.065,0.113
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.615,0.348,0.529
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.136,0.176,0.155
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.124,0.203,0.113
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.103,0.238,0.119
"P32","No sabe",0.022,0.035,0.084
"P28","1-Excelente",0.224,0.149,0.184
"P28","2",0.111,0.125,0.08
"P28","3",0.057,0.047,0.068
"P28","4",0.048,0.055,0.064
"P28","5",0.173,0.168,0.234
"P28","6",0.073,0.054,0.06
"P28","7",0.066,0.051,0.05
"P28","8",0.066,0.063,0.035
"P28","9-Pésimo",0.158,0.224,0.12
"P28","No sabe",0.024,0.064,0.105
"P29","1-Excelente",0.171,0.151,0.165
"P29","2",0.102,0.147,0.114
"P29","3",0.063,0.072,0.115
"P29","4",0.061,0.048,0.063
"P29","5",0.151,0.098,0.186
"P29","6",0.079,0.038,0.06
"P29","7",0.075,0.038,0.047
"P29","8",0.063,0.069,0.043
"P29","9-Pésimo",0.202,0.278,0.137
"P29","No sabe",0.033,0.061,0.07
"P30","1-Excelente",0.169,0.146,0.163
"P30","2",0.09,0.123,0.078
"P30","3",0.068,0.088,0.11
"P30","4",0.099,0.059,0.078
"P30","5",0.14,0.096,0.162
"P30","6",0.097,0.053,0.063
"P30","7",0.054,0.045,0.079
"P30","8",0.072,0.077,0.062
"P30","9-Pésimo",0.174,0.261,0.118
"P30","No sabe",0.037,0.052,0.087
"P31","1-Excelente",0.185,0.135,0.142
"P31","2",0.069,0.119,0.089
"P31","3",0.084,0.082,0.104
"P31","4",0.091,0.063,0.08
"P31","5",0.159,0.13,0.171
"P31","6",0.078,0.054,0.061
"P31","7",0.064,0.037,0.065
"P31","8",0.054,0.075,0.058
"P31","9-Pésimo",0.156,0.24,0.117
"P31","No sabe",0.06,0.065,0.113
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.615,0.348,0.529
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.136,0.176,0.155
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.124,0.203,0.113
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.103,0.238,0.119
"P32","No sabe",0.022,0.035,0.084
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.491,0.265,0.411
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.2,0.177,0.204
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.198,0.295,0.232
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.085,0.227,0.098
"P33","No sabe",0.026,0.036,0.055
"P34","Oponerse totalmente",0.534,0.302,0.43
"P34","Oponerse parcialmente",0.137,0.107,0.143
"P34","Apoyar parcialmente",0.188,0.286,0.234
"P34","Apoyar totalmente",0.119,0.276,0.121
"P34","No sabe",0.022,0.029,0.072
"P35","Inseguridad y narcotráfico",0.382,0.337,0.349
"P35","Altos impuestos y tarifas",0.155,0.219,0.169
"P35","Educación y estado de las escuelas",0.173,0.135,0.214
"P35","Inflación",0.154,0.148,0.148
"P35","Estado de la salud",0.067,0.083,0.06
"P35","Corrupción",0.039,0.054,0.023
"P35","Pobreza",0.008,0.008,0.007
"P35","Medio ambiente, incendios y contaminación",0.005,0,0.002
"P35","Falta de trabajo",0.017,0.014,0.022
"P35","No sabe",0,0.002,0.006
