"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P12","Gran excedente habitual",0.021,0.018,0.005
"P12","Gran excedente excepcional",0,0.008,0.002
"P12","Pequeño excedente habitual",0.014,0.061,0.017
"P12","Pequeño excedente excepcional",0.036,0.084,0.038
"P12","Alcanza gastos familia",0.077,0.183,0.098
"P12","No alcanza gastos familia",0.082,0.094,0.143
"P12","Solo NBFamiliares",0.235,0.302,0.279
"P12","No alcanza NBFamiliares",0.532,0.242,0.384
"P12","No sabe",0.003,0.008,0.034
"P13","Empleado sector publico",0.286,0.226,0.155
"P13","Empleado sector privado",0.175,0.253,0.138
"P13","Changas o trabajos eventuales",0.241,0.154,0.303
"P13","Estudiante",0.031,0.045,0.026
"P13","Amas de casa",0.064,0.071,0.152
"P13","Profesional o independiente",0.077,0.118,0.067
"P13","Comerciante, emprendedor o empresario",0.025,0.061,0.018
"P13","Trabajador informal",0.019,0.023,0.043
"P13","No tengo trabajo",0.082,0.049,0.098
"P14","Muy buena",0.165,0.065,0.13
"P14","Buena",0.247,0.092,0.149
"P14","Ni buena ni mala",0.355,0.269,0.494
"P14","Mala",0.169,0.329,0.119
"P14","Muy mala",0.056,0.243,0.055
"P14","No sabe",0.008,0.002,0.053
"P15","Muy buena",0.105,0.363,0.185
"P15","Buena",0.069,0.255,0.158
"P15","Ni buena ni mala",0.092,0.136,0.34
"P15","Mala",0.232,0.097,0.156
"P15","Muy mala",0.495,0.144,0.122
"P15","No sabe",0.007,0.005,0.039
"P20","Muy buena",0.212,0.047,0.165
"P20","Buena",0.267,0.144,0.186
"P20","Ni buena ni mala",0.276,0.27,0.46
"P20","Mala",0.159,0.34,0.105
"P20","Muy mala",0.073,0.188,0.032
"P20","No sabe",0.013,0.011,0.052
"P24","Si",0.36,0.414,0.291
"P24","No",0.466,0.372,0.278
"P24","No sabe",0.174,0.214,0.431
"P25","Si",0.374,0.149,0.208
"P25","No",0.323,0.609,0.308
"P25","No sabe",0.303,0.242,0.484
"P26","Si",0.882,0.792,0.639
"P26","No",0.118,0.208,0.361
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.795,0.286,0.388
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.116,0.143,0.273
