"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.35,0.364,0.337,0.347,0.349,0.367,0.332,0.324,0.344,0.388,0.419,0.318,0.319,0.362,0.324,0.343,0.354,0.407,0.549,0.342,0.389,0.44
"Desempleo",0.095,0.088,0.102,0.112,0.1,0.074,0.086,0.118,0.104,0.056,0.109,0.059,0.171,0.087,0.145,0.064,0.081,0.085,0.038,0.047,0.07,0.129
"Corrupción",0.284,0.296,0.274,0.288,0.269,0.286,0.314,0.231,0.305,0.317,0.139,0.425,0.256,0.28,0.289,0.343,0.277,0.087,0.073,0.428,0.346,0.283
"Inseguridad",0.117,0.112,0.121,0.113,0.117,0.112,0.13,0.163,0.111,0.072,0.117,0.116,0.149,0.104,0.108,0.049,0.143,0.154,0.053,0.098,0.084,0.108
"Precio del dólar",0.028,0.022,0.032,0.018,0.033,0.032,0.025,0.032,0.031,0.018,0.047,0.012,0.022,0.021,0.029,0.038,0.032,0.047,0.015,0,0,0.004
"Pobreza",0.052,0.038,0.065,0.054,0.069,0.037,0.031,0.051,0.045,0.065,0.077,0.028,0.034,0.064,0.042,0.05,0.048,0.103,0.129,0.029,0.046,0.008
"Narcotráfico",0.01,0.011,0.009,0.005,0.007,0.015,0.016,0.016,0.006,0.007,0.012,0.006,0.008,0.011,0.006,0.009,0.01,0.003,0,0.015,0,0
"Tarifas",0.004,0.003,0.006,0,0.005,0.009,0.004,0.005,0.005,0.003,0.007,0.004,0,0.003,0.009,0.004,0.003,0.013,0,0.009,0,0
"Otro",0.042,0.046,0.039,0.044,0.034,0.053,0.043,0.032,0.036,0.061,0.054,0.023,0.022,0.047,0.033,0.066,0.038,0.075,0.125,0.029,0.046,0.022
"No sabe",0.018,0.02,0.015,0.019,0.017,0.015,0.019,0.028,0.013,0.013,0.019,0.009,0.019,0.021,0.015,0.034,0.014,0.026,0.018,0.003,0.019,0.006
