"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P04","Tengo trabajo estable",0.462,0.402,0.334,0.415
"P04","Realizo changas o trabajos de vez en cuando",0.198,0.215,0.172,0.231
"P04","No tengo trabajo",0.163,0.171,0.278,0.143
"P04","Soy jubilado o pensionado",0.177,0.212,0.216,0.211
"P05","Derecha",0.138,0.258,0.226,0.162
"P05","Centro derecha",0.14,0.207,0.142,0.131
"P05","Centro izquierda",0.292,0.093,0.081,0.079
"P05","Izquierda",0.155,0.065,0.113,0.089
"P05","No sabe",0.275,0.377,0.438,0.539
"P06","Muy importante",0.793,0.554,0.51,0.462
"P06","Algo importante",0.119,0.234,0.113,0.203
"P06","Nada importante",0.071,0.143,0.272,0.061
"P06","No sabe",0.017,0.069,0.105,0.274
"P08","Frente de Todos y el peronismo",0.514,0.219,0.201,0.282
"P08","Cambiemos",0.218,0.384,0.266,0.183
"P08","Liberales y Javier Milei",0.143,0.28,0.376,0.265
"P08","Izquierda",0.051,0.013,0.021,0.081
"P08","No sabe",0.074,0.104,0.136,0.189
"P10","Lo votaría",0.275,0.249,0.252,0.363
"P10","Puede que lo vote",0.425,0.261,0.338,0.238
"P10","Nunca lo votaría",0.212,0.379,0.377,0.089
"P10","No sabe",0.088,0.111,0.033,0.31
"P11","Lo votaría",0.375,0.47,0.483,0.476
"P11","Puede que lo vote",0.385,0.22,0.23,0.291
"P11","Nunca lo votaría",0.165,0.26,0.201,0.041
"P11","No sabe",0.075,0.05,0.086,0.192
"P12","Lo votaría",0.41,0.451,0.453,0.274
"P12","Puede que lo vote",0.431,0.39,0.349,0.44
"P12","Nunca lo votaría",0.121,0.088,0.13,0.142
"P12","No sabe",0.038,0.071,0.068,0.144
"P13","Lo votaría",0.25,0.248,0.294,0.072
"P13","Puede que lo vote",0.286,0.417,0.33,0.282
"P13","Nunca lo votaría",0.369,0.267,0.302,0.457
"P13","No sabe",0.095,0.068,0.074,0.189
"P14","La votaría",0.46,0.637,0.613,0.546
"P14","Puede que la vote",0.277,0.242,0.281,0.252
"P14","Nunca la votaría",0.2,0.092,0.084,0.189
"P14","No sabe",0.063,0.029,0.022,0.013
"P15","Lo votaría",0.159,0.19,0.161,0.203
"P15","Puede que lo vote",0.269,0.26,0.258,0.185
"P15","Nunca lo votaría",0.534,0.502,0.554,0.566
"P15","No sabe",0.038,0.048,0.027,0.046
"P16","Sí, lo votaría",0.219,0.41,0.381,0.267
"P16","Puede que lo vote",0.08,0.167,0.169,0.099
"P16","Nunca lo votaría",0.676,0.366,0.366,0.442
"P16","No sabe",0.025,0.057,0.084,0.192
"P17","Sí, la votaría",0.478,0.166,0.262,0.288
"P17","Puede que la vote",0.1,0.072,0.055,0.047
"P17","Nunca la votaría",0.403,0.735,0.639,0.491
"P17","No sabe",0.019,0.027,0.044,0.174
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.543,0.163,0.178,0.32
"P18","Mauricio Macri por Cambiemos",0.15,0.336,0.3,0.199
"P18","Javier Milei por los liberales",0.145,0.287,0.315,0.256
"P18","Nicolás del Caño por la izquierda",0.027,0.016,0.009,0.029
"P18","Otro candidato",0.135,0.198,0.198,0.196
"P19","Horacio Rodríguez Larreta por Cambiemos",0.234,0.332,0.247,0.199
"P19","Alberto Fernández por el Frente de Todos",0.388,0.177,0.189,0.289
"P19","Javier Milei por los liberales",0.143,0.273,0.323,0.28
"P19","Nicolás del Caño por la izquierda",0.056,0.01,0.017,0
"P19","Otro candidato",0.179,0.208,0.224,0.232
"P20","Mauricio Macri presidente Javier Milei vice",0.232,0.498,0.454,0.336
"P20","Sergio Massa presidente Gerardo Morales vice",0.221,0.112,0.084,0.21
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.108,0.04,0.025,0.055
"P20","No sabe",0.439,0.35,0.437,0.399
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.179,0.376,0.397,0.297
"P21","Alberto Fernández presidente Sergio Massa vice",0.225,0.118,0.094,0.18
"P21","Javier Milei presidente José Luis Espert vice",0.115,0.231,0.219,0.153
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.126,0.111,0.096,0.084
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.284,0.07,0.087,0.185
"P21","Otros candidatos",0.071,0.094,0.107,0.101
"P22","Muy buena",0.096,0.054,0.081,0.083
"P22","Buena",0.254,0.091,0.081,0.154
"P22","Ni buena ni mala",0.163,0.093,0.116,0.235
"P22","Mala",0.146,0.169,0.186,0.116
"P22","Muy mala",0.327,0.584,0.533,0.375
"P22","No sabe",0.014,0.009,0.003,0.037
"P23","Si",0.765,0.605,0.504,0.603
"P23","No",0.119,0.213,0.271,0.15
"P23","No sabe",0.116,0.182,0.225,0.247
"P24","El kirchnerismo",0.364,0.557,0.506,0.419
"P24","Cambiemos",0.252,0.119,0.145,0.132
"P24","Los medios de comunicación",0.263,0.101,0.079,0.203
"P24","Otros",0.066,0.091,0.12,0.045
"P24","No sabe",0.055,0.132,0.15,0.201
"P25","Sin deuda",0.341,0.264,0.268,0.306
"P25","Menos de 10%",0.188,0.163,0.15,0.125
"P25","Entre 10 y 20%",0.117,0.188,0.12,0.102
"P25","Entre 20 y 30%",0.102,0.092,0.103,0.165
"P25","Entre 30 y 40%",0.093,0.089,0.098,0.046
"P25","Mas del 40%",0.127,0.181,0.21,0.184
"P25","No sabe",0.032,0.023,0.051,0.072
"P26","Gran excedente habitual",0.009,0.003,0.005,0
"P26","Gran excedente excepcional",0.008,0.005,0.007,0.033
"P26","Pequeño excedente habitual",0.086,0.051,0.032,0.084
"P26","Pequeño excedente excepcional",0.09,0.042,0.029,0.064
"P26","Alcanza gastos familia",0.198,0.112,0.118,0.203
"P26","No alcanza gastos familia",0.119,0.192,0.194,0.155
"P26","Solo NBFamiliares",0.266,0.297,0.263,0.212
"P26","No alcanza NBFamiliares",0.217,0.289,0.347,0.229
"P26","No sabe",0.007,0.009,0.005,0.02
"P27","Muy buena",0.043,0.033,0.056,0.045
"P27","Buena",0.209,0.113,0.113,0.064
"P27","Ni buena ni mala",0.392,0.384,0.366,0.373
"P27","Mala",0.257,0.351,0.294,0.291
"P27","Muy mala",0.091,0.105,0.156,0.165
"P27","No sabe",0.008,0.014,0.015,0.062
"P28","Mejor",0.138,0.087,0.104,0.052
"P28","Igual",0.384,0.174,0.215,0.356
"P28","Peor",0.44,0.705,0.645,0.519
"P28","No sabe",0.038,0.034,0.036,0.073
"P29","Mejor",0.21,0.072,0.105,0.093
"P29","Igual",0.288,0.176,0.191,0.192
"P29","Peor",0.417,0.652,0.603,0.58
"P29","No sabe",0.085,0.1,0.101,0.135
"P30","Muy buena",0.049,0.044,0.05,0.079
"P30","Buena",0.095,0.049,0.062,0.055
"P30","Ni buena ni mala",0.21,0.079,0.122,0.228
"P30","Mala",0.315,0.251,0.235,0.225
"P30","Muy mala",0.324,0.572,0.525,0.383
"P30","No sabe",0.007,0.005,0.006,0.03
"P31","Muy buena",0.392,0.101,0.119,0.242
"P31","Buena",0.115,0.061,0.043,0.117
"P31","Ni buena ni mala",0.074,0.074,0.1,0.153
"P31","Mala",0.049,0.072,0.071,0.077
"P31","Muy mala",0.364,0.69,0.651,0.392
"P31","No sabe",0.006,0.002,0.016,0.019
"P32","Muy buena",0.111,0.064,0.065,0.08
"P32","Buena",0.246,0.091,0.072,0.131
"P32","Ni buena ni mala",0.185,0.092,0.166,0.207
"P32","Mala",0.149,0.154,0.123,0.129
"P32","Muy mala",0.303,0.599,0.56,0.4
"P32","No sabe",0.006,0,0.014,0.053
"P33","Muy buena",0.076,0.043,0.052,0.092
"P33","Buena",0.164,0.078,0.061,0.083
"P33","Ni buena ni mala",0.26,0.158,0.16,0.259
"P33","Mala",0.173,0.2,0.184,0.139
