"var","categoria","Sí, lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P04","Tengo trabajo estable",0.412,0.388,0.457,0.267
"P04","Realizo changas o trabajos de vez en cuando",0.204,0.21,0.181,0.317
"P04","No tengo trabajo",0.183,0.19,0.158,0.29
"P04","Soy jubilado o pensionado",0.201,0.212,0.204,0.126
"P05","Derecha",0.314,0.203,0.132,0.117
"P05","Centro derecha",0.279,0.22,0.085,0.123
"P05","Centro izquierda",0.066,0.099,0.28,0.06
"P05","Izquierda",0.06,0.089,0.161,0.014
"P05","No sabe",0.281,0.389,0.342,0.686
"P06","Muy importante",0.547,0.513,0.752,0.529
"P06","Algo importante",0.223,0.243,0.118,0.095
"P06","Nada importante",0.203,0.152,0.076,0.128
"P06","No sabe",0.027,0.092,0.054,0.248
"P07","Estoy de acuerdo",0.301,0.274,0.582,0.204
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.479,0.49,0.268,0.392
"P07","No estoy de acuerdo",0.178,0.198,0.107,0.229
"P07","No sabe",0.042,0.038,0.043,0.175
"P08","Frente de Todos y el peronismo",0.029,0.078,0.629,0.141
"P08","Cambiemos",0.618,0.371,0.081,0.086
"P08","Liberales y Javier Milei",0.308,0.439,0.13,0.315
"P08","Izquierda",0.004,0.008,0.058,0.028
"P08","No sabe",0.041,0.104,0.102,0.43
"P10","Lo votaría",0.273,0.406,0.275,0
"P10","Puede que lo vote",0.051,0.068,0.389,0.421
"P10","Nunca lo votaría",0.676,0.427,0.236,0.461
"P10","No sabe",0,0.099,0.1,0.118
"P11","Lo votaría",0.051,0.484,0.42,0.34
"P11","Puede que lo vote",0.447,0.086,0.331,0.484
"P11","Nunca lo votaría",0.502,0.29,0.177,0.022
"P11","No sabe",0,0.14,0.072,0.154
"P12","Lo votaría",0.461,0.401,0.334,0.277
"P12","Puede que lo vote",0.401,0.463,0.343,0.332
"P12","Nunca lo votaría",0.089,0.051,0.255,0
"P12","No sabe",0.049,0.085,0.068,0.391
"P13","Lo votaría",0.221,0.281,0.334,0.336
"P13","Puede que lo vote",0.37,0.477,0.188,0.123
"P13","Nunca lo votaría",0.316,0.216,0.424,0.064
"P13","No sabe",0.093,0.026,0.054,0.477
"P14","La votaría",0.697,0.368,0.232,0.261
"P14","Puede que la vote",0.225,0.443,0.217,0.273
"P14","Nunca la votaría",0.042,0.164,0.522,0
"P14","No sabe",0.036,0.025,0.029,0.466
"P15","Lo votaría",0.207,0.107,0.099,0.181
"P15","Puede que lo vote",0.296,0.212,0.157,0.181
"P15","Nunca lo votaría",0.461,0.643,0.712,0.16
"P15","No sabe",0.036,0.038,0.032,0.478
"P17","Sí, la votaría",0.167,0.03,0.509,0.156
"P17","Puede que la vote",0.012,0.18,0.102,0.055
"P17","Nunca la votaría",0.814,0.785,0.372,0.378
"P17","No sabe",0.007,0.005,0.017,0.411
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.029,0.067,0.618,0.179
"P18","Mauricio Macri por Cambiemos",0.625,0.282,0.01,0.045
"P18","Javier Milei por los liberales",0.285,0.411,0.14,0.287
"P18","Nicolás del Caño por la izquierda",0.002,0.014,0.033,0.019
"P18","Otro candidato",0.059,0.226,0.199,0.47
"P19","Horacio Rodríguez Larreta por Cambiemos",0.452,0.355,0.148,0.135
"P19","Alberto Fernández por el Frente de Todos",0.132,0.083,0.428,0.139
"P19","Javier Milei por los liberales",0.309,0.378,0.126,0.267
"P19","Nicolás del Caño por la izquierda",0.005,0.003,0.057,0.008
"P19","Otro candidato",0.102,0.181,0.241,0.451
"P20","Mauricio Macri presidente Javier Milei vice",0.803,0.549,0.06,0.221
"P20","Sergio Massa presidente Gerardo Morales vice",0.021,0.054,0.284,0.056
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.014,0.019,0.116,0.068
"P20","No sabe",0.162,0.378,0.54,0.655
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.718,0.372,0.017,0.059
"P21","Alberto Fernández presidente Sergio Massa vice",0.011,0.044,0.298,0.092
"P21","Javier Milei presidente José Luis Espert vice",0.167,0.3,0.133,0.364
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.086,0.204,0.113,0.069
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.001,0.016,0.322,0.126
"P21","Otros candidatos",0.017,0.064,0.117,0.29
"P22","Muy buena",0.05,0.046,0.105,0.058
"P22","Buena",0.014,0.026,0.299,0.092
"P22","Ni buena ni mala",0.019,0.07,0.221,0.148
"P22","Mala",0.117,0.227,0.164,0.213
"P22","Muy mala",0.797,0.631,0.197,0.423
"P22","No sabe",0.003,0,0.014,0.066
"P23","Si",0.522,0.568,0.783,0.531
"P23","No",0.255,0.219,0.117,0.19
"P23","No sabe",0.223,0.213,0.1,0.279
"P24","El kirchnerismo",0.728,0.661,0.237,0.471
"P24","Cambiemos",0.064,0.037,0.302,0.083
"P24","Los medios de comunicación",0.037,0.07,0.292,0.103
"P24","Otros",0.097,0.105,0.07,0.049
"P24","No sabe",0.074,0.127,0.099,0.294
"P25","Sin deuda",0.291,0.216,0.34,0.215
"P25","Menos de 10%",0.191,0.199,0.158,0.09
"P25","Entre 10 y 20%",0.142,0.155,0.135,0.142
"P25","Entre 20 y 30%",0.121,0.131,0.086,0.079
"P25","Entre 30 y 40%",0.099,0.084,0.091,0.063
"P25","Mas del 40%",0.136,0.19,0.156,0.297
"P25","No sabe",0.02,0.025,0.034,0.114
"P26","Gran excedente habitual",0.006,0.002,0.005,0.031
"P26","Gran excedente excepcional",0.003,0,0.014,0.002
"P26","Pequeño excedente habitual",0.064,0.041,0.076,0.05
"P26","Pequeño excedente excepcional",0.058,0.039,0.075,0.022
"P26","Alcanza gastos familia",0.132,0.104,0.19,0.138
"P26","No alcanza gastos familia",0.158,0.211,0.142,0.143
"P26","Solo NBFamiliares",0.276,0.332,0.253,0.289
"P26","No alcanza NBFamiliares",0.296,0.257,0.237,0.319
"P26","No sabe",0.007,0.014,0.008,0.006
"P27","Muy buena",0.036,0.034,0.05,0.021
"P27","Buena",0.129,0.077,0.195,0.075
"P27","Ni buena ni mala",0.367,0.362,0.397,0.441
"P27","Mala",0.336,0.405,0.254,0.238
"P27","Muy mala",0.119,0.113,0.095,0.152
"P27","No sabe",0.013,0.009,0.009,0.073
"P28","Mejor",0.05,0.065,0.165,0.075
"P28","Igual",0.119,0.167,0.41,0.302
"P28","Peor",0.802,0.732,0.387,0.56
"P28","No sabe",0.029,0.036,0.038,0.063
"P29","Mejor",0.032,0.029,0.238,0.127
"P29","Igual",0.137,0.184,0.299,0.159
"P29","Peor",0.784,0.7,0.343,0.579
"P29","No sabe",0.047,0.087,0.12,0.135
"P30","Muy buena",0.057,0.051,0.045,0.039
"P30","Buena",0.023,0.023,0.121,0.02
"P30","Ni buena ni mala",0.031,0.043,0.24,0.232
"P30","Mala",0.19,0.264,0.332,0.25
"P30","Muy mala",0.699,0.612,0.252,0.441
"P30","No sabe",0,0.007,0.01,0.018
"P31","Muy buena",0.015,0.028,0.44,0.123
"P31","Buena",0.017,0.035,0.134,0.133
"P31","Ni buena ni mala",0.019,0.071,0.111,0.15
"P31","Mala",0.053,0.103,0.057,0.081
"P31","Muy mala",0.896,0.761,0.251,0.462
"P31","No sabe",0,0.002,0.007,0.051
"P32","Muy buena",0.008,0.011,0.148,0.121
"P32","Buena",0.023,0.069,0.272,0.109
"P32","Ni buena ni mala",0.046,0.092,0.227,0.183
"P32","Mala",0.117,0.213,0.14,0.143
"P32","Muy mala",0.804,0.615,0.211,0.376
"P32","No sabe",0.002,0,0.002,0.068
"P33","Muy buena",0.021,0.015,0.098,0.049
"P33","Buena",0.029,0.02,0.195,0.102
"P33","Ni buena ni mala",0.062,0.153,0.301,0.272
"P33","Mala",0.18,0.249,0.173,0.138
"P33","Muy mala",0.699,0.549,0.206,0.344
"P33","No sabe",0.009,0.014,0.027,0.095
"P34","Muy buena",0.03,0.02,0.346,0.05
"P34","Buena",0.05,0.017,0.2,0.076
"P34","Ni buena ni mala",0.036,0.078,0.13,0.243
"P34","Mala",0.083,0.19,0.078,0.115
"P34","Muy mala",0.799,0.686,0.239,0.402
"P34","No sabe",0.002,0.009,0.007,0.114
"P35","Muy buena",0.284,0.063,0.029,0.042
"P35","Buena",0.318,0.227,0.024,0.064
"P35","Ni buena ni mala",0.24,0.397,0.079,0.304
"P35","Mala",0.062,0.202,0.15,0.275
"P35","Muy mala",0.086,0.106,0.714,0.249
"P35","No sabe",0.01,0.005,0.004,0.066
"P36","Muy buena",0.256,0.153,0.053,0.082
"P36","Buena",0.33,0.303,0.085,0.185
"P36","Ni buena ni mala",0.241,0.321,0.176,0.284
"P36","Mala",0.078,0.097,0.224,0.12
"P36","Muy mala",0.091,0.102,0.443,0.143
"P36","No sabe",0.004,0.024,0.019,0.186
"P37","Muy buena",0.269,0.138,0.035,0.067
"P37","Buena",0.332,0.263,0.044,0.144
"P37","Ni buena ni mala",0.203,0.299,0.11,0.243
"P37","Mala",0.082,0.137,0.174,0.261
"P37","Muy mala",0.113,0.137,0.62,0.2
"P37","No sabe",0.001,0.026,0.017,0.085
"P38","Muy buena",0.22,0.242,0.096,0.138
"P38","Buena",0.225,0.195,0.068,0.203
"P38","Ni buena ni mala",0.328,0.287,0.151,0.263
"P38","Mala",0.088,0.113,0.106,0.079
"P38","Muy mala",0.121,0.119,0.523,0.155
"P38","No sabe",0.018,0.044,0.056,0.162
"P39","Muy buena",0.562,0.359,0.046,0.079
"P39","Buena",0.265,0.287,0.068,0.134
"P39","Ni buena ni mala",0.105,0.198,0.095,0.303
"P39","Mala",0.023,0.058,0.121,0.137
"P39","Muy mala",0.031,0.054,0.641,0.207
"P39","No sabe",0.014,0.044,0.029,0.14
"P40","Muy buena",0.03,0.019,0.077,0.025
"P40","Buena",0.088,0.111,0.207,0.061
"P40","Ni buena ni mala",0.244,0.232,0.289,0.185
"P40","Mala",0.333,0.327,0.208,0.255
"P40","Muy mala",0.283,0.298,0.189,0.259
"P40","No sabe",0.022,0.013,0.03,0.215
"P41","Muy buena",0.04,0.002,0.013,0.061
"P41","Buena",0.095,0.08,0.061,0.024
"P41","Ni buena ni mala",0.236,0.292,0.105,0.164
"P41","Mala",0.281,0.308,0.236,0.255
"P41","Muy mala",0.338,0.299,0.538,0.306
"P41","No sabe",0.01,0.019,0.047,0.19
