"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","opciones"
"Muy buena",0.078,0.057,0.1,0.093,0.067,0.067,0.103,0.097,0.067,0.073,0.072,0.09,6
"Buena",0.164,0.156,0.171,0.158,0.169,0.145,0.182,0.158,0.185,0.137,0.175,0.14,6
"Ni buena ni mala",0.133,0.129,0.138,0.093,0.154,0.149,0.103,0.154,0.125,0.124,0.138,0.124,6
"Mala",0.159,0.165,0.153,0.145,0.169,0.148,0.165,0.185,0.157,0.131,0.16,0.157,6
"Muy mala",0.455,0.483,0.426,0.503,0.427,0.484,0.432,0.391,0.46,0.521,0.448,0.47,6
"No sabe",0.011,0.01,0.012,0.008,0.014,0.007,0.015,0.015,0.006,0.014,0.007,0.019,6
"Positiva",0.242,0.213,0.271,0.251,0.236,0.212,0.285,0.255,0.252,0.21,0.247,0.23,4
"Neutra",0.133,0.129,0.138,0.093,0.154,0.149,0.103,0.154,0.125,0.124,0.138,0.124,4
"Negativa",0.614,0.648,0.579,0.648,0.596,0.632,0.597,0.576,0.617,0.652,0.608,0.627,4
"No sabe",0.011,0.01,0.012,0.008,0.014,0.007,0.015,0.015,0.006,0.014,0.007,0.019,4
