"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P04","Tengo trabajo estable",0.491,0.404,0.419,0.381,0.394,0.374,0.325
"P04","Realizo changas o trabajos de vez en cuando",0.135,0.171,0.202,0.258,0.28,0.264,0.217
"P04","No tengo trabajo",0.13,0.163,0.172,0.197,0.194,0.274,0.237
"P04","Soy jubilado o pensionado",0.244,0.262,0.207,0.164,0.132,0.088,0.221
"P05","Derecha",0.214,0.207,0.18,0.221,0.193,0.152,0.194
"P05","Centro derecha",0.179,0.192,0.158,0.191,0.122,0.132,0.075
"P05","Centro izquierda",0.23,0.224,0.185,0.099,0.138,0.096,0.151
"P05","Izquierda",0.126,0.139,0.087,0.088,0.115,0.09,0.092
"P05","No sabe",0.251,0.238,0.39,0.401,0.432,0.53,0.488
"P06","Muy importante",0.653,0.633,0.652,0.601,0.659,0.677,0.576
"P06","Algo importante",0.184,0.209,0.171,0.156,0.195,0.065,0.134
"P06","Nada importante",0.11,0.115,0.103,0.171,0.11,0.173,0.132
"P06","No sabe",0.053,0.043,0.074,0.072,0.036,0.085,0.158
"P07","Estoy de acuerdo",0.496,0.482,0.357,0.436,0.452,0.342,0.417
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.321,0.351,0.482,0.333,0.362,0.409,0.253
"P07","No estoy de acuerdo",0.132,0.13,0.125,0.15,0.16,0.192,0.223
"P07","No sabe",0.051,0.037,0.036,0.081,0.026,0.057,0.107
"P08","Frente de Todos y el peronismo",0.425,0.319,0.336,0.245,0.32,0.3,0.465
"P08","Cambiemos",0.296,0.346,0.327,0.255,0.293,0.201,0.167
"P08","Liberales y Javier Milei",0.177,0.192,0.208,0.338,0.239,0.335,0.244
"P08","Izquierda",0.032,0.03,0.027,0.043,0.056,0.031,0.035
"P08","No sabe",0.07,0.113,0.102,0.119,0.092,0.133,0.089
"P10","Lo votaría",0.312,0.239,0.26,0.181,0.258,0.293,0.178
"P10","Puede que lo vote",0.392,0.501,0.406,0.371,0.249,0.228,0.273
"P10","Nunca lo votaría",0.208,0.153,0.268,0.396,0.404,0.333,0.386
"P10","No sabe",0.088,0.107,0.066,0.052,0.089,0.146,0.163
"P11","Lo votaría",0.371,0.41,0.454,0.196,0.5,0.509,0.503
"P11","Puede que lo vote",0.34,0.377,0.343,0.395,0.339,0.204,0.275
"P11","Nunca lo votaría",0.22,0.137,0.161,0.266,0.105,0.206,0.111
"P11","No sabe",0.069,0.076,0.042,0.143,0.056,0.081,0.111
"P12","Lo votaría",0.422,0.39,0.532,0.408,0.373,0.481,0.347
"P12","Puede que lo vote",0.397,0.418,0.339,0.471,0.455,0.331,0.455
"P12","Nunca lo votaría",0.127,0.101,0.072,0.1,0.118,0.121,0.048
"P12","No sabe",0.054,0.091,0.057,0.021,0.054,0.067,0.15
"P13","Lo votaría",0.241,0.219,0.282,0.237,0.241,0.279,0.201
"P13","Puede que lo vote",0.306,0.485,0.378,0.345,0.228,0.375,0.263
"P13","Nunca lo votaría",0.364,0.233,0.28,0.376,0.364,0.268,0.389
"P13","No sabe",0.089,0.063,0.06,0.042,0.167,0.078,0.147
"P14","La votaría",0.569,0.507,0.531,0.629,0.547,0.723,0.568
"P14","Puede que la vote",0.22,0.354,0.264,0.214,0.324,0.139,0.359
"P14","Nunca la votaría",0.147,0.117,0.191,0.121,0.069,0.109,0.05
"P14","No sabe",0.064,0.022,0.014,0.036,0.06,0.029,0.023
"P15","Lo votaría",0.195,0.138,0.139,0.14,0.14,0.336,0.023
"P15","Puede que lo vote",0.237,0.319,0.267,0.277,0.269,0.182,0.192
"P15","Nunca lo votaría",0.522,0.52,0.561,0.531,0.537,0.448,0.592
