"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P08","Siempre",0.239,0.152,0.164,0.142
"P08","Casi siempre",0.368,0.38,0.248,0.323
"P08","Casi nunca",0.265,0.345,0.453,0.187
"P08","Nunca, pero esta es una excepción",0.128,0.123,0.135,0.348
"P09","Muy buena",0.203,0.113,0.13,0.398
"P09","Buena",0.241,0.243,0.187,0.022
"P09","Ni buena ni mala",0.297,0.37,0.432,0.207
"P09","Mala",0.173,0.189,0.164,0.299
"P09","Muy mala",0.081,0.068,0.057,0
"P09","No sabe",0.005,0.017,0.03,0.074
"P10","Muy buena",0.243,0.186,0.158,0.312
"P10","Buena",0.278,0.279,0.256,0.111
"P10","Ni buena ni mala",0.254,0.316,0.386,0.279
"P10","Mala",0.109,0.148,0.114,0.224
"P10","Muy mala",0.072,0.06,0.084,0
"P10","No sabe",0.044,0.011,0.002,0.074
"P13","Si",0.529,0.461,0.524,0.395
"P13","No",0.279,0.283,0.278,0.292
"P13","No sabe",0.192,0.256,0.198,0.313
"P15","Gobierno nacional",0.587,0.146,0.279,0.281
"P15","Gobierno provincial",0.301,0.735,0.421,0.463
"P15","No sabe",0.112,0.119,0.3,0.256
"P16","El gobierno anterior de Omar Gutierrez",0.355,0.533,0.424,0.196
"P16","El actual gobierno de Rolo Figueroa",0.319,0.2,0.222,0.117
"P16","No sabe",0.326,0.267,0.354,0.687
"P17","El gobierno anterior de Alberto Fernández",0.304,0.705,0.184,0.551
"P17","El actual gobierno de Javier Milei",0.655,0.265,0.247,0.066
"P17","No sabe",0.041,0.03,0.569,0.383
"P18","Muy buena",0.11,0.062,0.117,0.171
"P18","Buena",0.355,0.219,0.196,0.252
"P18","Ni buena ni mala",0.264,0.271,0.285,0.316
"P18","Mala",0.188,0.326,0.297,0.053
"P18","Muy mala",0.076,0.11,0.105,0.134
"P18","No sabe",0.007,0.012,0,0.074
"P19","Muy buena",0.11,0.048,0.072,0.051
"P19","Buena",0.266,0.135,0.152,0.372
"P19","Ni buena ni mala",0.215,0.197,0.227,0.241
"P19","Mala",0.244,0.413,0.378,0.128
"P19","Muy mala",0.156,0.205,0.168,0.134
"P19","No sabe",0.009,0.002,0.003,0.074
"P20","Muy buena",0.059,0.06,0.045,0.039
"P20","Buena",0.294,0.207,0.139,0.294
"P20","Ni buena ni mala",0.314,0.293,0.369,0.261
"P20","Mala",0.178,0.328,0.303,0.142
"P20","Muy mala",0.146,0.11,0.1,0.134
"P20","No sabe",0.009,0.002,0.044,0.13
"P21","Muy de acuerdo",0.565,0.239,0.281,0.249
"P21","De acuerdo",0.223,0.261,0.221,0.283
"P21","Ni de acuerdo ni en desacuerdo",0.136,0.262,0.322,0.285
"P21","En desacuerdo",0.025,0.162,0.134,0
"P21","Muy en desacuerdo",0.041,0.057,0.016,0.053
"P21","No sabe",0.01,0.019,0.026,0.13
"P22","El estado nacional",0.107,0.14,0.134,0.083
"P22","El estado provincial",0.69,0.421,0.554,0.392
"P22","Ambos de forma coordinada",0.185,0.348,0.256,0.32
"P22","No sabe",0.018,0.091,0.056,0.205
"P23","Si",0.589,0.556,0.529,0.328
"P23","No",0.32,0.355,0.256,0.479
"P23","No sabe",0.091,0.089,0.215,0.193
"P24","Excesiva",0.063,0.142,0.061,0
"P24","Adecuada",0.293,0.485,0.405,0.425
"P24","Insuficiente",0.436,0.22,0.281,0.292
"P24","Inaceptable",0.16,0.077,0.053,0.083
"P24","No sabe",0.048,0.076,0.2,0.2
"P26","Si",0.706,0.667,0.607,0.468
"P26","No",0.189,0.254,0.132,0.078
"P26","No sabe",0.105,0.079,0.261,0.454
"P27","Correcta",0.512,0.176,0.297,0.148
"P27","Incorrecta",0.306,0.692,0.373,0.359
"P27","No sabe",0.182,0.132,0.33,0.493
"P28","Si",0.625,0.591,0.523,0.167
"P28","No",0.295,0.345,0.269,0.428
"P28","No sabe",0.08,0.064,0.208,0.405
"P29","Correcta",0.332,0.578,0.387,0.44
"P29","Incorrecta",0.465,0.248,0.342,0.078
"P29","No sabe",0.203,0.174,0.271,0.482
"P30","Si",0.724,0.677,0.671,0.449
"P30","No",0.186,0.264,0.189,0.309
"P30","No sabe",0.09,0.059,0.14,0.242
"P31","Adecuada",0.398,0.105,0.262,0.171
"P31","Insuficiente",0.116,0.093,0.085,0.199
"P31","Excesiva",0.245,0.232,0.316,0.176
"P31","Inaceptable",0.178,0.521,0.276,0.285
"P31","No sabe",0.063,0.049,0.061,0.169
"P33","Si",0.718,0.331,0.397,0.546
"P33","No",0.195,0.565,0.313,0.048
"P33","No sabe",0.087,0.104,0.29,0.406
"P34","Si",0.328,0.651,0.386,0.588
"P34","No",0.504,0.264,0.381,0.119
"P34","No sabe",0.168,0.085,0.233,0.293
"P35","Inseguridad y narcotráfico",0.508,0.495,0.409,0.252
"P35","Altos impuestos y tarifas",0.265,0.287,0.355,0.241
"P35","Educación y estado de las escuelas",0.107,0.114,0.165,0.379
"P35","Inflación",0.071,0.031,0.009,0.075
"P35","Estado de la salud",0.016,0.015,0,0
"P35","Corrupción",0.009,0.054,0.03,0.053
"P35","Pobreza",0.013,0.001,0.003,0
"P35","Medio ambiente, incendios y contaminación",0,0,0,0
"P35","Falta de trabajo",0.006,0.001,0,0
"P35","No sabe",0.005,0.002,0.029,0
"P39","Muy buena",0.128,0.059,0.07,0
"P39","Buena",0.296,0.292,0.26,0.365
"P39","Ni buena ni mala",0.316,0.392,0.395,0.292
"P39","Mala",0.183,0.204,0.217,0.23
"P39","Muy mala",0.042,0.043,0.054,0.053
"P39","No sabe",0.035,0.01,0.004,0.06
"P40","Peor",0.493,0.243,0.279,0.376
"P40","Igual",0.322,0.549,0.396,0.164
"P40","Mejor",0.101,0.138,0.202,0.196
"P40","No sabe",0.084,0.07,0.123,0.264
"P41","Peor",0.533,0.191,0.282,0.287
"P41","Igual",0.199,0.426,0.2,0.126
"P41","Mejor",0.13,0.292,0.398,0.176
"P41","No sabe",0.138,0.091,0.12,0.411
"P43","Javier Milei",0.188,0.679,0.201,0.296
"P43","Los gobernadores",0.789,0.228,0.524,0.386
"P43","No sabe",0.023,0.093,0.275,0.318
"P44","Muy buena",0.268,0.153,0.128,0.295
"P44","Buena",0.277,0.291,0.349,0.093
"P44","Ni buena ni mala",0.302,0.339,0.354,0.234
"P44","Mala",0.104,0.143,0.088,0.137
"P44","Muy mala",0.043,0.059,0.049,0.053
"P44","No sabe",0.006,0.015,0.032,0.188
"P45","Muy buena",0.197,0.071,0.093,0.049
"P45","Buena",0.259,0.188,0.235,0.091
"P45","Ni buena ni mala",0.323,0.327,0.448,0.484
"P45","Mala",0.131,0.238,0.068,0.156
"P45","Muy mala",0.069,0.129,0.116,0.052
"P45","No sabe",0.021,0.047,0.04,0.168
"P46","Muy buena",0.129,0.06,0.053,0
"P46","Buena",0.17,0.153,0.146,0.134
"P46","Ni buena ni mala",0.229,0.221,0.298,0.353
"P46","Mala",0.329,0.355,0.283,0.066
"P46","Muy mala",0.129,0.202,0.172,0.331
"P46","No sabe",0.014,0.009,0.048,0.116
"P47","Muy buena",0.145,0.046,0.035,0
"P47","Buena",0.11,0.157,0.127,0.031
"P47","Ni buena ni mala",0.447,0.379,0.493,0.352
"P47","Mala",0.156,0.21,0.147,0.239
"P47","Muy mala",0.117,0.152,0.103,0.188
"P47","No sabe",0.025,0.056,0.095,0.19
"P48","Muy buena",0.286,0.047,0.109,0.271
"P48","Buena",0.188,0.182,0.188,0.081
"P48","Ni buena ni mala",0.319,0.308,0.398,0.112
"P48","Mala",0.125,0.261,0.155,0.073
"P48","Muy mala",0.078,0.166,0.112,0.202
"P48","No sabe",0.004,0.036,0.038,0.261
"P49","Muy buena",0.555,0.041,0.156,0.166
"P49","Buena",0.191,0.086,0.099,0.044
"P49","Ni buena ni mala",0.107,0.061,0.26,0.3
"P49","Mala",0.096,0.32,0.193,0.172
"P49","Muy mala",0.051,0.481,0.292,0.202
"P49","No sabe",0,0.011,0,0.116
"P50","Muy buena",0.111,0.131,0.027,0.181
"P50","Buena",0.014,0.318,0.121,0
"P50","Ni buena ni mala",0.103,0.284,0.202,0.212
"P50","Mala",0.327,0.171,0.275,0.137
"P50","Muy mala",0.445,0.079,0.338,0.354
"P50","No sabe",0,0.017,0.037,0.116
"P51","Muy buena",0.291,0.039,0.044,0
"P51","Buena",0.32,0.056,0.233,0.219
"P51","Ni buena ni mala",0.229,0.072,0.23,0.441
"P51","Mala",0.098,0.308,0.224,0
"P51","Muy mala",0.062,0.519,0.261,0.224
"P51","No sabe",0,0.006,0.008,0.116
"P52","Muy buena",0.119,0.533,0.1,0.079
"P52","Buena",0.019,0.232,0.157,0.34
"P52","Ni buena ni mala",0.046,0.116,0.24,0.223
"P52","Mala",0.273,0.024,0.27,0.206
"P52","Muy mala",0.542,0.095,0.233,0.035
"P52","No sabe",0.001,0,0,0.117
"P53","Muy buena",0.077,0.449,0.109,0.136
"P53","Buena",0.038,0.328,0.068,0.027
"P53","Ni buena ni mala",0.079,0.143,0.197,0.4
"P53","Mala",0.243,0.035,0.33,0.249
"P53","Muy mala",0.562,0.044,0.29,0.072
"P53","No sabe",0.001,0.001,0.006,0.116
"P54","Muy buena",0.085,0.257,0.056,0.062
"P54","Buena",0.006,0.283,0.04,0
"P54","Ni buena ni mala",0.104,0.343,0.335,0.498
"P54","Mala",0.236,0.051,0.266,0.219
"P54","Muy mala",0.547,0.045,0.294,0.094
"P54","No sabe",0.022,0.021,0.009,0.127
"P55","Muy buena",0.074,0.545,0.159,0.056
"P55","Buena",0.049,0.243,0.1,0
"P55","Ni buena ni mala",0.094,0.134,0.358,0.526
"P55","Mala",0.223,0.035,0.14,0.112
"P55","Muy mala",0.558,0.031,0.19,0.022
"P55","No sabe",0.002,0.012,0.053,0.284
"P56","Muy buena",0.077,0.121,0.09,0.034
"P56","Buena",0.05,0.286,0.196,0.185
"P56","Ni buena ni mala",0.341,0.42,0.406,0.42
"P56","Mala",0.259,0.105,0.152,0.037
"P56","Muy mala",0.255,0.049,0.096,0
"P56","No sabe",0.018,0.019,0.06,0.324
"P57","Muy buena",0.07,0.219,0.038,0
"P57","Buena",0.005,0.359,0.112,0
