"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.229,0.206,0.251,0.195,0.234,0.234,0.241,0.273,0.22,0.208,0.242,0.196,0.322,0.166,0.485,0.064,0.253,0.206,6
"Buena",0.121,0.122,0.12,0.162,0.118,0.103,0.118,0.108,0.134,0.115,0.111,0.188,0.199,0.013,0.188,0.081,0.101,0.141,6
"Ni buena ni mala",0.11,0.109,0.112,0.149,0.112,0.099,0.081,0.146,0.116,0.078,0.118,0.124,0.105,0.017,0.147,0.071,0.088,0.132,6
"Mala",0.225,0.263,0.188,0.234,0.192,0.258,0.269,0.186,0.25,0.222,0.232,0.221,0.229,0.227,0.131,0.292,0.203,0.246,6
"Muy mala",0.307,0.285,0.327,0.249,0.332,0.306,0.283,0.27,0.276,0.37,0.295,0.269,0.145,0.577,0.049,0.489,0.347,0.267,6
"No sabe",0.008,0.015,0.002,0.011,0.012,0,0.008,0.017,0.004,0.007,0.002,0.002,0,0,0,0.003,0.008,0.008,6
"Positiva",0.35,0.328,0.371,0.357,0.352,0.337,0.359,0.381,0.354,0.323,0.353,0.384,0.521,0.179,0.673,0.145,0.354,0.347,4
"Neutra",0.11,0.109,0.112,0.149,0.112,0.099,0.081,0.146,0.116,0.078,0.118,0.124,0.105,0.017,0.147,0.071,0.088,0.132,4
"Negativa",0.532,0.548,0.515,0.483,0.524,0.564,0.552,0.456,0.526,0.592,0.527,0.49,0.374,0.804,0.18,0.781,0.55,0.513,4
"No sabe",0.008,0.015,0.002,0.011,0.012,0,0.008,0.017,0.004,0.007,0.002,0.002,0,0,0,0.003,0.008,0.008,4
