"var","categoria","Excesiva","Adecuada","Insuficiente","Inaceptable","No sabe"
"P08","Siempre",0.212,0.141,0.172,0.302,0.07
"P08","Casi siempre",0.288,0.389,0.375,0.247,0.269
"P08","Casi nunca",0.387,0.333,0.336,0.298,0.402
"P08","Nunca, pero esta es una excepción",0.113,0.137,0.117,0.153,0.259
"P09","Muy buena",0.192,0.167,0.144,0.155,0.08
"P09","Buena",0.171,0.326,0.181,0.111,0.149
"P09","Ni buena ni mala",0.252,0.37,0.357,0.228,0.471
"P09","Mala",0.208,0.089,0.233,0.344,0.179
"P09","Muy mala",0.171,0.034,0.084,0.14,0.064
"P09","No sabe",0.006,0.014,0.001,0.022,0.057
"P10","Muy buena",0.131,0.239,0.178,0.179,0.112
"P10","Buena",0.262,0.347,0.276,0.133,0.151
"P10","Ni buena ni mala",0.248,0.279,0.289,0.257,0.524
"P10","Mala",0.151,0.079,0.159,0.307,0.068
"P10","Muy mala",0.171,0.035,0.083,0.111,0.027
"P10","No sabe",0.037,0.021,0.015,0.013,0.118
"P13","Si",0.4,0.6,0.492,0.429,0.24
"P13","No",0.383,0.241,0.286,0.393,0.227
"P13","No sabe",0.217,0.159,0.222,0.178,0.533
"P15","Gobierno nacional",0.216,0.264,0.38,0.412,0.237
"P15","Gobierno provincial",0.619,0.602,0.495,0.552,0.358
"P15","No sabe",0.165,0.134,0.125,0.036,0.405
"P16","El gobierno anterior de Omar Gutierrez",0.54,0.511,0.427,0.405,0.34
"P16","El actual gobierno de Rolo Figueroa",0.3,0.161,0.239,0.338,0.203
"P16","No sabe",0.16,0.328,0.334,0.257,0.457
"P17","El gobierno anterior de Alberto Fernández",0.623,0.497,0.322,0.243,0.064
"P17","El actual gobierno de Javier Milei",0.221,0.382,0.576,0.69,0.493
"P17","No sabe",0.156,0.121,0.102,0.067,0.443
"P18","Muy buena",0.161,0.066,0.07,0.182,0.103
"P18","Buena",0.167,0.293,0.229,0.153,0.185
"P18","Ni buena ni mala",0.223,0.257,0.343,0.134,0.363
"P18","Mala",0.17,0.304,0.285,0.398,0.207
"P18","Muy mala",0.259,0.072,0.072,0.133,0.078
"P18","No sabe",0.02,0.008,0.001,0,0.064
"P19","Muy buena",0.111,0.042,0.064,0.189,0.079
"P19","Buena",0.124,0.193,0.171,0.082,0.197
"P19","Ni buena ni mala",0.162,0.21,0.292,0.077,0.3
"P19","Mala",0.229,0.405,0.36,0.343,0.267
"P19","Muy mala",0.352,0.145,0.112,0.305,0.143
"P19","No sabe",0.022,0.005,0.001,0.004,0.014
"P20","Muy buena",0.141,0.052,0.03,0.133,0.014
"P20","Buena",0.108,0.305,0.199,0.123,0.212
"P20","Ni buena ni mala",0.275,0.251,0.352,0.217,0.477
"P20","Mala",0.254,0.294,0.313,0.297,0.134
"P20","Muy mala",0.205,0.085,0.1,0.23,0.129
"P20","No sabe",0.017,0.013,0.006,0,0.034
"P21","Muy de acuerdo",0.295,0.359,0.405,0.426,0.201
"P21","De acuerdo",0.156,0.276,0.273,0.117,0.136
"P21","Ni de acuerdo ni en desacuerdo",0.235,0.234,0.184,0.233,0.443
"P21","En desacuerdo",0.145,0.099,0.103,0.115,0.071
"P21","Muy en desacuerdo",0.164,0.016,0.023,0.105,0.078
"P21","No sabe",0.005,0.016,0.012,0.004,0.071
"P22","El estado nacional",0.183,0.093,0.12,0.273,0.075
"P22","El estado provincial",0.379,0.582,0.579,0.448,0.33
