"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.19,0.207,0.174,0.216,0.194,0.188,0.152,0.305,0.176,0.125,0.269,0.164,0.095,0.084,0.233,0.173,0.163,0.217,6
"Buena",0.29,0.305,0.275,0.27,0.246,0.361,0.335,0.223,0.37,0.24,0.375,0.311,0.166,0.066,0.316,0.294,0.289,0.29,6
"Ni buena ni mala",0.327,0.348,0.306,0.313,0.344,0.289,0.352,0.333,0.288,0.37,0.218,0.411,0.456,0.46,0.302,0.323,0.337,0.317,6
"Mala",0.122,0.095,0.148,0.077,0.144,0.116,0.112,0.076,0.108,0.172,0.088,0.049,0.225,0.258,0.102,0.137,0.115,0.129,6
"Muy mala",0.053,0.036,0.069,0.06,0.066,0.038,0.022,0.015,0.05,0.083,0.03,0.061,0.058,0.132,0.037,0.059,0.063,0.042,6
"No sabe",0.018,0.009,0.028,0.064,0.006,0.008,0.027,0.048,0.008,0.01,0.02,0.004,0,0,0.01,0.014,0.033,0.005,6
"Positiva",0.48,0.512,0.449,0.486,0.44,0.549,0.487,0.528,0.546,0.365,0.644,0.475,0.261,0.15,0.549,0.467,0.452,0.507,4
"Neutra",0.327,0.348,0.306,0.313,0.344,0.289,0.352,0.333,0.288,0.37,0.218,0.411,0.456,0.46,0.302,0.323,0.337,0.317,4
"Negativa",0.175,0.131,0.217,0.137,0.21,0.154,0.134,0.091,0.158,0.255,0.118,0.11,0.283,0.39,0.139,0.196,0.178,0.171,4
"No sabe",0.018,0.009,0.028,0.064,0.006,0.008,0.027,0.048,0.008,0.01,0.02,0.004,0,0,0.01,0.014,0.033,0.005,4
