"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.135,0.16,0.111,0.149,0.125,0.127,0.169,0.198,0.111,0.12,0.164,0.11,0.082,0.158,0.072,0.197,0.123,0.147,6
"Buena",0.17,0.191,0.148,0.161,0.116,0.213,0.286,0.151,0.201,0.145,0.157,0.271,0.149,0.166,0.067,0.282,0.147,0.192,6
"Ni buena ni mala",0.318,0.336,0.301,0.401,0.367,0.208,0.259,0.324,0.341,0.287,0.348,0.198,0.272,0.461,0.259,0.343,0.336,0.302,6
"Mala",0.126,0.121,0.131,0.103,0.123,0.162,0.094,0.097,0.136,0.133,0.144,0.139,0.143,0.081,0.215,0.064,0.13,0.121,6
"Muy mala",0.173,0.146,0.2,0.119,0.194,0.201,0.115,0.109,0.14,0.261,0.126,0.159,0.292,0.097,0.325,0.041,0.192,0.155,6
"No sabe",0.078,0.046,0.109,0.067,0.075,0.089,0.077,0.121,0.071,0.054,0.061,0.123,0.062,0.037,0.062,0.073,0.072,0.083,6
"Positiva",0.305,0.351,0.259,0.31,0.241,0.34,0.455,0.349,0.312,0.265,0.321,0.381,0.231,0.324,0.139,0.479,0.27,0.339,4
"Neutra",0.318,0.336,0.301,0.401,0.367,0.208,0.259,0.324,0.341,0.287,0.348,0.198,0.272,0.461,0.259,0.343,0.336,0.302,4
"Negativa",0.299,0.267,0.331,0.222,0.317,0.363,0.209,0.206,0.276,0.394,0.27,0.298,0.435,0.178,0.54,0.105,0.322,0.276,4
"No sabe",0.078,0.046,0.109,0.067,0.075,0.089,0.077,0.121,0.071,0.054,0.061,0.123,0.062,0.037,0.062,0.073,0.072,0.083,4
