"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P08","Siempre",0.169,0.205,0.107
"P08","Casi siempre",0.348,0.376,0.318
"P08","Casi nunca",0.329,0.313,0.42
"P08","Nunca, pero esta es una excepción",0.154,0.106,0.155
"P09","Muy buena",0.13,0.176,0.15
"P09","Buena",0.214,0.251,0.171
"P09","Ni buena ni mala",0.338,0.355,0.384
"P09","Mala",0.227,0.157,0.124
"P09","Muy mala",0.09,0.055,0.056
"P09","No sabe",0.001,0.006,0.115
"P10","Muy buena",0.148,0.257,0.23
"P10","Buena",0.265,0.281,0.199
"P10","Ni buena ni mala",0.326,0.274,0.374
"P10","Mala",0.182,0.097,0.084
"P10","Muy mala",0.078,0.058,0.052
"P10","No sabe",0.001,0.033,0.061
"P13","Si",0.451,0.521,0.495
"P13","No",0.32,0.292,0.091
"P13","No sabe",0.229,0.187,0.414
"P15","Gobierno nacional",0.165,0.466,0.25
"P15","Gobierno provincial",0.72,0.413,0.366
"P15","No sabe",0.115,0.121,0.384
"P16","El gobierno anterior de Omar Gutierrez",0.586,0.331,0.454
"P16","El actual gobierno de Rolo Figueroa",0.167,0.289,0.26
"P16","No sabe",0.247,0.38,0.286
"P17","El gobierno anterior de Alberto Fernández",0.754,0.269,0.431
"P17","El actual gobierno de Javier Milei",0.246,0.608,0.219
"P17","No sabe",0,0.123,0.35
"P18","Muy buena",0.074,0.1,0.074
"P18","Buena",0.177,0.363,0.193
"P18","Ni buena ni mala",0.26,0.253,0.402
"P18","Mala",0.331,0.214,0.258
"P18","Muy mala",0.144,0.065,0.057
"P18","No sabe",0.014,0.005,0.016
"P19","Muy buena",0.067,0.082,0.058
"P19","Buena",0.107,0.289,0.065
"P19","Ni buena ni mala",0.172,0.221,0.293
"P19","Mala",0.406,0.269,0.439
"P19","Muy mala",0.243,0.135,0.133
"P19","No sabe",0.005,0.004,0.012
"P20","Muy buena",0.062,0.054,0.055
"P20","Buena",0.193,0.267,0.19
"P20","Ni buena ni mala",0.278,0.319,0.396
"P20","Mala",0.318,0.225,0.288
"P20","Muy mala",0.147,0.115,0.046
"P20","No sabe",0.002,0.02,0.025
"P21","Muy de acuerdo",0.25,0.487,0.206
"P21","De acuerdo",0.204,0.284,0.22
"P21","Ni de acuerdo ni en desacuerdo",0.288,0.142,0.385
"P21","En desacuerdo",0.166,0.05,0.107
"P21","Muy en desacuerdo",0.08,0.024,0.006
"P21","No sabe",0.012,0.013,0.076
"P22","El estado nacional",0.176,0.079,0.106
"P22","El estado provincial",0.369,0.704,0.433
"P22","Ambos de forma coordinada",0.368,0.2,0.287
"P22","No sabe",0.087,0.017,0.174
"P23","Si",0.596,0.58,0.327
"P23","No",0.311,0.342,0.338
"P23","No sabe",0.093,0.078,0.335
"P24","Excesiva",0.155,0.06,0.053
"P24","Adecuada",0.438,0.394,0.372
"P24","Insuficiente",0.221,0.383,0.259
"P24","Inaceptable",0.116,0.099,0.049
"P24","No sabe",0.07,0.064,0.267
