"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.327,0.367,0.288,0.289,0.345,0.336,0.293,0.37,0.32,0.305,0.347,0.24,0.262,0.602,0.119,0.503,0.319,0.334,6
"Buena",0.154,0.157,0.151,0.236,0.129,0.105,0.234,0.15,0.179,0.126,0.138,0.282,0.107,0.097,0.075,0.234,0.128,0.179,6
"Ni buena ni mala",0.161,0.172,0.15,0.198,0.155,0.146,0.166,0.189,0.178,0.12,0.193,0.132,0.096,0.084,0.161,0.136,0.166,0.156,6
"Mala",0.112,0.104,0.121,0.012,0.13,0.148,0.106,0.08,0.137,0.106,0.143,0.127,0.097,0.033,0.187,0.057,0.105,0.12,6
"Muy mala",0.225,0.186,0.263,0.226,0.224,0.259,0.161,0.16,0.176,0.331,0.154,0.208,0.436,0.184,0.447,0.062,0.243,0.208,6
"No sabe",0.021,0.014,0.027,0.039,0.017,0.006,0.04,0.051,0.01,0.012,0.025,0.011,0.002,0,0.011,0.008,0.039,0.003,6
"Positiva",0.481,0.524,0.439,0.525,0.474,0.441,0.527,0.52,0.499,0.431,0.485,0.522,0.369,0.699,0.194,0.737,0.447,0.513,4
"Neutra",0.161,0.172,0.15,0.198,0.155,0.146,0.166,0.189,0.178,0.12,0.193,0.132,0.096,0.084,0.161,0.136,0.166,0.156,4
"Negativa",0.337,0.29,0.384,0.238,0.354,0.407,0.267,0.24,0.313,0.437,0.297,0.335,0.533,0.217,0.634,0.119,0.348,0.328,4
"No sabe",0.021,0.014,0.027,0.039,0.017,0.006,0.04,0.051,0.01,0.012,0.025,0.011,0.002,0,0.011,0.008,0.039,0.003,4
