"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.14,0.151,0.129,0.142,0.124,0.141,0.189,0.197,0.119,0.123,0.172,0.079,0.099,0.206,0.063,0.211,0.149,0.131,6
"Buena",0.2,0.225,0.176,0.161,0.193,0.213,0.247,0.179,0.223,0.188,0.18,0.317,0.141,0.289,0.054,0.35,0.141,0.257,6
"Ni buena ni mala",0.233,0.235,0.231,0.308,0.252,0.164,0.203,0.307,0.221,0.194,0.261,0.2,0.08,0.193,0.173,0.265,0.258,0.208,6
"Mala",0.136,0.151,0.122,0.124,0.124,0.152,0.164,0.123,0.161,0.116,0.143,0.148,0.18,0.109,0.215,0.07,0.149,0.124,6
"Muy mala",0.26,0.226,0.293,0.226,0.268,0.31,0.181,0.155,0.239,0.361,0.204,0.229,0.489,0.185,0.469,0.081,0.264,0.256,6
"No sabe",0.031,0.012,0.049,0.039,0.039,0.02,0.016,0.039,0.037,0.018,0.04,0.027,0.011,0.018,0.026,0.023,0.039,0.024,6
"Positiva",0.34,0.376,0.305,0.303,0.317,0.354,0.436,0.376,0.342,0.311,0.352,0.396,0.24,0.495,0.117,0.561,0.29,0.388,4
"Neutra",0.233,0.235,0.231,0.308,0.252,0.164,0.203,0.307,0.221,0.194,0.261,0.2,0.08,0.193,0.173,0.265,0.258,0.208,4
"Negativa",0.396,0.377,0.415,0.35,0.392,0.462,0.345,0.278,0.4,0.477,0.347,0.377,0.669,0.294,0.684,0.151,0.413,0.38,4
"No sabe",0.031,0.012,0.049,0.039,0.039,0.02,0.016,0.039,0.037,0.018,0.04,0.027,0.011,0.018,0.026,0.023,0.039,0.024,4
