"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.08,0.104,0.058,0.114,0.07,0.076,0.085,0.167,0.075,0.024,0.099,0.146,0.047,0,0.112,0.056,0.08,0.081,6
"Buena",0.157,0.177,0.138,0.281,0.132,0.093,0.216,0.197,0.176,0.106,0.18,0.276,0.059,0.018,0.184,0.162,0.146,0.168,6
"Ni buena ni mala",0.237,0.222,0.252,0.22,0.204,0.276,0.299,0.233,0.194,0.295,0.217,0.23,0.262,0.202,0.271,0.208,0.218,0.256,6
"Mala",0.33,0.312,0.347,0.205,0.348,0.396,0.293,0.216,0.388,0.339,0.326,0.268,0.454,0.308,0.305,0.347,0.311,0.348,6
"Muy mala",0.177,0.169,0.184,0.095,0.238,0.158,0.095,0.152,0.151,0.226,0.168,0.078,0.178,0.431,0.118,0.212,0.214,0.141,6
"No sabe",0.019,0.016,0.021,0.085,0.008,0.001,0.012,0.035,0.016,0.01,0.01,0.002,0,0.041,0.01,0.015,0.031,0.006,6
"Positiva",0.237,0.281,0.196,0.395,0.202,0.169,0.301,0.364,0.251,0.13,0.279,0.422,0.106,0.018,0.296,0.218,0.226,0.249,4
"Neutra",0.237,0.222,0.252,0.22,0.204,0.276,0.299,0.233,0.194,0.295,0.217,0.23,0.262,0.202,0.271,0.208,0.218,0.256,4
"Negativa",0.507,0.481,0.531,0.3,0.586,0.554,0.388,0.368,0.539,0.565,0.494,0.346,0.632,0.739,0.423,0.559,0.525,0.489,4
"No sabe",0.019,0.016,0.021,0.085,0.008,0.001,0.012,0.035,0.016,0.01,0.01,0.002,0,0.041,0.01,0.015,0.031,0.006,4
