"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.075,0.067,0.083,0.092,0.075,0.071,0.067,0.147,0.072,0.028,0.073,0.213,0.028,0.004,0.117,0.051,0.072,0.079,6
"Buena",0.135,0.145,0.124,0.269,0.111,0.084,0.153,0.151,0.159,0.093,0.135,0.291,0.036,0.015,0.144,0.151,0.115,0.153,6
"Ni buena ni mala",0.417,0.422,0.413,0.352,0.392,0.446,0.526,0.381,0.41,0.452,0.408,0.36,0.435,0.471,0.476,0.357,0.39,0.444,6
"Mala",0.184,0.19,0.179,0.091,0.188,0.25,0.156,0.15,0.185,0.208,0.206,0.067,0.3,0.166,0.147,0.208,0.197,0.171,6
"Muy mala",0.135,0.136,0.133,0.091,0.183,0.107,0.067,0.102,0.122,0.173,0.131,0.05,0.104,0.259,0.093,0.162,0.163,0.107,6
"No sabe",0.054,0.04,0.068,0.105,0.051,0.042,0.031,0.069,0.052,0.046,0.047,0.019,0.097,0.085,0.023,0.071,0.063,0.046,6
"Positiva",0.21,0.212,0.207,0.361,0.186,0.155,0.22,0.298,0.231,0.121,0.208,0.504,0.064,0.019,0.261,0.202,0.187,0.232,4
"Neutra",0.417,0.422,0.413,0.352,0.392,0.446,0.526,0.381,0.41,0.452,0.408,0.36,0.435,0.471,0.476,0.357,0.39,0.444,4
"Negativa",0.319,0.326,0.312,0.182,0.371,0.357,0.223,0.252,0.307,0.381,0.337,0.117,0.404,0.425,0.24,0.37,0.36,0.278,4
"No sabe",0.054,0.04,0.068,0.105,0.051,0.042,0.031,0.069,0.052,0.046,0.047,0.019,0.097,0.085,0.023,0.071,0.063,0.046,4
