"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.17,0.158,0.182,0.184,0.178,0.17,0.11,0.276,0.147,0.1,0.247,0.112,0.061,0.12,0.213,0.158,0.141,0.197,6
"Buena",0.222,0.254,0.191,0.215,0.203,0.229,0.296,0.186,0.268,0.187,0.257,0.268,0.215,0.166,0.245,0.227,0.194,0.249,6
"Ni buena ni mala",0.34,0.347,0.334,0.284,0.352,0.378,0.351,0.248,0.359,0.404,0.311,0.377,0.406,0.346,0.307,0.376,0.353,0.328,6
"Mala",0.183,0.158,0.207,0.239,0.179,0.138,0.157,0.181,0.181,0.187,0.152,0.194,0.201,0.266,0.17,0.167,0.216,0.152,6
"Muy mala",0.068,0.066,0.069,0.054,0.075,0.076,0.053,0.078,0.039,0.102,0.029,0.045,0.102,0.102,0.049,0.059,0.075,0.061,6
"No sabe",0.017,0.017,0.017,0.024,0.013,0.009,0.033,0.031,0.006,0.02,0.004,0.004,0.015,0,0.016,0.013,0.021,0.013,6
"Positiva",0.392,0.412,0.373,0.399,0.381,0.399,0.406,0.462,0.415,0.287,0.504,0.38,0.276,0.286,0.458,0.385,0.335,0.446,4
"Neutra",0.34,0.347,0.334,0.284,0.352,0.378,0.351,0.248,0.359,0.404,0.311,0.377,0.406,0.346,0.307,0.376,0.353,0.328,4
"Negativa",0.251,0.224,0.276,0.293,0.254,0.214,0.21,0.259,0.22,0.289,0.181,0.239,0.303,0.368,0.219,0.226,0.291,0.213,4
"No sabe",0.017,0.017,0.017,0.024,0.013,0.009,0.033,0.031,0.006,0.02,0.004,0.004,0.015,0,0.016,0.013,0.021,0.013,4
