"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.325,0.358,0.292,0.361,0.339,0.296,0.29,0.405,0.323,0.271,0.349,0.194,0.282,0.562,0.11,0.514,0.319,0.331,6
"Buena",0.154,0.152,0.156,0.193,0.135,0.121,0.236,0.151,0.169,0.138,0.168,0.246,0.029,0.065,0.068,0.224,0.159,0.15,6
"Ni buena ni mala",0.113,0.133,0.094,0.104,0.122,0.094,0.126,0.154,0.099,0.101,0.121,0.086,0.091,0.086,0.126,0.087,0.105,0.12,6
"Mala",0.145,0.14,0.15,0.137,0.13,0.172,0.159,0.157,0.156,0.123,0.16,0.167,0.145,0.142,0.26,0.059,0.137,0.153,6
"Muy mala",0.26,0.213,0.306,0.194,0.274,0.316,0.181,0.133,0.251,0.361,0.201,0.307,0.453,0.145,0.435,0.116,0.274,0.246,6
"No sabe",0.003,0.004,0.002,0.011,0,0.001,0.008,0,0.002,0.006,0.001,0,0,0,0.001,0,0.006,0,6
"Positiva",0.479,0.51,0.448,0.554,0.474,0.417,0.526,0.556,0.492,0.409,0.517,0.44,0.311,0.627,0.178,0.738,0.478,0.481,4
"Neutra",0.113,0.133,0.094,0.104,0.122,0.094,0.126,0.154,0.099,0.101,0.121,0.086,0.091,0.086,0.126,0.087,0.105,0.12,4
"Negativa",0.405,0.353,0.456,0.331,0.404,0.488,0.34,0.29,0.407,0.484,0.361,0.474,0.598,0.287,0.695,0.175,0.411,0.399,4
"No sabe",0.003,0.004,0.002,0.011,0,0.001,0.008,0,0.002,0.006,0.001,0,0,0,0.001,0,0.006,0,4
