"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.111,0.113,0.108,0.081,0.11,0.107,0.155,0.176,0.088,0.092,0.144,0.092,0.031,0.062,0.086,0.144,0.107,0.114,6
"Buena",0.183,0.172,0.193,0.23,0.16,0.14,0.284,0.137,0.211,0.181,0.17,0.255,0.139,0.223,0.059,0.276,0.192,0.174,6
"Ni buena ni mala",0.211,0.254,0.17,0.204,0.247,0.164,0.182,0.299,0.196,0.168,0.219,0.194,0.15,0.336,0.144,0.288,0.184,0.238,6
"Mala",0.236,0.227,0.246,0.157,0.212,0.333,0.236,0.215,0.247,0.238,0.243,0.19,0.321,0.162,0.327,0.153,0.242,0.231,6
"Muy mala",0.243,0.214,0.27,0.263,0.262,0.251,0.136,0.121,0.253,0.316,0.207,0.262,0.359,0.217,0.384,0.128,0.25,0.235,6
"No sabe",0.016,0.02,0.013,0.065,0.009,0.005,0.007,0.052,0.005,0.005,0.017,0.007,0,0,0,0.011,0.025,0.008,6
"Positiva",0.294,0.285,0.301,0.311,0.27,0.247,0.439,0.313,0.299,0.273,0.314,0.347,0.17,0.285,0.145,0.42,0.299,0.288,4
"Neutra",0.211,0.254,0.17,0.204,0.247,0.164,0.182,0.299,0.196,0.168,0.219,0.194,0.15,0.336,0.144,0.288,0.184,0.238,4
"Negativa",0.479,0.441,0.516,0.42,0.474,0.584,0.372,0.336,0.5,0.554,0.45,0.452,0.68,0.379,0.711,0.281,0.492,0.466,4
"No sabe",0.016,0.02,0.013,0.065,0.009,0.005,0.007,0.052,0.005,0.005,0.017,0.007,0,0,0,0.011,0.025,0.008,4
