"var","categoria","Correcta","Incorrecta","No sabe"
"P08","Siempre",0.189,0.157,0.159
"P08","Casi siempre",0.375,0.393,0.275
"P08","Casi nunca",0.302,0.322,0.384
"P08","Nunca, pero esta es una excepción",0.134,0.128,0.182
"P09","Muy buena",0.215,0.08,0.138
"P09","Buena",0.25,0.228,0.148
"P09","Ni buena ni mala",0.317,0.331,0.457
"P09","Mala",0.148,0.238,0.158
"P09","Muy mala",0.065,0.116,0.049
"P09","No sabe",0.005,0.007,0.05
"P10","Muy buena",0.273,0.111,0.143
"P10","Buena",0.317,0.228,0.255
"P10","Ni buena ni mala",0.245,0.307,0.418
"P10","Mala",0.092,0.212,0.07
"P10","Muy mala",0.059,0.12,0.025
"P10","No sabe",0.014,0.022,0.089
"P13","Si",0.62,0.425,0.323
"P13","No",0.206,0.379,0.284
"P13","No sabe",0.174,0.196,0.393
"P15","Gobierno nacional",0.295,0.314,0.319
"P15","Gobierno provincial",0.62,0.547,0.386
"P15","No sabe",0.085,0.139,0.295
"P16","El gobierno anterior de Omar Gutierrez",0.533,0.386,0.5
"P16","El actual gobierno de Rolo Figueroa",0.162,0.332,0.137
"P16","No sabe",0.305,0.282,0.363
"P17","El gobierno anterior de Alberto Fernández",0.391,0.32,0.473
"P17","El actual gobierno de Javier Milei",0.484,0.603,0.314
"P17","No sabe",0.125,0.077,0.213
"P18","Muy buena",0.132,0.048,0.064
"P18","Buena",0.238,0.249,0.253
"P18","Ni buena ni mala",0.251,0.25,0.391
"P18","Mala",0.279,0.327,0.176
"P18","Muy mala",0.088,0.122,0.087
"P18","No sabe",0.012,0.004,0.029
"P19","Muy buena",0.092,0.064,0.043
"P19","Buena",0.15,0.173,0.231
"P19","Ni buena ni mala",0.208,0.216,0.285
"P19","Mala",0.375,0.356,0.256
"P19","Muy mala",0.174,0.18,0.169
"P19","No sabe",0.001,0.011,0.016
"P20","Muy buena",0.078,0.023,0.036
"P20","Buena",0.256,0.219,0.191
"P20","Ni buena ni mala",0.286,0.264,0.444
"P20","Mala",0.248,0.345,0.206
"P20","Muy mala",0.127,0.133,0.098
"P20","No sabe",0.005,0.016,0.025
"P21","Muy de acuerdo",0.401,0.362,0.241
"P21","De acuerdo",0.198,0.291,0.225
"P21","Ni de acuerdo ni en desacuerdo",0.227,0.162,0.399
"P21","En desacuerdo",0.112,0.107,0.068
"P21","Muy en desacuerdo",0.054,0.064,0.021
"P21","No sabe",0.008,0.014,0.046
"P22","El estado nacional",0.129,0.132,0.094
"P22","El estado provincial",0.516,0.542,0.495
"P22","Ambos de forma coordinada",0.294,0.284,0.288
"P22","No sabe",0.061,0.042,0.123
"P23","Si",0.615,0.529,0.3
"P23","No",0.305,0.363,0.492
"P23","No sabe",0.08,0.108,0.208
"P24","Excesiva",0.151,0.069,0.064
"P24","Adecuada",0.551,0.241,0.282
"P24","Insuficiente",0.179,0.466,0.33
"P24","Inaceptable",0.077,0.18,0.02
"P24","No sabe",0.042,0.044,0.304
"P26","Si",0.713,0.665,0.425
"P26","No",0.191,0.241,0.298
"P26","No sabe",0.096,0.094,0.277
"P27","Correcta",0.177,0.553,0.138
"P27","Incorrecta",0.721,0.346,0.333
"P27","No sabe",0.102,0.101,0.529
"P28","Si",0.702,0.556,0.24
"P28","No",0.236,0.421,0.42
