"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.122,0.122,0.122,0.113,0.121,0.113,0.151,0.199,0.11,0.081,0.127,0.185,0.121,0,0.27,0.034,0.121,0.123,6
"Buena",0.171,0.136,0.206,0.252,0.151,0.17,0.152,0.118,0.218,0.152,0.16,0.205,0.293,0.09,0.313,0.082,0.183,0.16,6
"Ni buena ni mala",0.155,0.194,0.116,0.12,0.182,0.147,0.113,0.197,0.133,0.151,0.153,0.105,0.272,0.049,0.214,0.11,0.137,0.172,6
"Mala",0.22,0.236,0.204,0.205,0.195,0.223,0.316,0.229,0.209,0.226,0.241,0.208,0.14,0.219,0.141,0.269,0.213,0.227,6
"Muy mala",0.325,0.307,0.343,0.299,0.349,0.338,0.249,0.257,0.319,0.382,0.318,0.282,0.174,0.642,0.062,0.496,0.332,0.318,6
"No sabe",0.007,0.005,0.009,0.011,0.002,0.009,0.019,0,0.011,0.008,0.001,0.015,0,0,0,0.009,0.014,0,6
"Positiva",0.293,0.258,0.328,0.365,0.272,0.283,0.303,0.317,0.328,0.233,0.287,0.39,0.414,0.09,0.583,0.116,0.304,0.283,4
"Neutra",0.155,0.194,0.116,0.12,0.182,0.147,0.113,0.197,0.133,0.151,0.153,0.105,0.272,0.049,0.214,0.11,0.137,0.172,4
"Negativa",0.545,0.543,0.547,0.504,0.544,0.561,0.565,0.486,0.528,0.608,0.559,0.49,0.314,0.861,0.203,0.765,0.545,0.545,4
"No sabe",0.007,0.005,0.009,0.011,0.002,0.009,0.019,0,0.011,0.008,0.001,0.015,0,0,0,0.009,0.014,0,4
