"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P04","Gran excedente habitual",0.084,0.022,0.01,0.003,0.012
"P04","Gran excedente excepcional",0.071,0.022,0.005,0.007,0.005
"P04","Pequeño excedente habitual",0.193,0.18,0.06,0.032,0.028
"P04","Pequeño excedente excepcional",0.14,0.178,0.156,0.085,0.057
"P04","Alcanza gastos familia",0.058,0.142,0.148,0.136,0.108
"P04","No alcanza gastos familia",0.058,0.074,0.111,0.099,0.11
"P04","Solo NBFamiliares",0.177,0.26,0.282,0.302,0.239
"P04","No alcanza NBFamiliares",0.206,0.119,0.224,0.331,0.431
"P04","No sabe",0.013,0.003,0.004,0.005,0.01
"P05","Muy buena",0.299,0.043,0.049,0.087,0.08
"P05","Buena",0.236,0.16,0.103,0.049,0.037
"P05","Ni buena ni mala",0.262,0.371,0.266,0.086,0.045
"P05","Mala",0.119,0.231,0.306,0.423,0.177
"P05","Muy mala",0.084,0.195,0.276,0.355,0.661
"P06","Muy buena",0.461,0.073,0.021,0.025,0.015
"P06","Buena",0.272,0.315,0.098,0.027,0.01
"P06","Ni buena ni mala",0.114,0.323,0.354,0.116,0.016
"P06","Mala",0.067,0.156,0.255,0.395,0.12
"P06","Muy mala",0.086,0.133,0.272,0.437,0.839
"P07","Muy buena",0.51,0.162,0.039,0.048,0.041
"P07","Buena",0.2,0.342,0.162,0.099,0.096
"P07","Ni buena ni mala",0.161,0.285,0.442,0.287,0.22
"P07","Mala",0.057,0.144,0.246,0.399,0.263
"P07","Muy mala",0.072,0.067,0.111,0.167,0.38
"P08","Muy buena",0.47,0.035,0.009,0.011,0.013
"P08","Buena",0.341,0.524,0.113,0.043,0.019
"P08","Ni buena ni mala",0.123,0.34,0.708,0.33,0.159
"P08","Mala",0.028,0.072,0.134,0.532,0.28
"P08","Muy mala",0.038,0.029,0.036,0.084,0.529
"P10","Muy buena",0.539,0.134,0.041,0.033,0.05
"P10","Buena",0.237,0.545,0.213,0.107,0.079
"P10","Ni buena ni mala",0.155,0.228,0.612,0.383,0.222
