"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P04","Gran excedente habitual",0.02,0.017,0.014,0.011,0.011,0.027
"P04","Gran excedente excepcional",0.01,0.018,0.008,0.011,0.008,0.052
"P04","Pequeño excedente habitual",0.083,0.137,0.093,0.067,0.046,0.071
"P04","Pequeño excedente excepcional",0.117,0.213,0.111,0.13,0.139,0.021
"P04","Alcanza gastos familia",0.115,0.201,0.127,0.135,0.21,0.106
"P04","No alcanza gastos familia",0.082,0.062,0.135,0.096,0.102,0.115
"P04","Solo NBFamiliares",0.282,0.218,0.297,0.285,0.26,0.122
"P04","No alcanza NBFamiliares",0.288,0.133,0.215,0.257,0.224,0.458
"P04","No sabe",0.003,0.001,0,0.008,0,0.028
"P05","Muy buena",0.084,0.065,0.072,0.058,0.079,0.31
"P05","Buena",0.109,0.134,0.16,0.05,0.05,0.048
"P05","Ni buena ni mala",0.204,0.194,0.356,0.05,0.146,0.232
"P05","Mala",0.294,0.276,0.257,0.243,0.351,0.208
"P05","Muy mala",0.309,0.331,0.155,0.599,0.374,0.202
"P06","Muy buena",0.065,0.077,0.094,0.013,0.07,0.291
"P06","Buena",0.108,0.14,0.225,0.021,0.074,0.105
"P06","Ni buena ni mala",0.217,0.213,0.319,0.062,0.23,0.298
"P06","Mala",0.26,0.198,0.185,0.216,0.122,0.126
"P06","Muy mala",0.35,0.372,0.177,0.688,0.504,0.18
"P07","Muy buena",0.11,0.119,0.147,0.035,0.073,0.278
"P07","Buena",0.194,0.224,0.232,0.098,0.119,0.028
"P07","Ni buena ni mala",0.32,0.216,0.291,0.315,0.387,0.194
"P07","Mala",0.226,0.249,0.211,0.308,0.2,0.323
"P07","Muy mala",0.15,0.192,0.119,0.244,0.221,0.177
"P08","Muy buena",0.05,0.059,0.052,0.018,0.029,0.23
"P08","Buena",0.174,0.217,0.244,0.112,0.149,0.124
"P08","Ni buena ni mala",0.416,0.41,0.418,0.338,0.422,0.253
"P08","Mala",0.239,0.21,0.185,0.299,0.248,0.138
"P08","Muy mala",0.121,0.104,0.101,0.233,0.152,0.255
"P09","Muy buena",0.073,0.08,0.127,0.02,0.046,0.155
"P09","Buena",0.193,0.253,0.263,0.094,0.147,0.182
"P09","Ni buena ni mala",0.297,0.298,0.309,0.21,0.294,0.23
"P09","Mala",0.247,0.236,0.179,0.318,0.276,0.215
"P09","Muy mala",0.19,0.133,0.122,0.358,0.237,0.218
"P10","Muy buena",0.1,0.093,0.122,0.046,0.081,0.188
"P10","Buena",0.236,0.283,0.279,0.161,0.176,0.163
"P10","Ni buena ni mala",0.385,0.321,0.342,0.383,0.409,0.273
"P10","Mala",0.175,0.22,0.156,0.255,0.241,0.11
"P10","Muy mala",0.104,0.083,0.101,0.155,0.093,0.266
"P11","Ha aumentado significativamente",0.073,0.087,0.124,0.031,0.069,0.209
"P11","Ha aumentado ligeramente",0.185,0.199,0.224,0.119,0.19,0.16
"P11","Se mantiene igual",0.313,0.314,0.307,0.219,0.314,0.222
"P11","Ha disminuido ligeramente",0.243,0.237,0.206,0.238,0.201,0.161
"P11","Ha disminuido significativamente",0.186,0.163,0.139,0.393,0.226,0.248
"P12","Muy baja",0.102,0.063,0.062,0.028,0.072,0.272
"P12","Baja",0.059,0.082,0.092,0.023,0.031,0.006
"P12","Moderada",0.111,0.112,0.202,0.041,0.056,0.145
"P12","Alta",0.233,0.298,0.361,0.114,0.218,0.151
"P12","Muy alta",0.495,0.445,0.283,0.794,0.623,0.426
"P13","Muy bajas",0.069,0.077,0.049,0.039,0.053,0.107
"P13","Bajas",0.094,0.183,0.074,0.106,0.064,0.051
"P13","Adecuadas",0.27,0.338,0.349,0.194,0.295,0.235
"P13","Altas",0.311,0.214,0.332,0.323,0.292,0.201
"P13","Muy altas",0.256,0.188,0.196,0.338,0.296,0.406
"P14","No, ninguna dificultad",0.302,0.336,0.323,0.199,0.33,0.251
"P14","Alguna dificultad ocasional",0.296,0.374,0.313,0.339,0.342,0.15
"P14","Sí, dificultades frecuentes",0.402,0.29,0.364,0.462,0.328,0.599
"P15","Sí, absolutamente",0.583,0.328,0.57,0.233,0.384,0.593
"P15","Sí, en cierta medida",0.265,0.582,0.177,0.393,0.378,0.153
"P15","No, en absoluto",0.152,0.09,0.253,0.374,0.238,0.254
"P17","Fomentar la competencia entre proveedores",0.416,0.243,0.128,0.341,0.289,0.181
"P17","Incrementar la inversión en infraestructura",0.186,0.409,0.188,0.172,0.241,0.085
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.146,0.125,0.352,0.067,0.12,0.417
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.252,0.223,0.332,0.42,0.35,0.317
"P18","Muy positiva",0.197,0.194,0.265,0.065,0.166,0.262
"P18","Positiva",0.193,0.296,0.287,0.112,0.177,0.226
"P18","Neutral",0.342,0.273,0.269,0.397,0.397,0.275
"P18","Algo negativa",0.101,0.103,0.08,0.14,0.108,0.054
"P18","Negativa",0.08,0.058,0.033,0.17,0.073,0.009
"P18","No sabe",0.087,0.076,0.066,0.116,0.079,0.174
"P19","Muy positivo",0.153,0.134,0.214,0.047,0.1,0.282
"P19","Positivo",0.208,0.247,0.275,0.095,0.11,0.197
"P19","Neutral",0.36,0.335,0.291,0.42,0.368,0.223
