"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P04","Gran excedente habitual",0.025,0.003,0.008,0.013,0.025,0.024
"P04","Gran excedente excepcional",0.017,0.007,0.008,0.003,0.024,0
"P04","Pequeño excedente habitual",0.115,0.103,0.107,0.137,0.083,0.025
"P04","Pequeño excedente excepcional",0.159,0.168,0.148,0.118,0.067,0.049
"P04","Alcanza gastos familia",0.137,0.159,0.168,0.119,0.162,0.126
"P04","No alcanza gastos familia",0.071,0.086,0.091,0.05,0.076,0.22
"P04","Solo NBFamiliares",0.241,0.295,0.246,0.327,0.26,0.31
"P04","No alcanza NBFamiliares",0.231,0.177,0.218,0.23,0.299,0.229
"P04","No sabe",0.004,0.002,0.006,0.003,0.004,0.017
"P05","Muy buena",0.133,0.082,0.048,0.039,0.065,0.034
"P05","Buena",0.135,0.137,0.096,0.077,0.059,0.143
"P05","Ni buena ni mala",0.263,0.18,0.169,0.135,0.021,0.194
"P05","Mala",0.236,0.247,0.274,0.258,0.237,0.301
"P05","Muy mala",0.233,0.354,0.413,0.491,0.618,0.328
"P06","Muy buena",0.128,0.055,0.03,0,0.017,0.042
"P06","Buena",0.193,0.136,0.083,0.051,0.013,0.024
"P06","Ni buena ni mala",0.287,0.212,0.18,0.09,0.014,0.204
"P06","Mala",0.167,0.215,0.234,0.269,0.213,0.235
"P06","Muy mala",0.225,0.382,0.473,0.59,0.743,0.495
"P07","Muy buena",0.203,0.09,0.072,0.024,0.035,0.049
"P07","Buena",0.241,0.244,0.129,0.156,0.098,0.04
"P07","Ni buena ni mala",0.28,0.304,0.333,0.299,0.245,0.333
"P07","Mala",0.165,0.213,0.259,0.333,0.308,0.248
"P07","Muy mala",0.111,0.149,0.207,0.188,0.314,0.33
"P08","Muy buena",0.111,0.003,0.026,0.002,0.044,0.016
"P08","Buena",0.27,0.24,0.146,0.128,0.113,0.087
"P08","Ni buena ni mala",0.37,0.392,0.416,0.396,0.309,0.384
"P08","Mala",0.152,0.25,0.244,0.366,0.264,0.301
"P08","Muy mala",0.097,0.115,0.168,0.108,0.27,0.212
"P09","Muy buena",0.157,0.056,0.05,0.036,0.03,0.033
"P09","Buena",0.282,0.199,0.146,0.116,0.109,0.108
"P09","Ni buena ni mala",0.252,0.308,0.299,0.293,0.123,0.363
"P09","Mala",0.18,0.261,0.254,0.298,0.258,0.258
"P09","Muy mala",0.129,0.176,0.251,0.257,0.48,0.238
"P10","Muy buena",0.181,0.071,0.068,0.063,0.071,0.068
"P10","Buena",0.306,0.271,0.197,0.162,0.139,0.15
"P10","Ni buena ni mala",0.283,0.394,0.408,0.443,0.292,0.463
"P10","Mala",0.126,0.196,0.215,0.27,0.247,0.171
"P10","Muy mala",0.104,0.068,0.112,0.062,0.251,0.148
"P11","Ha aumentado significativamente",0.177,0.058,0.032,0.032,0.042,0.041
"P11","Ha aumentado ligeramente",0.261,0.191,0.162,0.099,0.097,0.054
"P11","Se mantiene igual",0.277,0.32,0.311,0.249,0.194,0.402
"P11","Ha disminuido ligeramente",0.138,0.24,0.254,0.318,0.197,0.286
"P11","Ha disminuido significativamente",0.147,0.191,0.241,0.302,0.47,0.217
"P12","Muy baja",0.092,0.064,0.056,0.009,0.06,0.048
"P12","Baja",0.059,0.045,0.047,0.029,0.019,0.146
"P12","Moderada",0.157,0.131,0.104,0.045,0.053,0.059
"P12","Alta",0.303,0.234,0.203,0.227,0.083,0.208
"P12","Muy alta",0.389,0.526,0.59,0.69,0.785,0.539
"P13","Muy bajas",0.073,0.04,0.058,0.046,0.078,0.053
"P13","Bajas",0.092,0.1,0.117,0.104,0.168,0.06
"P13","Adecuadas",0.349,0.338,0.257,0.201,0.176,0.232
"P13","Altas",0.288,0.267,0.28,0.366,0.226,0.31
"P13","Muy altas",0.198,0.255,0.288,0.283,0.352,0.345
"P14","No, ninguna dificultad",0.377,0.256,0.287,0.279,0.232,0.245
"P14","Alguna dificultad ocasional",0.273,0.378,0.349,0.335,0.231,0.364
"P14","Sí, dificultades frecuentes",0.35,0.366,0.364,0.386,0.537,0.391
"P15","Sí, absolutamente",0.607,0.422,0.375,0.288,0.3,0.441
"P15","Sí, en cierta medida",0.255,0.341,0.346,0.379,0.274,0.332
"P15","No, en absoluto",0.138,0.237,0.279,0.333,0.426,0.227
"P16","Reducir la inflación",0.473,0.409,0.382,0.324,0.311,0.396
"P16","Implementar reformas fiscales",0.104,0.1,0.097,0.106,0.097,0.075
"P16","Establecer políticas de control de precios",0.206,0.181,0.169,0.129,0.086,0.172
"P16","Reducir el gasto público",0.142,0.275,0.305,0.382,0.448,0.227
"P16","Estimular la inversión extranjera",0.059,0.027,0.024,0.053,0.036,0.104
"P16","Aumentar los subsidios a los servicios públicos",0.016,0.008,0.023,0.006,0.022,0.026
"P17","Fomentar la competencia entre proveedores",0.3,0.305,0.334,0.333,0.332,0.343
"P17","Incrementar la inversión en infraestructura",0.205,0.184,0.198,0.206,0.214,0.205
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.206,0.177,0.133,0.161,0.167,0.128
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.289,0.334,0.335,0.3,0.287,0.324
"P18","Muy positiva",0.31,0.19,0.118,0.085,0.065,0.067
"P18","Positiva",0.255,0.207,0.213,0.163,0.12,0.074
"P18","Neutral",0.264,0.362,0.399,0.356,0.268,0.306
"P18","Algo negativa",0.064,0.113,0.099,0.173,0.123,0.1
"P18","Negativa",0.049,0.057,0.089,0.177,0.368,0.069
"P18","No sabe",0.058,0.071,0.082,0.046,0.056,0.384
"P19","Muy positivo",0.308,0.107,0.077,0.044,0.053,0.022
"P19","Positivo",0.235,0.257,0.18,0.106,0.019,0.039
"P19","Neutral",0.271,0.375,0.457,0.346,0.32,0.335
"P19","Algo negativo",0.06,0.119,0.102,0.201,0.098,0.099
"P19","Negativo",0.044,0.05,0.089,0.213,0.461,0.064
"P19","No sabe",0.082,0.092,0.095,0.09,0.049,0.441
"P20","Muy positivo",0.254,0.061,0.035,0.05,0.018,0.041
"P20","Positivo",0.222,0.227,0.114,0.079,0.026,0.041
"P20","Neutral",0.337,0.494,0.61,0.477,0.359,0.339
"P20","Algo negativo",0.054,0.089,0.087,0.145,0.116,0.054
"P20","Negativo",0.042,0.027,0.068,0.163,0.44,0.072
"P20","No sabe",0.091,0.102,0.086,0.086,0.041,0.453
"P21","Muy positiva",0.59,0.265,0.239,0.135,0.079,0.132
"P21","Positiva",0.188,0.303,0.212,0.172,0.073,0.229
